case_id,state,district,referral_date,referral_source,child_age_group,case_type,risk_level,outreach_attempts,service_provided,follow_up_status,case_status,support_amount_inr,days_to_first_contact,outcome_category
CWI-001761,Tamil Nadu,Salem,2025-05-29,Police,11-14,Family Reintegration,Medium,4,Legal Aid Referral,Completed,Escalated,6312,7,Ongoing Support Needed
CWI-002305,Maharashtra,Pune,2024-02-22,NGO Partner,11-14,Emergency Shelter,Medium,1,Education Kit,In Progress,Open,4838,5,Ongoing Support Needed
CWI-003724,Maharashtra,Thane,2025-07-28,School,6-10,Emergency Shelter,Low,3,Counseling,Completed,closed,1648,1,Improved Access to Services
CWI-008285,Andhra Pradesh,Tirupati,2025-12-18,Community Worker,6-10,Health/Nutrition,High,5,Family Counseling,Unable to Contact,Open,9297,4,Stabilized
CWI-004994,Tamil Nadu,Madurai,2023-08-19,Childline/Helpline,6-10,Emergency Shelter,Low,7,Nutrition Support,Completed,Open,3277,12,Stabilized
CWI-003974,West Bengal,Howrah,2023-07-23,NGO Partner,0-5,Protection Concern,Medium,4,Shelter Referral,Unable to Contact,Closed,4631,2,Stabilized
CWI-003033,Karnataka,Dharwad,2025-02-04,NGO Partner,11-14,Education Support,High,4,Counseling,Unable to Contact,Open,5927,4,Ongoing Support Needed
CWI-007939,Karnataka,Mangaluru,2023-06-20,Childline/Helpline,11-14,Education Support,High,4,Education Kit,Pending,OPEN,5378,1,Stabilized
CWI-003040,WB,Asansol,2024-05-06,Childline/Helpline,15-17,Health/Nutrition,Medium,1,Cash Support,Completed,Escalated,4956,7,Stabilized
CWI-009656,Rajasthan,Jodhpur,2025-07-24,Community Worker,0-5,Protection Concern,Medium,5,Family Counseling,Completed,Closed,4563,4,Ongoing Support Needed
CWI-002546,Tamil Nadu,Tiruchirappalli,2023-12-23,School,11-14,Protection Concern,High,1,Education Kit,Pending,Closed,9709,0,Improved Access to Services
CWI-002593,West Bengal,Howrah,2023-04-09,School,11-14,Education Support,Medium,3,Medical Referral,Pending,Closed,3774,2,Improved Access to Services
CWI-001189,Andhra Pradesh,Tirupati,2025-12-16,Police,0-5,Health/Nutrition,Medium,1,Family Counseling,Completed,Closed,3708,5,Stabilized
CWI-007967,maharashtra,Nagpur,2023-09-07,Childline/Helpline,6-10,Family Reintegration,High,2,Family Counseling,Unable to Contact,Open,4739,4,Referred to Specialist Agency
CWI-006078,Tamil Nadu,Chennai,2025-09-08,Childline/Helpline,6-10,Protection Concern,Medium,2,Education Kit,Completed,Closed,5016,6,Stabilized
CWI-000108,Karnatka,Bengaluru Urban,2023-01-09,Childline/Helpline,0-5,Education Support,High,4,Shelter Referral,Completed,Closed,8589,3,Stabilized
CWI-001316,West Bengal,Howrah,2024-04-13,NGO Partner,11-14,Protection Concern,Low,4,Family Counseling,In Progress,Referred,3290,5,Stabilized
CWI-008188,Maharashtra,Nagpur,2023-06-18,Healthcare Facility,15-17,Mental Health Support,Low,2,Shelter Referral,In Progress,Closed,1203,8,Stabilized
CWI-002754,Telangana,Karimnagar,2024-05-08,Childline/Helpline,11-14,Mental Health Support,Medium,2,Nutrition Support,Completed,Closed,3379,3,Stabilized
CWI-009754,telangana,Hyderabad,2024-08-24,Childline/Helpline,11-14,Education Support,Low,2,Family Counseling,Completed,Closed,2890,0,Improved Access to Services
CWI-006232,maharashtra,Thane,2023-05-04,Self/Family,0-5,Emergency Shelter,Critical,2,Education Kit,Completed,Referred,8748,4,Stabilized
CWI-002877,Karnataka,Mysuru,2023-04-13,NGO Partner,6-10,Emergency Shelter,High,6,Education Kit,Completed,Open,5769,4,Unable to Verify Outcome
CWI-005324,Telangana,Warangal,2023-12-14,Childline/Helpline,15-17,Education Support,Medium,1,Counseling,In Progress,Open,4313,3,Improved Access to Services
CWI-000800,kerala,Kozhikode,2024-09-03,School,6-10,Mental Health Support,High,1,Shelter Referral,Completed,Referred,5497,0,Stabilized
CWI-003571,Kerala,Kollam,2024-11-10,School,11-14,Mental Health Support,High,1,Medical Referral,Completed,Referred,8802,0,Improved Access to Services
CWI-002895,Uttar Pradesh,Lucknow,2025-09-12,Childline/Helpline,6-10,Family Reintegration,Medium,1,Medical Referral,Completed,Referred,4610,8,Unable to Verify Outcome
CWI-002928,Delhi,West Delhi,2025-12-26,Community Worker,6-10,Emergency Shelter,Low,2,Shelter Referral,Completed,Open,2702,3,Improved Access to Services
CWI-008179,Delhi,South Delhi,2025-07-13,Healthcare Facility,15-17,Mental Health Support,High,1,Nutrition Support,Completed,Closed,7819,3,Stabilized
CWI-000972,telangana,Karimnagar,2023-07-15,Healthcare Facility,6-10,Mental Health Support,Medium,2,Nutrition Support,Completed,Closed,2252,1,Stabilized
CWI-006688,Uttar Pradesh,Agra,2025-03-27,School,11-14,Protection Concern,Medium,4,Shelter Referral,Pending,Escalated,3326,3,Referred to Specialist Agency
CWI-008576,Delhi,East Delhi,2025-01-01,NGO Partner,0-5,Protection Concern,High,2,Legal Aid Referral,Completed,Closed,9017,3,Referred to Specialist Agency
CWI-002021,West Bengal,Siliguri,2025-01-05,Healthcare Facility,11-14,Health/Nutrition,High,1,Counseling,In Progress,Closed,5718,3,Stabilized
CWI-009055,Rajasthan,Kota,2025-07-05,NGO Partner,11-14,Mental Health Support,High,6,Medical Referral,Completed,Closed,8347,5,Ongoing Support Needed
CWI-000953,Karnataka,Dharwad,2023-04-28,Community Worker,11-14,Protection Concern,High,4,Medical Referral,Completed,Referred,5828,3,Improved Access to Services
CWI-005360,Rajasthan,Kota,2025-02-30,Community Worker,15-17,Education Support,Low,1,Cash Support,Pending,Escalate,541,3,Stabilized
CWI-003858,Maharashtra,Nagpur,2025-10-27,Healthcare Facility,11-14,Protection Concern,Low,3,Legal Aid Referral,Pending,Closed,3293,2,Improved Access to Services
CWI-005862,telangana,Hyderabad,2024-12-08,Community Worker,0-5,Protection Concern,Medium,4,Education Kit,Unable to Contact,Open,5547,3,Referred to Specialist Agency
CWI-003146,West Bengal,Siliguri,2023-02-09,School,6-10,Education Support,Medium,1,Medical Referral,Completed,Closed,6238,5,Ongoing Support Needed
CWI-003306,Telangana,Hyderabad,2025-12-24,School,15-17,Family Reintegration,Medium,2,Medical Referral,Pending,Referred,5504,2,Improved Access to Services
CWI-003007,Delhi,South Delhi,2024-06-05,Childline/Helpline,15-17,Protection Concern,High,6,Education Kit,Completed,Escalated,7573,2,Unable to Verify Outcome
CWI-009002,Karnatka,Belagavi,2025-05-08,Childline/Helpline,0-5,Protection Concern,Medium,5,Nutrition Support,Completed,Referred,2469,3,Stabilized
CWI-007771,telangana,Karimnagar,2024-04-28,School,6-10,Health/Nutrition,Critical,1,Education Kit,Completed,Closed,11904,0,Ongoing Support Needed
CWI-007439,Karnataka,Belagavi,2025-11-04,Childline/Helpline,15-17,Protection Concern,Medium,2,Family Counseling,Completed,Closed,5431,3,Stabilized
CWI-007943,West Bengal,Darjeeling,2023-03-26,School,15-17,Education Support,Low,1,Medical Referral,Unable to Contact,Escalated,2407,3,Referred to Specialist Agency
CWI-009239,Rajasthan,Kota,2024-06-13,Community Worker,11-14,Protection Concern,Low,2,Legal Aid Referral,Completed,Open,462,9,Stabilized
CWI-001057,Uttar Pradesh,Varanasi,2025-11-22,Healthcare Facility,6-10,Education Support,Low,2,Legal Aid Referral,Completed,Referred,1911,5,Ongoing Support Needed
CWI-003155,karnataka,Mysuru,2024-09-08,Police,0-5,Emergency Shelter,Low,2,Legal Aid Referral,In Progress,Closed,3972,6,Stabilized
CWI-003788,Andhra Pradesh,,2025-02-03,School,15-17,Family Reintegration,Low,1,Education Kit,Unable to Contact,Referred,2884,8,Ongoing Support Needed
CWI-009190,West Bengal,Siliguri,2023-11-25,NGO Partner,15-17,Family Reintegration,Medium,3,Education Kit,Completed,Open,4239,6,Stabilized
CWI-007826,karnataka,Belagavi,2023-11-04,Childline/Helpline,11-14,Mental Health Support,Medium,5,Cash Support,Completed,Escalated,4970,3,Ongoing Support Needed
CWI-007540,Karnataka,Dharwad,2024-04-01,Childline/Helpline,15-17,Protection Concern,Low,2,Nutrition Support,Completed,Closed,2480,13,Stabilized
CWI-007232,karnataka,Belagavi,2025-08-04,Childline/Helpline,11-14,Emergency Shelter,Medium,4,Counseling,Pending,Open,3567,1,Improved Access to Services
CWI-000765,Uttar Pradesh,Prayagraj,2024-08-19,Community Worker,11-14,Protection Concern,Medium,2,Counseling,In Progress,Referred,6280,0,Referred to Specialist Agency
CWI-005020,Maharashtra,Nashik,2023-07-10,School,11-14,Emergency Shelter,High,2,Nutrition Support,Unable to Contact,Closed,7042,3,Ongoing Support Needed
CWI-004904,Uttar Pradesh,Kanpur,2025-01-08,Police,15-17,Family Reintegration,Medium,2,Shelter Referral,Completed,Referred,5021,7,Referred to Specialist Agency
CWI-008094,Uttar Pradesh,Prayagraj,2024-04-12,NGO Partner,6-10,Education Support,Low,1,Nutrition Support,In Progress,Referred,605,1,Improved Access to Services
CWI-006844,Tamil Nadu,Chennai,2023-09-12,Childline/Helpline,0-5,Emergency Shelter,Medium,4,Counseling,Completed,Escalated,6346,5,Ongoing Support Needed
CWI-002166,Karnataka,Mysuru,2024-06-01,Police,6-10,Mental Health Support,Medium,4,Family Counseling,Completed,Closed,5139,5,Ongoing Support Needed
CWI-001863,Uttar Pradesh,Varanasi,2024-02-11,Childline/Helpline,11-14,Emergency Shelter,Medium,4,Legal Aid Referral,Completed,Closed,7001,0,Improved Access to Services
CWI-007851,Delhi,North Delhi,2025-12-23,NGO Partner,6-10,Education Support,High,3,Counseling,In Progress,Open,3343,0,Improved Access to Services
CWI-009124,Tamil Nadu,Coimbatore,2024-10-19,Community Worker,11-14,Emergency Shelter,Low,2,Nutrition Support,Completed,Open,3557,3,Referred to Specialist Agency
CWI-002341,Andhra Pradesh,Tirupati,2024-12-07,Community Worker,11-14,Education Support,Medium,1,Family Counseling,Completed,Closed,6895,6,Stabilized
CWI-005528,Karnataka,Mangaluru,2025-06-07,Community Worker,15-17,Emergency Shelter,Low,2,Medical Referral,Completed,Escalated,3228,4,Improved Access to Services
CWI-006744,Telangana,Warangal,2025-03-30,Healthcare Facility,11-14,Protection Concern,Medium,4,Family Counseling,Completed,Open,4202,7,Stabilized
CWI-004004,Karnataka,Mysuru,2024-02-01,Childline/Helpline,11-14,Health/Nutrition,Medium,4,Education Kit,Completed,Closed,4912,1,Stabilized
CWI-001124,Andhra Pradesh,Kurnool,2023-09-21,School,11-14,Health/Nutrition,Low,2,Counseling,In Progress,Closed,3261,9,Stabilized
CWI-008710,Tamil Nadu,Tiruchirappalli,2023-10-06,Police,11-14,Protection Concern,Medium,3,Nutrition Support,In Progress,Escalated,4440,6,Ongoing Support Needed
CWI-004050,Kerala,Thrissur,2025-09-03,Childline/Helpline,15-17,Family Reintegration,Low,5,Counseling,Pending,Referred,2722,12,Improved Access to Services
CWI-007641,Telangana,Rangareddy,2025-10-04,Police,11-14,Emergency Shelter,High,4,Shelter Referral,Completed,Closed,5925,1,Stabilized
CWI-000766,Telangana,Hyderabad,2023-03-22,Police,15-17,Health/Nutrition,Low,3,Counseling,Completed,Referred,2451,1,Ongoing Support Needed
CWI-002345,Kerala,Kollam,2025-03-28,Self/Family,15-17,Emergency Shelter,Low,3,Medical Referral,In Progress,Escalate,3019,3,Improved Access to Services
CWI-004072,West Bengal,Darjeeling,2023-05-23,NGO Partner,6-10,Protection Concern,Medium,3,Counseling,Completed,Closed,1956,9,Stabilized
CWI-007217,West Bengal,Siliguri,2023-11-22,Community Worker,15-17,Mental Health Support,High,2,Shelter Referral,Completed,Open,9504,0,Ongoing Support Needed
CWI-004217,west bengal,Asansol,2024-07-29,Police,6-10,Health/Nutrition,High,3,Nutrition Support,Completed,Closed ,3706,3,Unable to Verify Outcome
CWI-007953,Uttar Pradesh,Varanasi,2023-08-27,School,6-10,Emergency Shelter,Critical,7,Education Kit,Completed,Closed,8187,1,Referred to Specialist Agency
CWI-005971,Tamil Nadu,Chennai,2024-11-04,Healthcare Facility,0-5,Education Support,High,3,Family Counseling,In Progress,Closed,3502,4,Unable to Verify Outcome
CWI-003351,Telangana,Hyderabad,2025-04-10,Self/Family,6-10,Family Reintegration,Low,5,Counseling,Unable to Contact,Referred,4190,6,Unable to Verify Outcome
CWI-004696,West Bengal,Asansol,2024-06-18,Community Worker,11-14,Family Reintegration,Medium,2,Counseling,Completed,Closed,3427,7,Referred to Specialist Agency
CWI-003400,West Bengal,Darjeeling,2025-06-14,Childline/Helpline,6-10,Health/Nutrition,Low,4,Nutrition Support,Completed,Escalated,857,8,Ongoing Support Needed
CWI-004082,Karnataka,Mysuru,2025-11-11,Community Worker,11-14,Mental Health Support,High,2,Counseling,Completed,Closed,5648,3,Unable to Verify Outcome
CWI-009150,Andhra Pradesh,Vijayawada,2025-06-19,Childline/Helpline,6-10,Education Support,Low,6,Counseling,Completed,Referred,3388,6,Stabilized
CWI-001225,Andhra Pradesh,Visakhapatnam,2023-03-22,Community Worker,11-14,Family Reintegration,Low,3,Family Counseling,In Progress,Referred,1395,8,Stabilized
CWI-006293,Uttar Pradesh,Varanasi,2023-07-14,NGO Partner,0-5,Mental Health Support,Critical,5,Family Counseling,Pending,Closed,13710,1,Ongoing Support Needed
CWI-003123,Tamil Nadu,Tiruchirappalli,2023-07-13,Police,11-14,Health/Nutrition,Low,4,Legal Aid Referral,Completed,Open,1351,14,Improved Access to Services
CWI-000511,Telangana,Rangareddy,2023-03-23,Community Worker,15-17,Mental Health Support,Medium,2,Education Kit,Completed,Closed,4429,11,Improved Access to Services
CWI-005795,Rajasthan,Udaipur,2024-06-10,Self/Family,0-5,Emergency Shelter,Medium,3,Counseling,Completed,Open,1177,13,Stabilized
CWI-001704,Kerala,Kochi,2025-10-08,Healthcare Facility,11-14,Emergency Shelter,Critical,2,Shelter Referral,Pending,Closed,7060,1,Stabilized
CWI-009418,Kerala,Kozhikode,2024-03-25,Self/Family,11-14,Education Support,High,3,Family Counseling,Completed,Closed,8365,1,Improved Access to Services
CWI-000097,Tamil Nadu,Salem,2023-07-02,NGO Partner,6-10,Education Support,Medium,4,Family Counseling,Pending,Closed,3900,6,Improved Access to Services
CWI-006682,Uttar Pradesh,Agra,2025-01-13,Childline/Helpline,15-17,Emergency Shelter,Medium,2,Nutrition Support,Completed,Open,1615,6,Ongoing Support Needed
CWI-001513,West Bengal,Siliguri,2024-11-12,NGO Partner,6-10,Health/Nutrition,Medium,1,Family Counseling,Completed,Closed,2308,6,Stabilized
CWI-008792,rajasthan,Udaipur,2025-06-12,Childline/Helpline,6-10,Protection Concern,Medium,2,Education Kit,Completed,Referred,4438,1,Referred to Specialist Agency
CWI-000120,West Bengal,Asansol,2023-06-11,Community Worker,0-5,Health/Nutrition,Critical,3,Family Counseling,In Progress,Closed,7595,2,Referred to Specialist Agency
CWI-007792,Maharashtra,Nagpur,2024-05-27,NGO Partner,15-17,Education Support,Low,6,Counseling,In Progress,Referred,1849,7,Ongoing Support Needed
CWI-006518,West Bengal,Asansol,2023-10-07,Healthcare Facility,11-14,Protection Concern,Medium,3,Cash Support,In Progress,Referred,6638,10,Referred to Specialist Agency
CWI-000034,Tamil Nadu,Madurai,2025-02-10,Community Worker,0-5,Protection Concern,Medium,2,Family Counseling,Completed,Closed,2683,3,Ongoing Support Needed
CWI-007888,Karnataka,Mysuru,2024-03-06,Childline/Helpline,15-17,Education Support,Low,1,Legal Aid Referral,In Progress,Closed,2714,11,Unable to Verify Outcome
CWI-006831,Maharashtra,Mumbai,2024-04-16,NGO Partner,0-5,Education Support,High,5,Education Kit,Completed,Referred,4820,3,Unable to Verify Outcome
CWI-005422,Maharashtra,Nashik,2025-12-07,Police,15-17,Protection Concern,Medium,2,Family Counseling,Completed,Open,4906,8,Referred to Specialist Agency
CWI-001069,Telangana,Nizamabad,2023-06-16,Community Worker,6-10,Education Support,Low,3,Cash Support,In Progress,Closed,2648,7,Stabilized
CWI-001348,Tamil Nadu,Chennai,2025-11-20,NGO Partner,0-5,Health/Nutrition,High,2,Cash Support,Completed,Open,5021,2,Stabilized
CWI-004748,West Bengal,Howrah,2025-05-01,Self/Family,0-5,Family Reintegration,Medium,3,Counseling,In Progress,Referred,1453,4,Referred to Specialist Agency
CWI-006006,Maharahstra,Pune,2025-01-17,Childline/Helpline,15-17,Emergency Shelter,High,2,Education Kit,Pending,Open,6763,1,Stabilized
CWI-006040,Maharashtra,Pune,2024-12-02,School,6-10,Family Reintegration,Medium,4,Shelter Referral,Completed,Closed,2340,3,Referred to Specialist Agency
CWI-003818,Karnataka,Belagavi,2025-10-07,Healthcare Facility,11-14,Education Support,Medium,2,Nutrition Support,Completed,Closed,3579,4,Improved Access to Services
CWI-008447,Maharashtra,Thane,2025-03-25,Police,11-14,Health/Nutrition,Medium,1,Shelter Referral,Completed,Closed,2377,6,Improved Access to Services
CWI-005270,Maharashtra,Nagpur,2023-12-15,Healthcare Facility,15-17,Protection Concern,Low,3,Family Counseling,Completed,Closed,5086,10,Ongoing Support Needed
CWI-006898,Telengana,Nizamabad,2024-08-28,Self/Family,6-10,Emergency Shelter,Medium,4,Education Kit,Completed,Closed,3398,6,Improved Access to Services
CWI-005310,Karnataka,Dharwad,2025-01-17,Community Worker,0-5,Family Reintegration,High,2,Nutrition Support,Completed,Closed,7890,2,Referred to Specialist Agency
CWI-000032,Uttar Pradesh,Kanpur,2024-11-16,Community Worker,0-5,Health/Nutrition,High,3,Shelter Referral,Completed,Closed,1378,1,Referred to Specialist Agency
CWI-005675,Maharashtra,Pune,2024-06-28,Community Worker,6-10,Education Support,High,2,Counseling,Completed,Open,6586,0,Improved Access to Services
CWI-004387,Tamil Nadu,Salem,2023-10-08,School,11-14,Emergency Shelter,Low,5,Shelter Referral,Pending,Open,273,3,Referred to Specialist Agency
CWI-000030,West Bengal,Kolkata,2023-03-22,Childline/Helpline,11-14,Education Support,High,1,Nutrition Support,Completed,Closed,6479,4,Unable to Verify Outcome
CWI-004203,Andhra pradesh,,2023-12-17,NGO Partner,0-5,Education Support,Low,3,Medical Referral,In Progress,Closed,2152,3,Stabilized
CWI-007508,Rajasthan,Udaipur,2024-07-10,School,6-10,Family Reintegration,Medium,4,Counseling,Completed,Open,3353,3,Ongoing Support Needed
CWI-000736,West Bengal,Kolkata,2025-04-18,Healthcare Facility,11-14,Education Support,Medium,5,Education Kit,Completed,Referred,5654,7,Unable to Verify Outcome
CWI-002068,Uttar pradesh,Agra,2024-11-21,Self/Family,11-14,Mental Health Support,Medium,1,Counseling,Completed,Closed,1838,6,Stabilized
CWI-000107,Maharashtra,Nashik,2024-08-07,School,6-10,Education Support,Low,4,Medical Referral,In Progress,Closed,1274,12,Stabilized
CWI-009645,Rajasthan,Jaipur,2025-08-06,Childline/Helpline,6-10,Emergency Shelter,Low,3,Shelter Referral,Pending,Open,1539,11,Stabilized
CWI-008895,maharashtra,Thane,2023-11-01,Community Worker,0-5,Education Support,Medium,5,Nutrition Support,Completed,Closed,3966,0,Improved Access to Services
CWI-008021,karnataka,Mangaluru,2024-08-25,Community Worker,6-10,Mental Health Support,Low,2,Cash Support,Completed,Referred,2800,6,Ongoing Support Needed
CWI-002233,Andhra Pradesh,Kurnool,2024-04-08,Self/Family,11-14,Health/Nutrition,Medium,3,Family Counseling,In Progress,Open,6025,7,Stabilized
CWI-000994,Karnataka,Dharwad,2023-04-17,Community Worker,6-10,Emergency Shelter,Medium,1,Education Kit,Completed,Closed,200,9,Stabilized
CWI-009413,Karnataka,Belagavi,2025-07-17,Childline/Helpline,0-5,Mental Health Support,Low,4,Counseling,Completed,Open,852,4,Stabilized
CWI-007059,Delhi,East Delhi,2024-08-29,Self/Family,6-10,Protection Concern,Medium,3,Counseling,In Progress,Closed,2628,5,Referred to Specialist Agency
CWI-006790,Rajasthan,Jodhpur,2025-03-13,Childline/Helpline,11-14,Education Support,Medium,2,Education Kit,Completed,Open,2478,3,Improved Access to Services
CWI-000361,Uttar Pradesh,Kanpur,2023-03-20,Self/Family,11-14,Health/Nutrition,Low,2,Family Counseling,Unable to Contact,Referred,100,6,Ongoing Support Needed
