return_id,order_id,return_reason,refund_amount,return_date
RET0003204,ORD0003204,wrong_size,761.9,2026-04-03
RET0003407,ORD0003407,late_delivery,362.26,2026-04-03
RET0003971,ORD0003971,not_as_described,90.44,2026-04-03
RET0000952,ORD0000952,wrong_size,8.6,2026-04-04
RET0001908,ORD0001908,wrong_size,1327.11,2026-04-04
RET0002815,ORD0002815,damaged,1172.12,2026-04-04
RET0003103,ORD0003103,late_delivery,1307.32,2026-04-04
RET0003126,ORD0003126,damaged,1043.23,2026-04-04
RET0003406,ORD0003406,damaged,1261.85,2026-04-04
RET0003729,ORD0003729,not_as_described,664.61,2026-04-04
RET0001246,ORD0001246,damaged,178.75,2026-04-05
RET0002352,ORD0002352,wrong_size,307.97,2026-04-05
RET0003206,ORD0003206,late_delivery,1322.05,2026-04-05
RET0001233,ORD0001233,not_as_described,185.39,2026-04-06
RET0002003,ORD0002003,late_delivery,74.8,2026-04-06
RET0002107,ORD0002107,damaged,1056.79,2026-04-06
RET0002455,ORD0002455,late_delivery,736.93,2026-04-06
RET0000287,ORD0000287,late_delivery,421.98,2026-04-07
RET0000508,ORD0000508,not_as_described,698.8,2026-04-07
RET0000718,ORD0000718,late_delivery,173.03,2026-04-07
RET0000081,ORD0000081,wrong_size,91.43,2026-04-08
RET0000613,ORD0000613,late_delivery,1287.4,2026-04-08
RET0001808,ORD0001808,not_as_described,66.4,2026-04-08
RET0003209,ORD0003209,not_as_described,209.49,2026-04-08
RET0003549,ORD0003549,not_as_described,613.14,2026-04-08
RET0002500,ORD0002500,late_delivery,94.19,2026-04-09
RET0003438,ORD0003438,late_delivery,1519.97,2026-04-09
RET0003707,ORD0003707,damaged,186.64,2026-04-09
RET0000486,ORD0000486,late_delivery,451.75,2026-04-10
RET0001432,ORD0001432,damaged,10.97,2026-04-10
RET0001669,ORD0001669,late_delivery,1945.65,2026-04-10
RET0002163,ORD0002163,wrong_size,754.15,2026-04-10
RET0003690,ORD0003690,damaged,595.41,2026-04-10
RET0000353,ORD0000353,wrong_size,2231.27,2026-04-12
RET0001388,ORD0001388,not_as_described,273.72,2026-04-12
RET0001997,ORD0001997,not_as_described,369.38,2026-04-12
RET0002745,ORD0002745,damaged,861.71,2026-04-12
RET0003161,ORD0003161,wrong_size,2494.49,2026-04-12
RET0002255,ORD0002255,late_delivery,101.31,2026-04-13
RET0003046,ORD0003046,not_as_described,282.78,2026-04-13
RET0003552,ORD0003552,late_delivery,435.76,2026-04-13
RET0000334,ORD0000334,late_delivery,2637.04,2026-04-14
RET0000347,ORD0000347,damaged,603.37,2026-04-14
RET0001733,ORD0001733,damaged,275.6,2026-04-14
RET0000031,ORD0000031,wrong_size,369.77,2026-04-15
RET0000968,ORD0000968,not_as_described,86.92,2026-04-15
RET0002192,ORD0002192,wrong_size,1535.42,2026-04-15
RET0002964,ORD0002964,not_as_described,1409.82,2026-04-15
RET0003108,ORD0003108,late_delivery,326.69,2026-04-15
RET0000902,ORD0000902,damaged,11.57,2026-04-16
RET0001125,ORD0001125,not_as_described,1602.96,2026-04-16
RET0001872,ORD0001872,not_as_described,1467.38,2026-04-16
RET0003341,ORD0003341,wrong_size,176.61,2026-04-16
RET0003855,ORD0003855,not_as_described,1646.36,2026-04-16
RET0001113,ORD0001113,damaged,1241.0,2026-04-17
RET0001694,ORD0001694,wrong_size,1116.11,2026-04-17
RET0001783,ORD0001783,wrong_size,925.18,2026-04-17
RET0002810,ORD0002810,late_delivery,1063.9,2026-04-17
RET0003030,ORD0003030,damaged,363.9,2026-04-17
RET0003180,ORD0003180,damaged,83.87,2026-04-17
RET0001076,ORD0001076,late_delivery,1039.0,2026-04-18
RET0000119,ORD0000119,damaged,280.14,2026-04-19
RET0000239,ORD0000239,not_as_described,48.27,2026-04-19
RET0000925,ORD0000925,not_as_described,361.58,2026-04-19
RET0001391,ORD0001391,not_as_described,1296.49,2026-04-19
RET0002969,ORD0002969,damaged,684.06,2026-04-19
RET0003911,ORD0003911,damaged,46.79,2026-04-19
RET0003942,ORD0003942,late_delivery,930.45,2026-04-19
RET0001199,ORD0001199,damaged,1583.05,2026-04-20
RET0001887,ORD0001887,late_delivery,336.63,2026-04-20
RET0001143,ORD0001143,late_delivery,1619.02,2026-04-21
RET0001696,ORD0001696,wrong_size,1306.79,2026-04-21
RET0001884,ORD0001884,wrong_size,89.59,2026-04-21
RET0002039,ORD0002039,wrong_size,626.43,2026-04-21
RET0003065,ORD0003065,not_as_described,137.25,2026-04-21
RET0003593,ORD0003593,damaged,412.41,2026-04-21
RET0001060,ORD0001060,wrong_size,353.99,2026-04-22
RET0001712,ORD0001712,damaged,698.74,2026-04-22
RET0001960,ORD0001960,damaged,413.75,2026-04-22
RET0002951,ORD0002951,late_delivery,626.78,2026-04-22
RET0001597,ORD0001597,damaged,273.84,2026-04-23
RET0001763,ORD0001763,not_as_described,320.97,2026-04-23
RET0001822,ORD0001822,wrong_size,1159.62,2026-04-23
RET0003961,ORD0003961,wrong_size,86.94,2026-04-23
RET0003986,ORD0003986,not_as_described,834.4,2026-04-23
RET0002092,ORD0002092,damaged,780.05,2026-04-24
RET0002820,ORD0002820,damaged,2038.85,2026-04-24
RET0003572,ORD0003572,not_as_described,34.34,2026-04-24
RET0003652,ORD0003652,late_delivery,1745.97,2026-04-24
RET0000504,ORD0000504,wrong_size,884.9,2026-04-25
RET0001856,ORD0001856,not_as_described,395.68,2026-04-25
RET0002886,ORD0002886,not_as_described,1225.8,2026-04-25
RET0003517,ORD0003517,damaged,149.23,2026-04-25
RET0000374,ORD0000374,late_delivery,265.26,2026-04-26
RET0001003,ORD0001003,not_as_described,920.0,2026-04-27
RET0002385,ORD0002385,late_delivery,1342.62,2026-04-27
RET0003520,ORD0003520,late_delivery,1905.12,2026-04-27
RET0003771,ORD0003771,wrong_size,501.77,2026-04-27
RET0000481,ORD0000481,not_as_described,131.77,2026-04-28
RET0002110,ORD0002110,not_as_described,89.37,2026-04-28
RET0002720,ORD0002720,late_delivery,1692.56,2026-04-28
RET0002927,ORD0002927,late_delivery,1975.81,2026-04-28
RET0003073,ORD0003073,not_as_described,2170.54,2026-04-28
RET0003703,ORD0003703,damaged,162.55,2026-04-28
RET0001075,ORD0001075,wrong_size,460.93,2026-04-29
RET0001770,ORD0001770,wrong_size,551.88,2026-04-29
RET0003111,ORD0003111,damaged,242.12,2026-04-29
RET0001190,ORD0001190,wrong_size,777.27,2026-04-30
RET0001778,ORD0001778,not_as_described,990.73,2026-04-30
RET0002503,ORD0002503,not_as_described,808.07,2026-04-30
RET0003154,ORD0003154,damaged,1491.11,2026-04-30
RET0000118,ORD0000118,late_delivery,777.9,2026-05-01
RET0000669,ORD0000669,damaged,1791.89,2026-05-01
RET0001851,ORD0001851,late_delivery,402.67,2026-05-01
RET0000211,ORD0000211,damaged,312.89,2026-05-02
RET0002014,ORD0002014,wrong_size,128.28,2026-05-02
RET0000029,ORD0000029,not_as_described,246.3,2026-05-03
RET0000383,ORD0000383,late_delivery,857.21,2026-05-03
RET0001156,ORD0001156,wrong_size,26.77,2026-05-03
RET0002237,ORD0002237,not_as_described,645.11,2026-05-03
RET0002346,ORD0002346,not_as_described,1045.93,2026-05-03
RET0001796,ORD0001796,damaged,859.55,2026-05-05
RET0000427,ORD0000427,damaged,1534.15,2026-05-06
RET0001752,ORD0001752,wrong_size,709.04,2026-05-06
RET0002404,ORD0002404,late_delivery,855.1,2026-05-06
RET0003227,ORD0003227,late_delivery,710.28,2026-05-06
RET0000100,ORD0000100,late_delivery,921.53,2026-05-07
RET0000291,ORD0000291,late_delivery,1360.9,2026-05-07
RET0001529,ORD0001529,wrong_size,16.44,2026-05-07
RET0003197,ORD0003197,late_delivery,750.74,2026-05-07
RET0003655,ORD0003655,not_as_described,902.81,2026-05-07
RET0003978,ORD0003978,damaged,360.08,2026-05-07
RET0001709,ORD0001709,not_as_described,1116.87,2026-05-08
RET0000616,ORD0000616,not_as_described,514.49,2026-05-09
RET0003338,ORD0003338,damaged,1664.75,2026-05-10
RET0000221,ORD0000221,wrong_size,1503.15,2026-05-11
RET0000345,ORD0000345,late_delivery,100.4,2026-05-11
RET0003837,ORD0003837,not_as_described,254.32,2026-05-13
RET0003653,ORD0003653,wrong_size,1321.46,2026-05-16
RET0000188,ORD0000188,not_as_described,804.55,2026-05-17
RET0003301,ORD0003301,not_as_described,618.6,2026-05-17
