product_id,sku,product_name,category,base_price,is_active
PROD000073,SKU-000073,Home Item 73,Home,281.38,True
PROD000074,SKU-000074,Electronics Item 74,Electronics,281.75,False
PROD000075,SKU-000075,Beauty Item 75,Beauty,296.85,True
PROD000076,SKU-000076,Sports Item 76,Sports,67.83,False
PROD000077,SKU-000077,Home Item 77,Home,145.53,True
PROD000078,SKU-000078,Home Item 78,Home,23.07,False
PROD000079,SKU-000079,Home Item 79,Home,385.67,True
PROD000080,SKU-000080,Sports Item 80,Sports,273.56,True
PROD000081,SKU-000081,Sports Item 81,Sports,253.35,True
PROD000082,SKU-000082,Beauty Item 82,Beauty,367.18,True
PROD000083,SKU-000083,Apparel Item 83,Apparel,216.48,True
PROD000084,SKU-000084,Beauty Item 84,Beauty,113.19,True
PROD000085,SKU-000085,Home Item 85,Home,464.15,True
PROD000086,SKU-000086,Beauty Item 86,Beauty,465.29,True
PROD000087,SKU-000087,Beauty Item 87,Beauty,185.39,False
PROD000088,SKU-000088,Apparel Item 88,Apparel,229.02,False
PROD000089,SKU-000089,Home Item 89,Home,35.07,True
PROD000090,SKU-000090,Beauty Item 90,Beauty,130.21,True
PROD000091,SKU-000091,Beauty Item 91,Beauty,189.64,True
PROD000092,SKU-000092,Sports Item 92,Sports,496.32,True
PROD000093,SKU-000093,Apparel Item 93,Apparel,414.34,True
PROD000094,SKU-000094,Beauty Item 94,Beauty,80.92,True
PROD000095,SKU-000095,Electronics Item 95,Electronics,20.4,True
PROD000096,SKU-000096,Home Item 96,Home,102.01,True
PROD000097,SKU-000097,Apparel Item 97,Apparel,375.88,False
PROD000098,SKU-000098,Apparel Item 98,Apparel,437.25,True
PROD000099,SKU-000099,Sports Item 99,Sports,381.28,True
PROD000100,SKU-000100,Home Item 100,Home,183.97,False
PROD000101,SKU-000101,Beauty Item 101,Beauty,410.31,False
PROD000102,SKU-000102,Home Item 102,Home,116.2,False
PROD000103,SKU-000103,Home Item 103,Home,275.2,True
PROD000104,SKU-000104,Home Item 104,Home,345.43,False
PROD000105,SKU-000105,Sports Item 105,Sports,389.72,True
PROD000106,SKU-000106,Beauty Item 106,Beauty,143.57,False
PROD000107,SKU-000107,Apparel Item 107,Apparel,428.08,True
PROD000108,SKU-000108,Electronics Item 108,Electronics,288.12,True
PROD000109,SKU-000109,Home Item 109,Home,280.87,True
PROD000110,SKU-000110,Electronics Item 110,Electronics,226.31,False
PROD000111,SKU-000111,Home Item 111,Home,15.07,True
PROD000112,SKU-000112,Electronics Item 112,Electronics,261.78,True
PROD000113,SKU-000113,Electronics Item 113,Electronics,27.45,True
PROD000114,SKU-000114,Sports Item 114,Sports,418.37,True
PROD000115,SKU-000115,Home Item 115,Home,159.19,True
PROD000116,SKU-000116,Electronics Item 116,Electronics,240.91,True
PROD000117,SKU-000117,Home Item 117,Home,454.62,True
PROD000118,SKU-000118,Sports Item 118,Sports,303.49,False
PROD000119,SKU-000119,Home Item 119,Home,349.15,False
PROD000120,SKU-000120,Beauty Item 120,Beauty,84.82,False
PROD000121,SKU-000121,Electronics Item 121,Electronics,314.29,True
PROD000122,SKU-000122,Electronics Item 122,Electronics,189.17,True
PROD000123,SKU-000123,Electronics Item 123,Electronics,169.75,False
PROD000124,SKU-000124,Electronics Item 124,Electronics,181.36,True
PROD000125,SKU-000125,Beauty Item 125,Beauty,205.83,False
PROD000126,SKU-000126,Electronics Item 126,Electronics,295.68,True
PROD000127,SKU-000127,Apparel Item 127,Apparel,97.2,False
PROD000128,SKU-000128,Home Item 128,Home,34.24,False
PROD000129,SKU-000129,Sports Item 129,Sports,125.88,True
PROD000130,SKU-000130,Sports Item 130,Sports,435.64,False
PROD000131,SKU-000131,Home Item 131,Home,165.03,False
PROD000132,SKU-000132,Apparel Item 132,Apparel,382.08,False
PROD000133,SKU-000133,Apparel Item 133,Apparel,116.09,True
PROD000134,SKU-000134,Beauty Item 134,Beauty,388.55,True
PROD000135,SKU-000135,Home Item 135,Home,199.24,False
PROD000136,SKU-000136,Apparel Item 136,Apparel,117.98,True
PROD000137,SKU-000137,Sports Item 137,Sports,479.89,True
PROD000138,SKU-000138,Electronics Item 138,Electronics,324.99,True
PROD000139,SKU-000139,Home Item 139,Home,432.65,True
PROD000140,SKU-000140,Sports Item 140,Sports,282.79,True
PROD000141,SKU-000141,Beauty Item 141,Beauty,389.57,True
PROD000142,SKU-000142,Beauty Item 142,Beauty,99.31,True
PROD000143,SKU-000143,Sports Item 143,Sports,348.72,True
PROD000144,SKU-000144,Sports Item 144,Sports,368.13,True
PROD000145,SKU-000145,Apparel Item 145,Apparel,107.09,True
PROD000146,SKU-000146,Home Item 146,Home,360.8,False
PROD000147,SKU-000147,Sports Item 147,Sports,275.14,True
PROD000148,SKU-000148,Home Item 148,Home,141.55,True
PROD000149,SKU-000149,Sports Item 149,Sports,319.41,True
PROD000150,SKU-000150,Beauty Item 150,Beauty,468.24,False
PROD000151,SKU-000151,Home Item 151,Home,353.2,True
PROD000152,SKU-000152,Sports Item 152,Sports,347.26,False
PROD000153,SKU-000153,Beauty Item 153,Beauty,398.17,False
PROD000154,SKU-000154,Sports Item 154,Sports,333.89,True
PROD000155,SKU-000155,Sports Item 155,Sports,168.84,False
PROD000156,SKU-000156,Home Item 156,Home,78.82,True
PROD000157,SKU-000157,Electronics Item 157,Electronics,275.74,True
PROD000158,SKU-000158,Apparel Item 158,Apparel,98.14,False
PROD000159,SKU-000159,Beauty Item 159,Beauty,372.34,False
PROD000160,SKU-000160,Sports Item 160,Sports,72.4,False
PROD000161,SKU-000161,Electronics Item 161,Electronics,246.21,True
PROD000162,SKU-000162,Sports Item 162,Sports,319.57,True
PROD000163,SKU-000163,Home Item 163,Home,375.96,True
PROD000164,SKU-000164,Beauty Item 164,Beauty,16.77,True
PROD000165,SKU-000165,Beauty Item 165,Beauty,440.41,True
PROD000166,SKU-000166,Home Item 166,Home,247.4,True
PROD000167,SKU-000167,Sports Item 167,Sports,171.01,True
PROD000168,SKU-000168,Beauty Item 168,Beauty,321.33,True
PROD000169,SKU-000169,Electronics Item 169,Electronics,327.74,True
PROD000170,SKU-000170,Home Item 170,Home,33.03,True
PROD000171,SKU-000171,Electronics Item 171,Electronics,198.19,True
PROD000172,SKU-000172,Apparel Item 172,Apparel,464.24,True
PROD000173,SKU-000173,Beauty Item 173,Beauty,258.82,True
PROD000174,SKU-000174,Apparel Item 174,Apparel,323.28,False
PROD000175,SKU-000175,Beauty Item 175,Beauty,417.27,True
PROD000176,SKU-000176,Electronics Item 176,Electronics,371.2,True
PROD000177,SKU-000177,Sports Item 177,Sports,35.77,True
PROD000178,SKU-000178,Apparel Item 178,Apparel,237.45,True
PROD000179,SKU-000179,Electronics Item 179,Electronics,226.66,True
PROD000180,SKU-000180,Electronics Item 180,Electronics,372.15,True
PROD000181,SKU-000181,Home Item 181,Home,42.77,True
PROD000182,SKU-000182,Apparel Item 182,Apparel,272.8,True
PROD000183,SKU-000183,Electronics Item 183,Electronics,192.63,True
PROD000184,SKU-000184,Home Item 184,Home,336.77,True
PROD000185,SKU-000185,Apparel Item 185,Apparel,423.81,True
PROD000186,SKU-000186,Sports Item 186,Sports,336.12,True
PROD000187,SKU-000187,Home Item 187,Home,99.3,True
PROD000188,SKU-000188,Electronics Item 188,Electronics,33.48,False
PROD000189,SKU-000189,Home Item 189,Home,95.37,True
PROD000190,SKU-000190,Apparel Item 190,Apparel,73.7,True
PROD000191,SKU-000191,Apparel Item 191,Apparel,339.86,True
PROD000192,SKU-000192,Home Item 192,Home,479.59,True
PROD000193,SKU-000193,Sports Item 193,Sports,491.13,True
PROD000194,SKU-000194,Apparel Item 194,Apparel,204.84,True
PROD000195,SKU-000195,Home Item 195,Home,192.58,True
PROD000196,SKU-000196,Apparel Item 196,Apparel,380.2,True
PROD000197,SKU-000197,Sports Item 197,Sports,428.44,True
PROD000198,SKU-000198,Sports Item 198,Sports,457.59,True
PROD000199,SKU-000199,Beauty Item 199,Beauty,36.24,True
PROD000200,SKU-000200,Sports Item 200,Sports,358.34,True
PROD000201,SKU-000201,Beauty Item 201,Beauty,368.5,True
PROD000202,SKU-000202,Apparel Item 202,Apparel,389.02,True
PROD000203,SKU-000203,Apparel Item 203,Apparel,353.63,True
PROD000204,SKU-000204,Electronics Item 204,Electronics,450.52,False
PROD000205,SKU-000205,Electronics Item 205,Electronics,300.96,True
PROD000206,SKU-000206,Apparel Item 206,Apparel,413.1,True
PROD000207,SKU-000207,Apparel Item 207,Apparel,14.18,True
PROD000208,SKU-000208,Home Item 208,Home,91.12,False
PROD000209,SKU-000209,Home Item 209,Home,142.24,False
PROD000210,SKU-000210,Beauty Item 210,Beauty,441.99,False
PROD000211,SKU-000211,Apparel Item 211,Apparel,287.62,False
PROD000212,SKU-000212,Apparel Item 212,Apparel,204.78,True
PROD000213,SKU-000213,Electronics Item 213,Electronics,10.89,True
PROD000214,SKU-000214,Home Item 214,Home,129.39,True
PROD000215,SKU-000215,Electronics Item 215,Electronics,235.15,True
PROD000216,SKU-000216,Apparel Item 216,Apparel,49.7,False
PROD000217,SKU-000217,Home Item 217,Home,138.47,True
PROD000218,SKU-000218,Electronics Item 218,Electronics,78.42,False
PROD000219,SKU-000219,Apparel Item 219,Apparel,471.18,True
PROD000220,SKU-000220,Home Item 220,Home,444.44,False
PROD000221,SKU-000221,Apparel Item 221,Apparel,215.34,True
PROD000222,SKU-000222,Electronics Item 222,Electronics,186.2,True
PROD000223,SKU-000223,Home Item 223,Home,303.14,False
PROD000224,SKU-000224,Home Item 224,Home,384.36,True
PROD000225,SKU-000225,Beauty Item 225,Beauty,440.29,True
PROD000226,SKU-000226,Sports Item 226,Sports,226.51,True
PROD000227,SKU-000227,Apparel Item 227,Apparel,401.18,True
PROD000228,SKU-000228,Electronics Item 228,Electronics,78.96,True
PROD000229,SKU-000229,Electronics Item 229,Electronics,60.55,True
PROD000230,SKU-000230,Sports Item 230,Sports,321.73,True
PROD000231,SKU-000231,Sports Item 231,Sports,76.31,True
PROD000232,SKU-000232,Apparel Item 232,Apparel,131.83,True
PROD000233,SKU-000233,Electronics Item 233,Electronics,386.1,True
PROD000234,SKU-000234,Home Item 234,Home,469.07,True
PROD000235,SKU-000235,Beauty Item 235,Beauty,67.94,True
PROD000236,SKU-000236,Electronics Item 236,Electronics,113.53,True
PROD000237,SKU-000237,Beauty Item 237,Beauty,228.01,True
PROD000238,SKU-000238,Sports Item 238,Sports,94.55,False
PROD000239,SKU-000239,Home Item 239,Home,347.76,True
PROD000240,SKU-000240,Sports Item 240,Sports,403.54,True
PROD000241,SKU-000241,Electronics Item 241,Electronics,72.58,True
PROD000242,SKU-000242,Sports Item 242,Sports,365.43,False
PROD000243,SKU-000243,Home Item 243,Home,214.25,True
PROD000244,SKU-000244,Sports Item 244,Sports,433.06,True
PROD000245,SKU-000245,Apparel Item 245,Apparel,74.06,True
PROD000246,SKU-000246,Beauty Item 246,Beauty,97.95,False
PROD000247,SKU-000247,Home Item 247,Home,361.98,True
PROD000248,SKU-000248,Beauty Item 248,Beauty,330.43,True
PROD000249,SKU-000249,Electronics Item 249,Electronics,122.1,True
PROD000250,SKU-000250,Beauty Item 250,Beauty,371.97,True
