product_id,region,on_hand_qty,reorder_point,snapshot_date
PROD000214,West,147,21,2026-01-24
PROD000167,Northeast,1,31,2026-01-24
PROD000058,West,64,49,2026-01-24
PROD000096,West,104,54,2026-01-24
PROD000144,Northeast,167,20,2026-01-24
PROD000155,Midwest,22,58,2026-01-24
PROD000142,Midwest,203,68,2026-01-24
PROD000248,Midwest,117,42,2026-01-24
PROD000037,Midwest,106,16,2026-01-24
PROD000165,Midwest,97,55,2026-01-24
PROD000147,West,234,33,2026-01-24
PROD000129,West,56,26,2026-01-24
PROD000075,Northeast,160,40,2026-01-24
PROD000013,Southeast,164,31,2026-01-24
PROD000153,Midwest,230,54,2026-01-24
PROD000130,West,32,69,2026-01-24
PROD000175,Midwest,6,30,2026-01-24
PROD000222,Northeast,221,62,2026-01-25
PROD000084,Northeast,124,53,2026-01-25
PROD000250,Midwest,26,44,2026-01-25
PROD000047,Southeast,143,21,2026-01-25
PROD000162,Midwest,206,28,2026-01-25
PROD000227,Southeast,180,46,2026-01-25
PROD000003,West,179,35,2026-01-25
PROD000121,West,230,52,2026-01-25
PROD000240,Southeast,167,26,2026-01-25
PROD000102,Northeast,223,41,2026-01-25
PROD000005,Midwest,219,53,2026-01-25
PROD000125,Northeast,175,58,2026-01-25
PROD000002,Southeast,155,55,2026-01-25
PROD000239,Southeast,191,41,2026-01-25
PROD000049,Midwest,188,34,2026-01-25
PROD000089,Northeast,87,64,2026-01-25
PROD000068,West,218,17,2026-01-25
PROD000207,Midwest,63,34,2026-01-25
PROD000063,West,88,19,2026-01-25
PROD000116,Midwest,170,49,2026-01-25
PROD000015,Northeast,68,69,2026-01-25
PROD000093,Southeast,207,16,2026-01-25
PROD000233,Southeast,238,30,2026-01-25
PROD000034,Midwest,126,47,2026-01-25
PROD000025,West,143,21,2026-01-25
PROD000064,West,195,65,2026-01-25
PROD000163,Northeast,209,65,2026-01-25
PROD000008,Midwest,214,28,2026-01-25
PROD000098,West,163,60,2026-01-25
PROD000139,Northeast,27,37,2026-01-25
PROD000013,West,214,17,2026-01-25
PROD000205,Northeast,175,32,2026-01-25
PROD000214,Southeast,233,16,2026-01-25
PROD000057,Northeast,109,19,2026-01-25
PROD000106,Midwest,175,51,2026-01-25
PROD000142,Midwest,207,35,2026-01-25
PROD000023,Midwest,59,36,2026-01-25
PROD000202,Northeast,109,48,2026-01-25
PROD000028,Midwest,68,36,2026-01-25
PROD000189,Southeast,153,33,2026-01-25
PROD000021,Northeast,37,31,2026-01-25
PROD000101,West,229,32,2026-01-25
PROD000223,West,217,52,2026-01-25
PROD000074,Southeast,189,57,2026-01-25
PROD000099,Midwest,6,58,2026-01-25
PROD000058,Southeast,168,51,2026-01-25
PROD000246,Northeast,122,32,2026-01-25
PROD000160,West,13,42,2026-01-25
PROD000197,Midwest,30,53,2026-01-25
PROD000112,Southeast,172,57,2026-01-25
PROD000137,Midwest,32,28,2026-01-25
PROD000249,Southeast,67,44,2026-01-25
PROD000156,Midwest,139,60,2026-01-25
PROD000100,Northeast,209,28,2026-01-25
PROD000031,Northeast,42,55,2026-01-25
PROD000211,Midwest,186,18,2026-01-25
PROD000110,Northeast,113,60,2026-01-25
PROD000127,Northeast,222,49,2026-01-25
PROD000007,Southeast,63,21,2026-01-25
PROD000126,West,80,33,2026-01-25
PROD000135,Northeast,155,36,2026-01-25
PROD000140,Northeast,139,53,2026-01-25
PROD000088,Midwest,111,69,2026-01-25
PROD000185,Southeast,26,42,2026-01-25
PROD000111,Southeast,35,45,2026-01-25
PROD000011,West,50,23,2026-01-25
PROD000022,Northeast,149,38,2026-01-25
PROD000114,West,24,24,2026-01-25
PROD000108,Northeast,125,58,2026-01-25
PROD000192,West,160,65,2026-01-25
PROD000017,West,148,56,2026-01-25
PROD000035,Midwest,169,26,2026-01-25
PROD000247,Southeast,141,54,2026-01-25
PROD000016,Midwest,169,62,2026-01-25
PROD000065,West,179,65,2026-01-25
PROD000091,Southeast,164,64,2026-01-25
PROD000221,Midwest,135,49,2026-01-25
PROD000245,Northeast,225,15,2026-01-25
PROD000168,Northeast,13,18,2026-01-25
PROD000179,Northeast,10,54,2026-01-25
PROD000113,Southeast,173,52,2026-01-25
PROD000090,Midwest,106,34,2026-01-25
PROD000104,Southeast,222,61,2026-01-25
PROD000235,Southeast,29,48,2026-01-25
PROD000219,West,160,29,2026-01-25
PROD000146,Northeast,189,29,2026-01-25
PROD000145,Midwest,70,30,2026-01-25
PROD000010,West,181,27,2026-01-25
PROD000042,Midwest,70,52,2026-01-25
PROD000039,Southeast,129,21,2026-01-25
PROD000141,Northeast,139,42,2026-01-25
PROD000164,West,117,25,2026-01-25
PROD000232,West,89,44,2026-01-25
PROD000208,Northeast,144,47,2026-01-25
PROD000014,Southeast,5,21,2026-01-25
PROD000177,Southeast,115,35,2026-01-25
PROD000020,Northeast,221,47,2026-01-25
PROD000191,West,145,48,2026-01-25
PROD000095,Midwest,72,40,2026-01-25
PROD000218,Northeast,112,17,2026-01-25
PROD000237,Northeast,26,55,2026-01-25
PROD000147,Southeast,229,20,2026-01-25
PROD000174,West,112,50,2026-01-25
PROD000195,West,239,47,2026-01-25
PROD000040,Northeast,104,49,2026-01-25
PROD000055,West,83,57,2026-01-25
PROD000082,Northeast,31,18,2026-01-25
PROD000046,Northeast,79,30,2026-01-25
PROD000096,Northeast,121,67,2026-01-25
PROD000103,Northeast,151,57,2026-01-25
PROD000105,West,133,67,2026-01-25
PROD000056,Northeast,227,54,2026-01-25
PROD000076,Southeast,157,31,2026-01-25
PROD000210,West,182,60,2026-01-25
PROD000182,Southeast,200,65,2026-01-25
PROD000006,West,26,54,2026-01-25
PROD000159,Southeast,30,67,2026-01-25
PROD000136,Northeast,193,37,2026-01-25
PROD000130,West,21,44,2026-01-25
PROD000045,Midwest,197,44,2026-01-25
PROD000219,Southeast,228,31,2026-01-26
PROD000216,Southeast,187,45,2026-01-26
PROD000248,Northeast,52,19,2026-01-26
PROD000002,Midwest,26,54,2026-01-26
PROD000098,West,169,64,2026-01-26
PROD000116,Midwest,19,39,2026-01-26
PROD000006,Southeast,131,65,2026-01-26
PROD000190,Midwest,27,29,2026-01-26
PROD000237,West,115,34,2026-01-26
PROD000054,Southeast,85,58,2026-01-26
PROD000170,Northeast,13,32,2026-01-26
PROD000153,Southeast,59,58,2026-01-26
PROD000195,West,209,60,2026-01-26
PROD000081,West,19,62,2026-01-26
PROD000003,Northeast,136,29,2026-01-26
PROD000183,Midwest,20,21,2026-01-26
PROD000115,Midwest,93,31,2026-01-26
PROD000020,Midwest,224,35,2026-01-26
PROD000234,Northeast,15,24,2026-01-26
PROD000079,Southeast,91,34,2026-01-26
PROD000198,Midwest,109,64,2026-01-26
PROD000243,West,83,29,2026-01-26
PROD000178,Midwest,37,62,2026-01-26
PROD000185,Northeast,82,47,2026-01-26
PROD000108,Northeast,136,20,2026-01-26
PROD000175,Midwest,100,65,2026-01-26
PROD000050,West,54,38,2026-01-26
PROD000176,Southeast,9,23,2026-01-26
PROD000197,West,140,16,2026-01-26
PROD000128,West,100,48,2026-01-26
PROD000181,Southeast,217,42,2026-01-26
PROD000158,Midwest,183,54,2026-01-26
PROD000142,Northeast,180,33,2026-01-26
PROD000011,Midwest,48,59,2026-01-26
PROD000047,Southeast,4,48,2026-01-26
PROD000019,West,232,65,2026-01-26
PROD000167,Midwest,99,68,2026-01-26
PROD000096,West,153,23,2026-01-26
PROD000192,Midwest,232,47,2026-01-26
PROD000166,Southeast,79,60,2026-01-26
PROD000070,West,82,31,2026-01-26
PROD000063,West,0,68,2026-01-26
PROD000184,Southeast,161,19,2026-01-26
PROD000076,Northeast,236,50,2026-01-26
PROD000182,Southeast,232,24,2026-01-26
PROD000162,West,25,25,2026-01-26
PROD000205,Northeast,167,64,2026-01-26
PROD000174,West,116,22,2026-01-26
PROD000053,Southeast,100,18,2026-01-26
PROD000023,West,5,64,2026-01-26
PROD000144,West,149,41,2026-01-26
PROD000154,Midwest,57,48,2026-01-26
PROD000193,West,149,68,2026-01-26
PROD000222,Midwest,204,18,2026-01-26
PROD000028,Southeast,87,37,2026-01-26
PROD000130,Southeast,213,63,2026-01-26
PROD000010,West,31,31,2026-01-26
PROD000149,Northeast,6,35,2026-01-26
PROD000117,Midwest,199,36,2026-01-26
PROD000071,Southeast,223,50,2026-01-26
PROD000113,Southeast,203,32,2026-01-26
PROD000136,Southeast,19,42,2026-01-26
PROD000186,West,116,23,2026-01-26
PROD000009,West,168,35,2026-01-26
PROD000179,Northeast,172,61,2026-01-26
PROD000147,Southeast,108,15,2026-01-26
PROD000059,Midwest,78,57,2026-01-26
PROD000227,Southeast,61,34,2026-01-26
PROD000203,Southeast,37,24,2026-01-26
PROD000068,Northeast,173,37,2026-01-26
PROD000220,West,41,58,2026-01-26
PROD000160,West,226,61,2026-01-26
PROD000062,Midwest,10,43,2026-01-26
PROD000230,Midwest,168,33,2026-01-26
PROD000046,Midwest,37,19,2026-01-26
PROD000187,Northeast,162,39,2026-01-26
PROD000001,West,199,25,2026-01-26
PROD000080,West,56,23,2026-01-26
PROD000156,Northeast,161,20,2026-01-26
PROD000242,Southeast,3,65,2026-01-26
PROD000082,Southeast,187,66,2026-01-26
PROD000094,Northeast,220,25,2026-01-26
PROD000022,West,201,45,2026-01-26
PROD000092,Southeast,10,49,2026-01-26
PROD000245,Midwest,209,54,2026-01-26
PROD000169,West,185,52,2026-01-26
PROD000209,Northeast,72,18,2026-01-26
PROD000119,Northeast,55,43,2026-01-26
PROD000207,West,11,52,2026-01-26
PROD000077,Southeast,19,69,2026-01-26
PROD000037,West,88,67,2026-01-26
PROD000231,Southeast,148,21,2026-01-26
PROD000043,Northeast,195,37,2026-01-26
PROD000152,Northeast,4,52,2026-01-26
PROD000161,Northeast,89,38,2026-01-26
PROD000236,West,25,15,2026-01-26
PROD000100,Southeast,89,15,2026-01-26
PROD000055,Northeast,121,59,2026-01-26
PROD000025,Southeast,142,30,2026-01-26
PROD000072,Northeast,17,68,2026-01-26
PROD000233,Midwest,62,45,2026-01-26
PROD000012,Northeast,98,35,2026-01-26
PROD000099,Northeast,74,19,2026-01-26
PROD000041,Southeast,2,19,2026-01-26
PROD000097,Northeast,133,37,2026-01-26
PROD000249,West,75,38,2026-01-26
PROD000212,Northeast,28,54,2026-01-26
PROD000014,Northeast,212,41,2026-01-26
PROD000083,Southeast,99,44,2026-01-26
PROD000206,Northeast,117,19,2026-01-26
PROD000090,Midwest,232,15,2026-01-26
PROD000215,Midwest,31,33,2026-01-26
PROD000036,Northeast,10,23,2026-01-26
PROD000201,Southeast,207,56,2026-01-26
PROD000138,West,108,61,2026-01-26
PROD000134,Midwest,60,56,2026-01-26
PROD000241,Southeast,44,38,2026-01-26
PROD000194,Southeast,80,44,2026-01-26
PROD000048,Southeast,218,34,2026-01-26
PROD000069,Midwest,105,65,2026-01-26
PROD000143,Southeast,96,61,2026-01-27
PROD000200,Southeast,42,49,2026-01-27
PROD000242,Southeast,195,19,2026-01-27
PROD000238,Southeast,45,59,2026-01-27
PROD000193,Northeast,195,60,2026-01-27
PROD000236,Northeast,75,49,2026-01-27
PROD000119,Midwest,34,27,2026-01-27
PROD000146,Southeast,137,30,2026-01-27
PROD000024,West,128,37,2026-01-27
PROD000241,West,209,62,2026-01-27
PROD000150,West,101,25,2026-01-27
PROD000058,West,206,56,2026-01-27
PROD000232,Southeast,232,47,2026-01-27
PROD000133,Midwest,215,17,2026-01-27
PROD000103,Midwest,30,52,2026-01-27
PROD000030,Southeast,56,24,2026-01-27
PROD000039,Midwest,39,18,2026-01-27
PROD000028,Midwest,51,36,2026-01-27
PROD000086,Northeast,108,20,2026-01-27
PROD000111,Midwest,184,33,2026-01-27
PROD000065,Northeast,87,40,2026-01-27
PROD000187,Midwest,155,16,2026-01-27
PROD000011,West,75,25,2026-01-27
PROD000104,West,88,24,2026-01-27
PROD000052,West,168,20,2026-01-27
PROD000014,Southeast,32,61,2026-01-27
PROD000037,Northeast,179,29,2026-01-27
PROD000159,Northeast,66,23,2026-01-27
PROD000013,West,115,48,2026-01-27
PROD000115,Southeast,159,38,2026-01-27
PROD000097,Southeast,68,21,2026-01-27
PROD000233,Northeast,61,46,2026-01-27
PROD000188,Midwest,44,24,2026-01-27
PROD000154,Midwest,138,60,2026-01-27
PROD000081,Southeast,207,60,2026-01-27
PROD000038,Midwest,55,68,2026-01-27
PROD000225,Northeast,11,34,2026-01-27
PROD000021,Midwest,87,43,2026-01-27
PROD000161,Northeast,62,38,2026-01-27
PROD000226,Northeast,201,62,2026-01-27
PROD000085,West,39,19,2026-01-27
PROD000157,Midwest,156,30,2026-01-27
PROD000176,Midwest,36,41,2026-01-27
PROD000203,Southeast,6,44,2026-01-27
PROD000196,Southeast,171,51,2026-01-27
PROD000229,Southeast,3,64,2026-01-27
PROD000173,Southeast,121,59,2026-01-27
PROD000017,West,213,60,2026-01-27
PROD000167,Northeast,105,58,2026-01-27
PROD000209,Southeast,38,33,2026-01-27
PROD000083,Northeast,95,19,2026-01-27
PROD000049,Southeast,74,24,2026-01-27
PROD000231,Southeast,232,67,2026-01-27
PROD000009,Northeast,63,67,2026-01-27
PROD000210,Southeast,22,27,2026-01-27
PROD000088,Northeast,46,69,2026-01-27
PROD000016,Midwest,24,30,2026-01-27
PROD000055,Northeast,6,66,2026-01-27
PROD000002,West,127,53,2026-01-27
PROD000224,Midwest,95,32,2026-01-27
PROD000057,Southeast,98,40,2026-01-27
PROD000079,Southeast,134,53,2026-01-27
PROD000069,Midwest,47,50,2026-01-27
PROD000063,Midwest,69,33,2026-01-27
PROD000213,Northeast,194,66,2026-01-27
PROD000066,Midwest,210,63,2026-01-27
PROD000182,West,233,37,2026-01-27
PROD000168,Southeast,4,68,2026-01-27
PROD000094,Midwest,147,46,2026-01-27
PROD000153,Northeast,116,54,2026-01-27
PROD000152,Southeast,42,28,2026-01-27
PROD000195,Southeast,232,37,2026-01-27
PROD000051,West,160,61,2026-01-27
PROD000006,West,191,47,2026-01-27
PROD000147,Southeast,123,60,2026-01-27
PROD000003,Southeast,79,67,2026-01-27
PROD000199,Midwest,88,65,2026-01-27
PROD000219,West,40,20,2026-01-27
PROD000067,Midwest,160,63,2026-01-27
PROD000132,West,147,53,2026-01-27
PROD000089,Midwest,6,27,2026-01-27
PROD000135,Northeast,187,49,2026-01-27
PROD000141,Southeast,39,27,2026-01-27
PROD000247,Northeast,130,24,2026-01-27
PROD000053,Southeast,61,28,2026-01-27
PROD000122,West,1,45,2026-01-27
PROD000223,Southeast,157,49,2026-01-27
PROD000007,Southeast,2,31,2026-01-27
PROD000032,Northeast,138,39,2026-01-27
PROD000044,Midwest,141,59,2026-01-27
PROD000228,Southeast,107,16,2026-01-27
PROD000046,Northeast,45,62,2026-01-27
PROD000082,Northeast,47,35,2026-01-27
PROD000128,Midwest,210,21,2026-01-27
PROD000064,Midwest,166,22,2026-01-27
PROD000239,West,186,21,2026-01-27
PROD000237,West,69,28,2026-01-27
PROD000142,Southeast,229,27,2026-01-27
PROD000181,Southeast,98,52,2026-01-27
PROD000175,Southeast,97,43,2026-01-27
PROD000243,Midwest,229,22,2026-01-27
PROD000109,Southeast,66,30,2026-01-27
PROD000123,Southeast,219,69,2026-01-27
PROD000217,Southeast,223,36,2026-01-27
PROD000105,Midwest,80,39,2026-01-27
PROD000227,Northeast,219,51,2026-01-27
PROD000107,Southeast,161,63,2026-01-27
PROD000221,Southeast,232,42,2026-01-27
PROD000023,Northeast,113,47,2026-01-27
PROD000040,Northeast,236,52,2026-01-27
PROD000171,West,51,50,2026-01-27
PROD000166,Midwest,32,61,2026-01-27
PROD000062,Northeast,223,24,2026-01-27
PROD000025,Northeast,222,20,2026-01-27
PROD000174,Midwest,68,47,2026-01-27
PROD000042,Northeast,161,59,2026-01-27
PROD000198,Midwest,101,50,2026-01-27
PROD000101,Midwest,63,57,2026-01-27
PROD000041,Northeast,111,60,2026-01-27
PROD000138,Midwest,158,39,2026-01-27
PROD000031,West,19,30,2026-01-28
PROD000175,Northeast,211,35,2026-01-28
PROD000143,Northeast,146,30,2026-01-28
PROD000001,Northeast,35,60,2026-01-28
PROD000043,Northeast,173,69,2026-01-28
PROD000080,Southeast,89,63,2026-01-28
PROD000113,Midwest,83,56,2026-01-28
PROD000016,West,29,15,2026-01-28
PROD000202,Midwest,22,52,2026-01-28
PROD000250,West,219,34,2026-01-28
PROD000052,Southeast,223,68,2026-01-28
PROD000195,Southeast,175,66,2026-01-28
PROD000039,West,99,48,2026-01-28
PROD000089,Northeast,17,19,2026-01-28
PROD000079,Southeast,119,23,2026-01-28
PROD000090,Southeast,67,42,2026-01-28
PROD000026,Southeast,141,53,2026-01-28
PROD000207,Northeast,135,38,2026-01-28
PROD000024,West,16,22,2026-01-28
PROD000226,Midwest,70,43,2026-01-28
PROD000012,West,85,43,2026-01-28
PROD000125,Southeast,138,46,2026-01-28
PROD000023,Northeast,186,23,2026-01-28
PROD000035,Northeast,144,55,2026-01-28
PROD000010,Midwest,127,16,2026-01-28
PROD000209,West,61,35,2026-01-28
PROD000045,Midwest,223,38,2026-01-28
PROD000018,Northeast,16,68,2026-01-28
PROD000029,West,77,54,2026-01-28
PROD000019,West,32,22,2026-01-28
PROD000056,Southeast,162,20,2026-01-28
PROD000033,Northeast,55,36,2026-01-28
PROD000219,Midwest,140,41,2026-01-28
PROD000245,Southeast,219,65,2026-01-28
PROD000182,Northeast,192,35,2026-01-28
PROD000002,Northeast,102,15,2026-01-28
PROD000232,Northeast,157,38,2026-01-28
PROD000105,Northeast,114,68,2026-01-28
PROD000098,Northeast,41,22,2026-01-28
PROD000003,West,192,41,2026-01-28
PROD000115,Northeast,37,65,2026-01-28
PROD000168,West,28,63,2026-01-28
PROD000123,West,186,53,2026-01-28
PROD000112,Southeast,161,20,2026-01-28
PROD000138,Southeast,177,57,2026-01-28
PROD000218,Northeast,209,16,2026-01-28
PROD000237,West,144,30,2026-01-28
PROD000022,Southeast,202,38,2026-01-28
PROD000131,Southeast,144,43,2026-01-28
PROD000063,Midwest,218,45,2026-01-28
PROD000117,Midwest,116,27,2026-01-28
PROD000215,West,61,65,2026-01-28
PROD000225,Midwest,233,65,2026-01-28
PROD000204,Northeast,126,40,2026-01-28
PROD000083,Midwest,55,21,2026-01-28
PROD000006,Southeast,34,55,2026-01-28
PROD000196,Northeast,3,18,2026-01-28
PROD000231,Midwest,34,39,2026-01-28
PROD000064,West,236,64,2026-01-28
PROD000075,West,70,50,2026-01-28
PROD000044,Northeast,142,64,2026-01-28
PROD000233,Southeast,111,43,2026-01-28
PROD000047,Midwest,167,64,2026-01-28
PROD000170,Southeast,90,34,2026-01-28
PROD000009,Northeast,222,45,2026-01-28
PROD000229,Midwest,152,32,2026-01-28
PROD000101,Southeast,132,24,2026-01-28
PROD000160,Southeast,236,28,2026-01-28
PROD000011,Midwest,52,27,2026-01-28
PROD000206,Midwest,124,16,2026-01-28
PROD000110,West,17,17,2026-01-28
PROD000191,Northeast,119,29,2026-01-28
PROD000200,West,21,31,2026-01-28
PROD000205,Northeast,77,61,2026-01-28
PROD000241,Midwest,43,48,2026-01-28
PROD000126,Northeast,171,16,2026-01-28
PROD000040,West,207,31,2026-01-28
PROD000248,Northeast,110,44,2026-01-28
PROD000111,Midwest,182,58,2026-01-28
PROD000150,Southeast,139,58,2026-01-28
PROD000060,Southeast,231,19,2026-01-28
PROD000135,West,134,34,2026-01-28
PROD000050,Southeast,136,58,2026-01-28
PROD000067,West,178,48,2026-01-28
PROD000124,West,130,16,2026-01-28
PROD000091,Midwest,181,16,2026-01-28
PROD000228,Southeast,95,36,2026-01-28
PROD000100,Northeast,49,64,2026-01-28
PROD000179,Southeast,157,30,2026-01-28
PROD000104,Southeast,33,63,2026-01-28
PROD000239,Northeast,157,33,2026-01-28
PROD000071,Midwest,151,54,2026-01-28
PROD000129,West,201,26,2026-01-28
PROD000103,Midwest,95,63,2026-01-28
PROD000121,Northeast,210,26,2026-01-28
PROD000141,Midwest,72,39,2026-01-28
PROD000173,Southeast,12,47,2026-01-28
PROD000055,Southeast,238,64,2026-01-28
PROD000007,Midwest,152,40,2026-01-28
PROD000038,Northeast,42,61,2026-01-28
PROD000116,Southeast,208,49,2026-01-28
PROD000146,Northeast,230,52,2026-01-28
PROD000190,Midwest,122,51,2026-01-28
PROD000028,West,201,63,2026-01-28
PROD000165,West,148,18,2026-01-28
PROD000102,Northeast,8,18,2026-01-28
PROD000086,Midwest,51,54,2026-01-28
PROD000128,West,128,23,2026-01-28
PROD000155,West,33,33,2026-01-28
PROD000243,Northeast,49,23,2026-01-28
PROD000159,Northeast,141,55,2026-01-28
PROD000193,West,67,18,2026-01-28
PROD000072,West,226,62,2026-01-28
PROD000076,West,137,48,2026-01-28
PROD000184,Southeast,100,29,2026-01-28
PROD000094,West,178,48,2026-01-28
PROD000127,West,17,51,2026-01-28
PROD000013,Northeast,131,38,2026-01-28
PROD000194,West,143,46,2026-01-28
PROD000096,West,171,23,2026-01-28
PROD000173,West,51,67,2026-01-29
PROD000182,West,83,58,2026-01-29
PROD000109,Midwest,203,37,2026-01-29
PROD000208,Midwest,163,17,2026-01-29
PROD000144,Midwest,59,68,2026-01-29
PROD000169,Northeast,97,23,2026-01-29
PROD000132,Midwest,46,58,2026-01-29
PROD000214,Midwest,29,68,2026-01-29
PROD000242,Northeast,210,59,2026-01-29
PROD000139,West,39,66,2026-01-29
PROD000196,Southeast,35,53,2026-01-29
PROD000103,Midwest,228,24,2026-01-29
PROD000057,Southeast,115,47,2026-01-29
PROD000017,Midwest,25,67,2026-01-29
PROD000140,West,168,54,2026-01-29
PROD000230,Midwest,204,32,2026-01-29
PROD000225,Northeast,85,15,2026-01-29
PROD000040,Southeast,193,17,2026-01-29
PROD000237,Midwest,106,33,2026-01-29
PROD000113,Midwest,65,56,2026-01-29
PROD000016,West,88,34,2026-01-29
PROD000170,Southeast,196,25,2026-01-29
PROD000126,Southeast,209,21,2026-01-29
PROD000114,Midwest,143,63,2026-01-29
PROD000070,Northeast,229,16,2026-01-29
PROD000193,Southeast,151,61,2026-01-29
PROD000165,Southeast,30,46,2026-01-29
PROD000080,Midwest,7,53,2026-01-29
PROD000152,West,202,46,2026-01-29
PROD000197,Midwest,146,54,2026-01-29
PROD000210,Southeast,198,25,2026-01-29
PROD000015,Northeast,14,21,2026-01-29
PROD000116,Midwest,206,69,2026-01-29
PROD000013,West,76,43,2026-01-29
PROD000024,Southeast,4,58,2026-01-29
PROD000188,Southeast,169,57,2026-01-29
PROD000215,Midwest,141,35,2026-01-29
PROD000168,Northeast,232,31,2026-01-29
PROD000067,Southeast,12,22,2026-01-29
PROD000117,Southeast,121,43,2026-01-29
PROD000105,Southeast,178,37,2026-01-29
PROD000049,Southeast,224,17,2026-01-29
PROD000243,Midwest,127,31,2026-01-29
PROD000204,Northeast,206,60,2026-01-29
PROD000037,West,206,61,2026-01-29
PROD000149,Midwest,121,35,2026-01-29
PROD000195,Southeast,79,38,2026-01-29
PROD000241,Northeast,63,53,2026-01-29
PROD000229,West,55,69,2026-01-29
PROD000121,Southeast,140,17,2026-01-29
PROD000006,West,94,30,2026-01-29
PROD000207,West,219,45,2026-01-29
PROD000047,Midwest,147,18,2026-01-29
PROD000216,Southeast,205,16,2026-01-29
PROD000131,Southeast,144,41,2026-01-29
