family_id,site_state,referral_date,referral_source,outreach_attempts,engagement_status,service_type,flexible_funds_amount,case_review_flag,follow_up_completed,outcome_status
FAM-100513,Illinois,2025-10-26,CPS hotline screened-out,3,Declined,,0.0,False,True,Family declined services
FAM-100644,Ohio,2025-10-09,School,3,Pending outreach,,0.0,False,False,Still active
FAM-100072,TX,2025-06-18,Community partner,0,Declined,,0.0,False,True,Family declined services
FAM-100483,New York,2025-10-18,Self-referral,4,Engaged,Mental health referral,86.42,False,True,Needs met
FAM-100717,New York,2025-06-29,Health provider,3,Declined,,0.0,False,True,Family declined services
FAM-100673,washington,2025-02-04,CPS hotline screened-out,2,Engaged,Child care support,90.79,False,True,Needs met
FAM-100063,Texas,2025-12-20,Self-referral,3,Engaged,Mental health referral,121.19,False,True,Connected to ongoing service
FAM-100247,Wash.,2025-06-01,Self-referral,3,Engaged,Parent coaching,270.37,False,True,Needs met
FAM-100665,IL,2025-09-11,Self-referral,0,Engaged,Housing navigation,183.43,False,True,Needs met
FAM-100691,N.Y.,2025-10-18,Self-referral,0,Pending outreach,Child care support,247.87,False,False,No response after outreach
FAM-100584,OH,2025-05-28,CPS hotline screened-out,1,Engaged,Benefits enrollment,90.29,False,True,Needs met
FAM-100239,NY,2025-08-17,Family resource center,0,Unable to contact,,0.0,False,False,No response after outreach
FAM-100049,texas,2025-10-12,Health provider,2,Engaged,Parent coaching,50.91,False,True,Connected to ongoing service
FAM-100594,IL,2025-04-28,School,0,Unable to contact,Housing navigation,,False,False,No response after outreach
FAM-100335,washington,2025-10-23,Health provider,2,Engaged,Benefits enrollment,39.41,False,True,Connected to ongoing service
FAM-100324,N.Y.,2025-12-22,CPS hotline screened-out,2,Unable to contact,,0.0,False,False,No response after outreach
FAM-100534,N.Y.,2025-07-30,Family resource center,0,Declined,Concrete supports,209.84,False,False,Family declined services
FAM-100512,IL,2025-11-03,School,0,Engaged,Benefits enrollment,68.71,False,True,Connected to ongoing service
FAM-100516,WA,2025-11-18,Health provider,3,Unable to contact,,0.0,False,False,No response after outreach
FAM-100007,TX,2025-09-12,Health provider,1,Engaged,Housing navigation,288.69,False,True,Needs met
FAM-100168,WA,2025-05-03,Health provider,3,Engaged,Concrete supports,477.65,True,True,Needs met
FAM-100101,ohio,2025-03-14,Family resource center,2,Engaged,Child care support,777.22,False,True,Needs met
FAM-100712,texas,2025-09-23,Family resource center,3,Engaged,Parent coaching,199.63,False,False,No response after outreach
FAM-100350,Ill.,2025-07-14,Health provider,3,Unable to contact,,0.0,False,False,No response after outreach
FAM-100409,Washington,2025-01-06,Health provider,1,Unable to contact,Child care support,390.83,False,False,No response after outreach
FAM-100002,Ohio,2025-08-27,School,1,Engaged,Benefits enrollment,235.54,False,True,Connected to ongoing service
FAM-100552,Wash.,2025-10-30,Community partner,4,Engaged,Parent coaching,94.04,False,False,Still active
FAM-100422,,2026-99-01,Family resource center,2,Engaged,Benefits enrollment,31.8,False,True,Connected to ongoing service
FAM-100155,texas,2025-08-30,CPS hotline screened-out,0,Pending outreach,Legal aid referral,94.58,False,False,Still active
FAM-100698,washington,2025-01-19,Self-referral,4,Engaged,Mental health referral,219.05,False,True,Needs met
FAM-100720,new york,2025-02-20,CPS hotline screened-out,2,Engaged,Benefits enrollment,34.43,False,True,Needs met
FAM-100638,Washington,2025-10-17,School,1,Unable to contact,,0.0,False,False,No response after outreach
FAM-100326,NY,2025-03-28,Health provider,1,Engaged,Benefits enrollment,1.98,False,True,Needs met
FAM-100670,NY,2025-12-14,CPS hotline screened-out,0,Engaged,Legal aid referral,12.11,False,False,No response after outreach
FAM-100731,Illinois,2025-06-02,Self-referral,4,Engaged,Mental health referral,192.43,False,False,Still active
FAM-100346,OH,2025-12-28,School,7,Declined,,0.0,True,True,Family declined services
FAM-100079,Illinois,2025-09-02,Family resource center,1,Engaged,Housing navigation,76.25,False,True,Still active
FAM-100148,Texas,2025-10-27,Family resource center,1,Engaged,Parent coaching,181.23,False,False,Still active
FAM-100328,Wash.,2025-02-21,Community partner,2,Unable to contact,,0.0,False,False,No response after outreach
FAM-100732,N.Y.,2025-12-03,Family resource center,5,Engaged,Mental health referral,131.59,True,True,Still active
FAM-100290,Texas,2025-10-22,School,5,Engaged,Housing navigation,157.0,False,True,Needs met
FAM-100174,OH,2025-09-12,Health provider,3,Declined,Legal aid referral,281.04,False,False,Family declined services
FAM-100133,OH,2025-07-24,Family resource center,2,Unable to contact,,0.0,False,True,No response after outreach
FAM-100231,Wash.,2025-11-09,Family resource center,5,Engaged,Benefits enrollment,15.09,True,True,Needs met
FAM-100055,Washington,2025-01-16,Self-referral,6,Engaged,Mental health referral,68.2,False,True,Needs met
FAM-100404,Wash.,2025-07-02,School,0,Engaged,Parent coaching,220.7,False,True,Needs met
FAM-100591,washington,2025-11-26,Community partner,6,Declined,,,True,False,Family declined services
FAM-100362,New York,2025-03-23,Family resource center,1,Unable to contact,,0.0,False,True,No response after outreach
FAM-100539,Wash.,2025-01-08,Community partner,2,Engaged,Housing navigation,297.36,True,True,Connected to ongoing service
FAM-100351,New York,2025-01-17,Self-referral,3,Pending outreach,,0.0,False,False,Still active
FAM-100338,Wash.,2025-03-15,Family resource center,7,Engaged,Concrete supports,248.13,False,True,Still active
FAM-100355,N.Y.,2025-12-29,CPS hotline screened-out,2,Declined,Benefits enrollment,168.77,False,True,Family declined services
FAM-100060,IL,2025-12-03,Family resource center,7,Pending outreach,,0.0,False,True,Still active
FAM-100742,Texas,2025-08-20,Self-referral,1,Engaged,Child care support,290.48,False,True,Needs met
FAM-100608,,2025-12-19,Health provider,2,Engaged,Benefits enrollment,33.48,False,True,Connected to ongoing service
FAM-100641,TX,2025-12-01,CPS hotline screened-out,1,Declined,,0.0,False,True,Family declined services
FAM-100570,new york,2025-12-13,School,3,Engaged,Child care support,528.63,False,True,Still active
FAM-100624,NY,2025-08-09,Self-referral,2,Pending outreach,,0.0,False,,No response after outreach
FAM-100621,texas,2025-06-24,CPS hotline screened-out,3,Engaged,Legal aid referral,38.6,False,True,Needs met
FAM-100439,Ill.,2025-05-26,Health provider,0,Engaged,Mental health referral,177.57,False,True,Still active
FAM-100395,New York,2025-11-16,Health provider,2,Engaged,Parent coaching,92.45,False,True,Needs met
FAM-100090,TX,2025-06-08,Health provider,2,Declined,Concrete supports,673.51,False,True,Family declined services
FAM-100495,TX,2025-05-31,CPS hotline screened-out,2,Engaged,Benefits enrollment,48.27,True,True,Connected to ongoing service
FAM-100440,washington,2025-12-22,Health provider,4,Unable to contact,Housing navigation,-125.0,False,True,No response after outreach
FAM-100375,new york,2025-02-04,School,3,Engaged,Concrete supports,162.98,False,True,Connected to ongoing service
FAM-100158,TX,2025-07-04,Community partner,1,Engaged,Parent coaching,85.64,False,True,Connected to ongoing service
FAM-100069,N.Y.,2025-06-21,Health provider,2,Engaged,Housing navigation,2500.0,False,False,No response after outreach
FAM-100266,texas,2025-06-13,Community partner,1,Engaged,Housing navigation,96.03,False,True,Needs met
FAM-100131,NY,2025-07-22,School,3,Unable to contact,,0.0,False,True,No response after outreach
FAM-100044,washington,2025-01-25,School,1,Unable to contact,Mental health referral,26.24,False,False,No response after outreach
FAM-100070,Texas,2025-10-18,Health provider,5,Engaged,Benefits enrollment,59.71,False,False,No response after outreach
FAM-100436,Illinois,2025-07-27,Family resource center,4,Unable to contact,,0.0,True,True,No response after outreach
FAM-100286,WA,2025-02-28,Community partner,5,Engaged,Child care support,659.59,False,True,Connected to ongoing service
FAM-100575,ohio,2025-05-17,Health provider,3,Engaged,Parent coaching,10.76,False,True,Needs met
FAM-100218,Texas,2025-06-13,Self-referral,1,Engaged,Legal aid referral,24.2,False,True,Needs met
FAM-100135,Ill.,2025-04-21,CPS hotline screened-out,4,Engaged,Housing navigation,,False,,Needs met
FAM-100234,OH,2025-06-29,Health provider,1,Engaged,Parent coaching,84.24,True,True,Needs met
FAM-100165,WA,2025-02-30,Family resource center,0,Unable to contact,Benefits enrollment,51.11,False,True,No response after outreach
FAM-100164,WA,2025-06-02,CPS hotline screened-out,2,Pending outreach,Legal aid referral,4.47,False,False,Still active
FAM-100028,IL,2025-07-19,School,0,Engaged,Legal aid referral,66.4,False,True,Needs met
FAM-100586,ohio,2025-09-09,CPS hotline screened-out,1,Unable to contact,Benefits enrollment,198.37,False,False,No response after outreach
FAM-100193,New York,2025-05-13,Community partner,1,Engaged,Legal aid referral,66.67,False,True,Connected to ongoing service
FAM-100587,Ill.,2025-02-06,School,2,Engaged,Parent coaching,24.3,False,True,Needs met
FAM-100500,Washington,2025-02-11,Community partner,0,Engaged,Concrete supports,105.27,False,,Needs met
FAM-100299,Texas,2025-01-08,Self-referral,1,Unable to contact,,0.0,False,True,No response after outreach
FAM-100136,Wash.,2025-08-09,CPS hotline screened-out,2,Unable to contact,,0.0,True,False,No response after outreach
FAM-100393,IL,2025-08-07,Family resource center,2,Engaged,Mental health referral,17.54,False,True,Needs met
FAM-100292,Wash.,2025-12-15,School,3,Engaged,Legal aid referral,236.15,False,True,Still active
FAM-100692,texas,2025-12-06,Self-referral,2,Engaged,Housing navigation,406.16,True,True,Needs met
FAM-100449,Washington,2025-04-15,Community partner,1,Engaged,Parent coaching,45.8,False,True,Connected to ongoing service
FAM-100006,Wash.,2025-02-01,CPS hotline screened-out,4,Engaged,Benefits enrollment,4.8,True,True,Connected to ongoing service
FAM-100494,Illinois,2025-04-16,Self-referral,2,Declined,,0.0,False,True,Family declined services
FAM-100215,Washington,2025-04-10,Family resource center,3,Unable to contact,Mental health referral,35.13,False,False,No response after outreach
FAM-100073,illinois,2025-02-17,CPS hotline screened-out,5,Engaged,Housing navigation,171.65,False,True,Still active
FAM-100497,Wash.,2025-05-17,Community partner,0,Engaged,Concrete supports,1100.16,False,False,Still active
FAM-100630,New York,2025-09-26,Self-referral,2,Pending outreach,Legal aid referral,41.63,False,True,No response after outreach
FAM-100145,washington,2025-11-08,Family resource center,6,Engaged,Legal aid referral,133.37,True,True,Needs met
FAM-100363,new york,2025-11-23,Family resource center,2,Declined,,0.0,False,True,Family declined services
FAM-100422,Ill.,2025-10-07,Family resource center,2,Engaged,Benefits enrollment,31.8,False,True,Connected to ongoing service
FAM-100132,Wash.,2025-02-03,Family resource center,1,Unable to contact,Mental health referral,52.93,False,False,No response after outreach
FAM-100352,Ill.,2025-04-20,Community partner,3,Declined,Housing navigation,328.54,False,True,Family declined services
FAM-100554,Texas,2025-12-26,Community partner,1,Engaged,Concrete supports,76.55,False,True,Connected to ongoing service
FAM-100725,IL,13/15/2025,CPS hotline screened-out,4,Engaged,Child care support,60.74,False,True,Connected to ongoing service
FAM-100538,Washington,2025-07-17,CPS hotline screened-out,6,Engaged,Mental health referral,65.04,True,False,Still active
FAM-100041,IL,2025-10-04,Family resource center,5,Engaged,Housing navigation,161.69,True,True,Needs met
FAM-100468,new york,2025-03-08,Self-referral,3,Engaged,Parent coaching,48.56,False,True,Still active
FAM-100108,new york,2025-06-22,School,5,Engaged,Parent coaching,56.26,False,True,Needs met
FAM-100323,TX,2025-12-01,Community partner,5,Pending outreach,,0.0,False,,No response after outreach
FAM-100056,Texas,2025-07-19,Community partner,3,Engaged,Benefits enrollment,64.38,False,True,Needs met
FAM-100244,IL,2025-08-18,Family resource center,3,Engaged,Benefits enrollment,312.64,False,True,Still active
FAM-100281,Wash.,2025-06-27,Health provider,1,Declined,,0.0,False,True,Family declined services
FAM-100706,Washington,2025-01-03,CPS hotline screened-out,4,Engaged,Housing navigation,472.14,False,True,Needs met
FAM-100212,NY,2025-10-15,School,3,Pending outreach,Child care support,,False,False,No response after outreach
FAM-100628,Ill.,2025-07-04,Community partner,4,Engaged,Benefits enrollment,62.89,False,True,Connected to ongoing service
FAM-100533,N.Y.,2025-04-14,Community partner,2,Declined,Benefits enrollment,5.71,False,True,Family declined services
FAM-100024,Ohio,2025-10-13,CPS hotline screened-out,6,Pending outreach,,0.0,False,False,No response after outreach
FAM-100667,texas,2025-11-11,CPS hotline screened-out,0,Engaged,Benefits enrollment,22.39,False,False,No response after outreach
FAM-100294,N.Y.,2025-07-18,CPS hotline screened-out,3,Engaged,Parent coaching,90.52,True,True,Connected to ongoing service
FAM-100329,new york,2025-07-22,Community partner,4,Declined,,0.0,False,True,Family declined services
FAM-100610,Washington,13/15/2025,Community partner,5,Engaged,Concrete supports,86.24,False,True,Needs met
FAM-100334,OH,2025-06-17,Health provider,1,Unable to contact,,0.0,False,False,No response after outreach
FAM-100110,new york,2025-04-12,School,3,Engaged,Parent coaching,135.95,False,True,Connected to ongoing service
FAM-100082,Ohio,2025-02-28,CPS hotline screened-out,2,Engaged,,147.16,False,True,Needs met
FAM-100051,Illinois,2025-03-13,Family resource center,2,Engaged,,852.96,False,True,Still active
FAM-100457,NY,2025-08-20,Community partner,5,Unable to contact,,0.0,False,False,No response after outreach
FAM-100311,OH,2025-09-03,Family resource center,7,Engaged,Legal aid referral,314.3,False,True,Needs met
FAM-100709,WA,2025-06-20,School,4,Unable to contact,,0.0,False,False,No response after outreach
FAM-100625,illinois,2025-03-26,Health provider,2,Engaged,Legal aid referral,112.3,True,True,Needs met
FAM-100198,texas,2025-05-04,School,2,Engaged,Housing navigation,214.21,False,False,No response after outreach
FAM-100543,new york,2025-03-05,Health provider,1,Unable to contact,,0.0,False,False,No response after outreach
FAM-100336,TX,2025-12-18,Family resource center,4,Unable to contact,,0.0,False,False,No response after outreach
FAM-100309,TX,2025-02-09,Community partner,1,Engaged,Legal aid referral,169.62,False,True,Still active
FAM-100473,IL,2025-06-20,CPS hotline screened-out,2,Engaged,Benefits enrollment,176.17,False,False,No response after outreach
FAM-100396,OH,2025-01-17,Self-referral,3,Engaged,Mental health referral,102.1,True,True,Needs met
FAM-100139,N.Y.,2025-06-09,Self-referral,2,Pending outreach,,194.7,False,True,Still active
FAM-100314,OH,2025-03-31,Health provider,2,Unable to contact,Parent coaching,42.23,False,True,No response after outreach
FAM-100477,Washington,2025-01-07,Health provider,1,Declined,Concrete supports,211.78,False,True,Family declined services
FAM-100018,,2025-11-03,Community partner,2,Engaged,Housing navigation,421.45,False,True,Needs met
FAM-100568,New York,2025-08-23,Family resource center,4,Engaged,Concrete supports,182.81,True,True,Connected to ongoing service
FAM-100140,IL,2025-12-25,Community partner,3,Engaged,Concrete supports,57.4,False,False,No response after outreach
FAM-100333,OH,2025-10-30,School,2,Engaged,Parent coaching,69.86,False,True,Connected to ongoing service
FAM-100302,Ohio,2025-01-04,Self-referral,4,Declined,,0.0,False,True,Family declined services
FAM-100529,Washington,2025-12-03,CPS hotline screened-out,1,Engaged,Parent coaching,131.02,False,True,Needs met
FAM-100083,texas,2025-10-31,CPS hotline screened-out,2,Engaged,Child care support,560.94,False,False,No response after outreach
FAM-100061,Illinois,2025-09-29,Family resource center,1,Unable to contact,Child care support,230.6,False,False,No response after outreach
FAM-100724,Illinois,2025-10-14,School,1,Unable to contact,,0.0,False,True,No response after outreach
FAM-100424,texas,2025-06-02,CPS hotline screened-out,3,Unable to contact,Mental health referral,143.2,False,False,No response after outreach
FAM-100182,Ohio,2025-07-01,Self-referral,1,Unable to contact,,0.0,False,False,No response after outreach
FAM-100527,Ill.,2025-02-22,Family resource center,2,Pending outreach,,0.0,False,False,Still active
FAM-100223,Washington,2025-03-15,Self-referral,1,Engaged,Housing navigation,52.96,False,True,Needs met
FAM-100362,New York,2025-03-23,Self-referral,1,Unable to contact,,0.0,False,True,No response after outreach
FAM-100443,TX,2025-06-28,School,2,Declined,,0.0,False,True,Family declined services
FAM-100300,new york,2025-05-13,Family resource center,4,Engaged,Benefits enrollment,18.57,False,True,Still active
FAM-100299,Texas,2025-01-08,Family resource center,1,Unable to contact,,,False,True,No response after outreach
FAM-100420,N.Y.,2025-12-05,Health provider,2,Pending outreach,,0.0,True,False,No response after outreach
FAM-100211,Illinois,2025-09-19,Family resource center,1,Unable to contact,,0.0,False,True,No response after outreach
FAM-100176,Illinois,2025-09-19,CPS hotline screened-out,1,Engaged,Mental health referral,55.07,False,True,Still active
FAM-100530,Texas,2025-08-07,Community partner,5,Engaged,Parent coaching,126.85,False,True,Needs met
FAM-100340,Illinois,2025-08-20,Family resource center,1,Engaged,Concrete supports,164.58,False,True,Still active
FAM-100163,illinois,2025-05-29,Health provider,3,Declined,,0.0,True,True,Family declined services
