customer_key,total_revenue,total_orders,loyalty_tier,region_key,region_name
3756,5446.989,4,Bronze,4,Southeast
3648,5441.201,6,Bronze,2,Northeast
4568,5423.3855,5,Silver,5,Southwest
3461,5377.294,5,Gold,7,West
1311,5330.2225,4,Bronze,1,Midwest
3751,5304.058,5,Silver,4,Southeast
3114,5301.3685000000005,4,Silver,4,Southeast
3124,5289.174,5,Bronze,7,West
474,5284.915,5,Bronze,4,Southeast
2147,5276.8825,4,Bronze,3,Pacific
3400,5274.327,6,Silver,2,Northeast
2840,5272.5135,4,Bronze,1,Midwest
440,5263.5914999999995,7,Bronze,5,Southwest
864,5258.1685,6,Silver,4,Southeast
1681,5258.079,4,Silver,4,Southeast
2671,5254.102,7,Gold,2,Northeast
2884,5253.6314999999995,6,Silver,4,Southeast
2391,5240.0035,4,Bronze,3,Pacific
4286,5165.709,4,Bronze,1,Midwest
1770,5164.9619999999995,5,Bronze,4,Southeast
18,5159.717,5,Bronze,5,Southwest
3920,5155.4785,6,Silver,7,West
2793,5138.9625,6,Bronze,7,West
3849,5112.5715,5,Silver,1,Midwest
1105,5095.931,6,Bronze,7,West
2973,5094.3985,5,Silver,1,Midwest
4185,5087.641,4,Silver,3,Pacific
3642,5086.9815,4,Gold,7,West
3376,5086.937,7,Silver,2,Northeast
1548,5072.643,6,Silver,7,West
609,5068.973,4,Bronze,5,Southwest
885,5056.201,6,Bronze,2,Northeast
1248,5032.5199999999995,3,Gold,1,Midwest
44,5032.143,5,Bronze,5,Southwest
4987,5025.711,4,Silver,1,Midwest
2556,5015.433,4,Gold,2,Northeast
3644,5013.244,4,Bronze,5,Southwest
3272,5011.474,4,Bronze,2,Northeast
2239,4999.578,4,Bronze,4,Southeast
2331,4993.791,5,Bronze,4,Southeast
4312,4981.9235,5,Silver,3,Pacific
149,4975.9995,6,Gold,1,Midwest
3620,4972.662,4,Silver,5,Southwest
4660,4969.9304999999995,5,Bronze,3,Pacific
2211,4969.257,5,Silver,7,West
3553,4968.6745,3,Silver,5,Southwest
443,4938.6745,8,Silver,3,Pacific
4941,4933.2915,5,Gold,5,Southwest
4432,4914.7545,5,Bronze,4,Southeast
204,4910.693,5,Bronze,7,West
4442,4905.02,5,Gold,1,Midwest
1553,4901.7119999999995,6,Silver,4,Southeast
1559,4901.494,6,Gold,3,Pacific
461,4895.9295,4,Silver,3,Pacific
1756,4881.115,5,Bronze,3,Pacific
4741,4873.1535,5,Silver,1,Midwest
458,4870.4265,6,Silver,1,Midwest
3497,4866.5625,5,Bronze,3,Pacific
92,4863.8525,6,Silver,1,Midwest
804,4860.157,5,Silver,3,Pacific
370,4853.122,7,Bronze,4,Southeast
1114,4831.2545,5,Gold,5,Southwest
3065,4831.2325,5,Gold,7,West
2762,4821.912,6,Gold,7,West
755,4813.4169999999995,4,Bronze,2,Northeast
677,4810.1655,4,Bronze,5,Southwest
1301,4802.866,4,Bronze,1,Midwest
1611,4802.1655,5,Silver,1,Midwest
4700,4794.154,6,Bronze,7,West
1755,4792.0395,4,Bronze,5,Southwest
4668,4788.5685,4,Gold,7,West
225,4786.326,5,Bronze,5,Southwest
4601,4782.0095,5,Silver,5,Southwest
4306,4778.835,6,Bronze,2,Northeast
3382,4778.352,6,Silver,2,Northeast
1171,4767.6825,6,Gold,5,Southwest
1833,4753.592000000001,5,Bronze,1,Midwest
3825,4747.399,5,Gold,7,West
1222,4742.632500000001,6,Bronze,4,Southeast
4960,4740.1385,4,Bronze,3,Pacific
2136,4736.037,5,Silver,1,Midwest
2849,4732.969,5,Bronze,2,Northeast
4822,4720.3655,6,Gold,2,Northeast
2764,4714.915,4,Bronze,3,Pacific
2418,4709.762,6,Gold,1,Midwest
3715,4709.0945,4,Bronze,5,Southwest
3679,4707.15,4,Silver,5,Southwest
1092,4706.834,6,Bronze,3,Pacific
2725,4697.9995,6,Gold,3,Pacific
244,4697.322,5,Bronze,3,Pacific
538,4696.822,4,Silver,3,Pacific
3483,4696.0615,6,Silver,3,Pacific
4716,4692.9105,5,Bronze,5,Southwest
3765,4689.7275,6,Bronze,4,Southeast
3626,4685.6185,5,Bronze,6,Unknown
4254,4682.882,5,Silver,3,Pacific
80,4682.1515,4,Silver,5,Southwest
2405,4680.61,5,Silver,1,Midwest
12,4666.6545,4,Silver,2,Northeast
480,4665.457,7,Gold,5,Southwest
4214,4662.3355,5,Bronze,3,Pacific
3277,4660.4125,4,Bronze,7,West
1734,4638.742,4,Silver,7,West
3602,4632.853,5,Bronze,1,Midwest
3330,4628.697,5,Bronze,5,Southwest
1941,4625.2335,5,Silver,7,West
3455,4623.031,6,Bronze,3,Pacific
1249,4620.4635,8,Silver,2,Northeast
1344,4604.397,5,Bronze,7,West
4771,4594.503,4,Bronze,2,Northeast
3366,4589.968,5,Gold,7,West
558,4588.4665,5,Bronze,4,Southeast
253,4583.6165,3,Bronze,7,West
938,4580.0045,3,Bronze,5,Southwest
1130,4576.603499999999,3,Bronze,1,Midwest
3505,4574.7515,5,Silver,2,Northeast
51,4572.407,5,Bronze,1,Midwest
1391,4569.309,6,Bronze,7,West
2797,4551.7025,6,Bronze,3,Pacific
1716,4541.7815,3,Silver,1,Midwest
2657,4541.62,3,Silver,7,West
4167,4540.2285,4,Silver,7,West
1709,4532.8265,6,Silver,4,Southeast
3178,4532.6179999999995,4,Silver,2,Northeast
3546,4529.305,5,Silver,7,West
3896,4528.9655,5,Bronze,1,Midwest
4384,4521.689,4,Gold,4,Southeast
3482,4521.581,5,Bronze,7,West
3490,4516.86,5,Silver,7,West
1365,4516.797500000001,4,Gold,7,West
4134,4513.454,5,Silver,7,West
1760,4509.275,6,Bronze,3,Pacific
1573,4501.91,3,Silver,2,Northeast
3000,4497.899,4,Gold,4,Southeast
3031,4496.112,5,Silver,4,Southeast
1632,4495.91,6,Bronze,2,Northeast
1319,4487.6849999999995,4,Bronze,1,Midwest
2067,4487.1205,6,Silver,2,Northeast
417,4469.674,5,Bronze,1,Midwest
2807,4466.8835,5,Silver,4,Southeast
4819,4461.7210000000005,5,Bronze,1,Midwest
4765,4460.199,8,Bronze,7,West
2168,4451.011,3,Bronze,7,West
1778,4436.273,5,Silver,1,Midwest
2682,4435.8405,7,Silver,7,West
1577,4431.5795,4,Bronze,2,Northeast
3562,4425.0965,3,Bronze,2,Northeast
911,4414.865,5,Gold,4,Southeast
2619,4414.5824999999995,5,Silver,4,Southeast
4726,4413.3795,5,Silver,4,Southeast
3993,4396.2465,5,Bronze,3,Pacific
3654,4388.971,8,Bronze,2,Northeast
4093,4384.86,4,Bronze,7,West
4508,4380.655,4,Bronze,1,Midwest
3956,4377.0315,4,Bronze,4,Southeast
4917,4371.966,3,Silver,2,Northeast
1428,4361.4015,4,Bronze,5,Southwest
812,4361.3895,5,Bronze,5,Southwest
342,4359.7415,3,Bronze,5,Southwest
4862,4354.631,4,Silver,7,West
2702,4327.493,5,Silver,1,Midwest
835,4321.1945,5,Silver,4,Southeast
1751,4317.3435,5,Bronze,7,West
4035,4309.4485,4,Bronze,3,Pacific
2105,4304.602,4,Bronze,4,Southeast
2260,4301.341,4,Bronze,4,Southeast
1056,4292.332,5,Bronze,3,Pacific
2567,4286.2695,5,Bronze,1,Midwest
2049,4283.214,6,Silver,7,West
3174,4275.776,4,Silver,5,Southwest
3884,4265.8755,4,Bronze,4,Southeast
3498,4251.5385,5,Gold,4,Southeast
4377,4249.728,5,Gold,1,Midwest
2577,4243.508,4,Gold,3,Pacific
3520,4241.938,3,Bronze,4,Southeast
4628,4241.722,5,Bronze,3,Pacific
2313,4233.846,4,Bronze,5,Southwest
1664,4228.798,5,Silver,4,Southeast
3032,4225.936,3,Bronze,5,Southwest
3218,4223.4,4,Silver,3,Pacific
1356,4220.99,4,Bronze,1,Midwest
2834,4217.0915,4,Silver,5,Southwest
4844,4216.4455,4,Silver,2,Northeast
2649,4213.1675,5,Bronze,5,Southwest
4666,4203.714,5,Silver,7,West
2010,4203.4635,5,Silver,7,West
3692,4201.198,5,Bronze,3,Pacific
2258,4198.5705,5,Gold,5,Southwest
1871,4196.308,4,Silver,2,Northeast
2609,4189.2715,4,Bronze,4,Southeast
3819,4184.6775,5,Silver,7,West
2962,4184.1359999999995,4,Bronze,2,Northeast
3709,4179.8555,3,Bronze,1,Midwest
312,4179.1245,5,Bronze,3,Pacific
842,4178.0865,5,Bronze,3,Pacific
2352,4176.687,6,Bronze,3,Pacific
3372,4173.9259999999995,4,Silver,7,West
1021,4167.5115000000005,3,Gold,4,Southeast
2318,4164.5960000000005,4,Gold,3,Pacific
306,4162.139,4,Silver,7,West
819,4158.384,5,Bronze,1,Midwest
30,4157.456999999999,4,Bronze,4,Southeast
1656,4156.932,4,Bronze,3,Pacific
1579,4153.2775,5,Gold,2,Northeast
4924,4147.26,3,Bronze,2,Northeast
452,4146.9214999999995,5,Silver,7,West
3322,4143.4145,5,Silver,5,Southwest
22,4139.4995,5,Silver,1,Midwest
460,4135.369500000001,4,Bronze,3,Pacific
4805,4134.6865,4,Bronze,3,Pacific
1654,4132.2975,5,Silver,1,Midwest
611,4128.173,6,Bronze,4,Southeast
4735,4127.914,4,Bronze,1,Midwest
4410,4126.5345,4,Silver,2,Northeast
487,4126.1900000000005,8,Gold,4,Southeast
613,4125.8845,4,Bronze,5,Southwest
1169,4113.888,3,Bronze,7,West
1545,4111.688,4,Bronze,4,Southeast
2107,4107.6325,3,Silver,2,Northeast
3261,4104.7025,4,Bronze,5,Southwest
2108,4098.3745,5,Silver,5,Southwest
78,4094.7095,4,Bronze,2,Northeast
3077,4090.9804999999997,4,Bronze,5,Southwest
2574,4083.183,6,Bronze,3,Pacific
2706,4074.81,4,Silver,1,Midwest
2484,4073.706,4,Silver,4,Southeast
1236,4072.4235,4,Bronze,7,West
3898,4066.056,4,Bronze,5,Southwest
1125,4064.9155,7,Bronze,2,Northeast
1162,4061.9795,4,Silver,4,Southeast
2296,4061.8660000000004,4,Gold,1,Midwest
62,4057.384,3,Bronze,5,Southwest
4300,4055.455,4,Bronze,1,Midwest
196,4053.456,3,Gold,1,Midwest
1922,4052.282,3,Silver,1,Midwest
3568,4045.8625,3,Bronze,2,Northeast
1772,4042.212,3,Silver,7,West
4655,4039.578,3,Gold,3,Pacific
3,4037.195,4,Silver,5,Southwest
2098,4035.25,7,Bronze,2,Northeast
2786,4029.7380000000003,4,Gold,5,Southwest
1148,4027.458,5,Bronze,7,West
2568,4023.068,4,Silver,4,Southeast
4938,4019.6594999999998,5,Bronze,2,Northeast
1039,4019.0355000000004,4,Bronze,1,Midwest
3335,4014.6855,4,Bronze,3,Pacific
2463,4014.5795,3,Bronze,4,Southeast
2783,4009.3979999999997,5,Silver,3,Pacific
3434,4007.232,5,Silver,7,West
2988,4007.002,5,Gold,4,Southeast
2225,4001.31,4,Silver,5,Southwest
3976,3988.7785000000003,4,Bronze,2,Northeast
1885,3988.4715,5,Gold,2,Northeast
3019,3972.3855000000003,5,Bronze,4,Southeast
1920,3969.5065,3,Silver,7,West
564,3969.159,5,Bronze,2,Northeast
1741,3956.1105,5,Silver,2,Northeast
3071,3955.7165,6,Bronze,2,Northeast
4426,3952.163,4,Silver,5,Southwest
899,3949.9025,4,Silver,5,Southwest
4301,3947.441,5,Silver,4,Southeast
2977,3942.63,3,Silver,2,Northeast
4843,3942.302,3,Bronze,5,Southwest
4341,3940.7254999999996,3,Bronze,7,West
1075,3938.821,3,Silver,3,Pacific
526,3936.831,4,Gold,2,Northeast
1507,3935.336,5,Gold,3,Pacific
341,3934.167,7,Bronze,4,Southeast
1110,3933.4705,5,Silver,5,Southwest
577,3927.2245,4,Gold,5,Southwest
4929,3926.7315000000003,4,Silver,4,Southeast
48,3926.384,4,Silver,5,Southwest
1446,3924.054,4,Bronze,7,West
3637,3922.6710000000003,5,Bronze,2,Northeast
1940,3922.629,5,Bronze,3,Pacific
3655,3919.7560000000003,5,Bronze,2,Northeast
3312,3917.79,3,Bronze,2,Northeast
2968,3909.5155,5,Silver,4,Southeast
4097,3900.6144999999997,4,Bronze,2,Northeast
2678,3895.9515,4,Gold,7,West
2002,3894.4465,5,Gold,1,Midwest
2931,3883.527,4,Bronze,1,Midwest
4366,3880.716,5,Bronze,7,West
2895,3875.8685,4,Bronze,7,West
3607,3871.031,5,Bronze,4,Southeast
2734,3870.785,3,Bronze,5,Southwest
1212,3867.7765,4,Silver,7,West
1402,3864.813,3,Bronze,7,West
4391,3860.422,5,Silver,1,Midwest
3033,3854.2925,4,Silver,5,Southwest
2720,3853.3715,4,Bronze,2,Northeast
3841,3851.038,6,Bronze,4,Southeast
4802,3845.7905,5,Silver,1,Midwest
2755,3842.188,5,Bronze,2,Northeast
3517,3840.989,3,Gold,5,Southwest
2647,3840.169,4,Bronze,5,Southwest
636,3839.974,4,Silver,5,Southwest
1232,3839.3065,4,Bronze,5,Southwest
3625,3839.0805,5,Bronze,4,Southeast
1137,3838.1929999999998,4,Gold,2,Northeast
2765,3837.6815,5,Silver,1,Midwest
3900,3836.961,4,Bronze,2,Northeast
2673,3833.735,5,Gold,7,West
3005,3832.2875000000004,5,Silver,3,Pacific
4059,3831.835,3,Bronze,3,Pacific
4412,3830.0640000000003,5,Bronze,4,Southeast
642,3823.42,3,Silver,4,Southeast
2662,3822.2619999999997,6,Gold,1,Midwest
916,3817.374,4,Silver,2,Northeast
4463,3817.0995000000003,4,Bronze,1,Midwest
3375,3813.9935,4,Silver,3,Pacific
1393,3809.629,4,Bronze,6,Unknown
3600,3809.2055,4,Bronze,7,West
3412,3807.6105000000002,5,Silver,7,West
4914,3807.277,5,Bronze,3,Pacific
3244,3793.9359999999997,5,Bronze,7,West
1966,3792.741,2,Silver,3,Pacific
4577,3788.962,3,Bronze,1,Midwest
4471,3788.2775,5,Silver,1,Midwest
364,3788.17,4,Gold,3,Pacific
1291,3784.842,4,Silver,1,Midwest
2243,3782.292,5,Silver,4,Southeast
2129,3781.2825000000003,5,Gold,4,Southeast
1231,3777.6525,4,Gold,1,Midwest
1856,3772.7225,4,Bronze,3,Pacific
4750,3766.6705,4,Bronze,5,Southwest
3843,3760.185,4,Bronze,5,Southwest
1140,3759.5389999999998,4,Bronze,1,Midwest
1864,3757.1285000000003,4,Bronze,5,Southwest
2754,3757.0325000000003,3,Silver,2,Northeast
4933,3756.674,3,Bronze,2,Northeast
3094,3752.5275,3,Gold,4,Southeast
3003,3750.248,4,Bronze,4,Southeast
2177,3748.3845,4,Bronze,7,West
4133,3748.1349999999998,3,Bronze,3,Pacific
3775,3747.8585,4,Silver,5,Southwest
2046,3746.767,3,Gold,2,Northeast
4225,3741.1515,4,Bronze,2,Northeast
4664,3741.0555,4,Silver,4,Southeast
3301,3739.6085,3,Silver,3,Pacific
3331,3739.0295,4,Bronze,2,Northeast
3632,3731.11,3,Silver,5,Southwest
4239,3729.628,4,Silver,5,Southwest
890,3729.2129999999997,3,Bronze,4,Southeast
1851,3726.87,3,Gold,1,Midwest
3437,3726.623,4,Bronze,4,Southeast
1257,3726.2439999999997,2,Silver,5,Southwest
256,3723.288,4,Gold,1,Midwest
4591,3722.9375,5,Silver,4,Southeast
2547,3722.8825,3,Silver,5,Southwest
1433,3721.06,3,Bronze,4,Southeast
1449,3716.989,4,Silver,4,Southeast
2169,3715.3655,4,Silver,1,Midwest
3415,3713.7520000000004,4,Bronze,7,West
1252,3713.222,4,Bronze,4,Southeast
3162,3710.074,4,Silver,1,Midwest
338,3707.214,4,Silver,5,Southwest
1722,3703.519,4,Bronze,4,Southeast
4855,3694.9080000000004,4,Bronze,5,Southwest
789,3693.1545,4,Silver,5,Southwest
336,3685.691,5,Silver,2,Northeast
415,3682.48,4,Silver,4,Southeast
4759,3682.0964999999997,4,Bronze,3,Pacific
2827,3681.9480000000003,4,Silver,4,Southeast
757,3679.2635,5,Bronze,4,Southeast
31,3675.6545,6,Bronze,4,Southeast
380,3674.915,5,Silver,5,Southwest
2317,3673.9225,4,Gold,7,West
2485,3669.4955,4,Bronze,2,Northeast
3746,3667.5405,3,Bronze,5,Southwest
646,3663.942,4,Bronze,2,Northeast
651,3663.8705,6,Gold,3,Pacific
610,3661.856,3,Silver,2,Northeast
790,3660.94,4,Bronze,3,Pacific
2103,3659.858,5,Silver,5,Southwest
1031,3657.5165,4,Bronze,3,Pacific
4916,3657.426,4,Bronze,4,Southeast
2251,3652.816,4,Silver,1,Midwest
174,3650.673,4,Bronze,1,Midwest
3480,3648.825,5,Silver,5,Southwest
3150,3648.4995,4,Bronze,2,Northeast
4811,3644.7315,6,Bronze,3,Pacific
1086,3644.0275,5,Silver,7,West
91,3641.901,4,Bronze,3,Pacific
2902,3639.803,3,Silver,1,Midwest
3383,3638.292,4,Bronze,1,Midwest
645,3637.9705,4,Silver,5,Southwest
1497,3636.179,6,Bronze,5,Southwest
2541,3631.6825,4,Gold,5,Southwest
1261,3629.695,4,Gold,2,Northeast
2464,3623.5915,3,Gold,3,Pacific
2801,3615.8439999999996,3,Bronze,1,Midwest
1832,3613.1040000000003,5,Silver,4,Southeast
1080,3612.834,4,Gold,5,Southwest
3422,3611.4300000000003,4,Silver,7,West
4907,3594.7995,5,Silver,3,Pacific
4087,3594.7464999999997,4,Bronze,7,West
4163,3593.205,4,Silver,5,Southwest
3208,3592.4115,4,Bronze,4,Southeast
2906,3590.2655,6,Bronze,3,Pacific
644,3587.15,5,Bronze,7,West
1090,3572.6585,3,Silver,7,West
3052,3572.448,5,Silver,3,Pacific
4381,3566.4195,4,Bronze,2,Northeast
703,3566.221,5,Bronze,4,Southeast
2236,3563.7864999999997,5,Silver,2,Northeast
1581,3560.2295,6,Silver,1,Midwest
3059,3558.8555,3,Silver,5,Southwest
657,3546.109,5,Gold,7,West
2039,3545.983,4,Gold,7,West
2256,3544.491,4,Bronze,7,West
1177,3539.2934999999998,3,Silver,7,West
1902,3529.4595,5,Silver,7,West
2598,3526.3775,4,Silver,1,Midwest
2392,3524.8599999999997,5,Bronze,1,Midwest
522,3524.038,4,Bronze,5,Southwest
3760,3523.4570000000003,3,Bronze,2,Northeast
1168,3517.564,4,Bronze,7,West
2689,3517.057,4,Bronze,2,Northeast
157,3510.2015,5,Bronze,3,Pacific
837,3507.937,4,Gold,3,Pacific
2664,3507.349,5,Gold,5,Southwest
2563,3503.816,4,Bronze,1,Midwest
4353,3501.123,5,Bronze,2,Northeast
539,3495.403,4,Bronze,7,West
732,3495.0075,4,Gold,2,Northeast
2050,3493.369,5,Bronze,5,Southwest
3216,3489.9835,3,Bronze,7,West
2919,3489.81,4,Gold,2,Northeast
2151,3487.6155,2,Silver,5,Southwest
2188,3487.0164999999997,5,Bronze,2,Northeast
4233,3486.2200000000003,3,Silver,5,Southwest
3156,3483.666,3,Gold,5,Southwest
1837,3482.047,4,Bronze,7,West
