category,product_name,revenue,units_sold,refunded
Fashion,FAS-APP-0081,67402.3795,292,2180.1225
Home,HOM-DEC-0044,65306.2515,304,2534.8955
Home,HOM-FUR-0054,65275.11,327,2510.2985
Electronics,ELE-AUD-0004,65093.906,296,2801.362
Electronics,ELE-AUD-0007,65087.449,300,3433.1365
Sports,SPO-ATH-0179,64822.7005,333,1332.055
Home,HOM-DEC-0063,64152.8585,295,2717.67
Sports,SPO-OUT-0171,63211.4295,300,3172.4495
Sports,SPO-ATH-0165,62880.901,284,2035.268
Sports,SPO-OUT-0176,62738.712999999996,263,3176.999
Fashion,FAS-SHO-0088,62375.3085,289,2922.466
Beauty,BEA-MAK-0136,62018.24,284,2295.8175
Fashion,FAS-BAG-0095,61833.9805,300,3048.5595
Electronics,ELE-MOB-0005,61771.5205,313,3318.52
Sports,SPO-FIT-0146,61554.216,329,1497.8425
Fashion,FAS-BAG-0104,61068.4135,301,2332.4605
Beauty,BEA-MAK-0133,60972.764,320,3016.9855
Electronics,ELE-MOB-0002,60822.801,273,4313.9395
Beauty,BEA-SKI-0142,60787.4445,280,3248.5295
Sports,SPO-ATH-0157,60117.4595,307,2627.171
Electronics,ELE-MOB-0032,59551.5285,290,3695.5065
Beauty,BEA-SKI-0139,59206.242,354,1379.2065
Home,HOM-FUR-0047,59073.509,332,3855.31
Home,HOM-FUR-0043,58648.123,274,2440.7615
Home,HOM-FUR-0041,58644.823,275,2416.3465
Home,HOM-DEC-0053,58166.013,288,3676.706
Sports,SPO-ATH-0164,57622.4665,328,3603.0165
Sports,SPO-OUT-0159,56849.37,295,1554.228
Sports,SPO-ATH-0180,56449.496,275,3675.596
Sports,SPO-FIT-0163,56320.6405,314,1897.2055
Electronics,ELE-MOB-0035,53842.3345,290,2902.137
Sports,SPO-OUT-0166,53390.962,318,2102.233
Sports,SPO-OUT-0160,53043.824,257,2386.377
Electronics,ELE-AUD-0006,53018.2575,346,3126.983
Electronics,ELE-AUD-0028,52888.566,315,1524.808
Home,HOM-KIT-0048,51668.655,336,1899.1685
Electronics,ELE-MOB-0029,51558.9875,290,2420.8985
Electronics,ELE-ACC-0020,50961.274,311,3268.445
Fashion,FAS-BAG-0097,50959.819,321,1481.182
Fashion,FAS-SHO-0107,50808.3355,289,3382.828
Electronics,ELE-ACC-0026,50199.094,302,2784.424
Fashion,FAS-SHO-0093,49123.4445,327,2339.346
Sports,SPO-OUT-0147,48393.4715,331,3127.3485
Home,HOM-FUR-0038,48386.2015,308,2001.55
Fashion,FAS-BAG-0094,48297.115,317,2051.804
Sports,SPO-OUT-0151,48190.6705,302,2031.524
Beauty,BEA-SKI-0123,47854.4405,331,1822.9825
Fashion,FAS-SHO-0075,47673.6705,357,1398.969
Beauty,BEA-HAI-0128,47279.8985,363,1876.4175
Beauty,BEA-HAI-0112,47212.9715,283,2068.925
Sports,SPO-ATH-0158,46570.5035,287,2332.135
Beauty,BEA-HAI-0137,46432.794499999996,275,1169.6655
Home,HOM-KIT-0070,46302.447,283,1371.718
Fashion,FAS-BAG-0083,45568.814,341,1950.532
Beauty,BEA-MAK-0126,44855.1205,269,2702.357
Sports,SPO-ATH-0170,44678.9575,303,1984.346
Sports,SPO-ATH-0178,44205.8355,321,1858.45
Fashion,FAS-APP-0086,44043.4675,319,1739.079
Fashion,FAS-SHO-0103,44028.5835,321,1772.4634999999998
Electronics,ELE-MOB-0015,43833.525,274,1188.74
Electronics,ELE-ACC-0019,43013.1815,314,1847.5805
Beauty,BEA-MAK-0114,42533.1425,365,1517.8495
Fashion,FAS-APP-0105,41539.1895,289,2088.6535
Fashion,FAS-SHO-0078,41023.4845,342,2407.958
Beauty,BEA-HAI-0119,40692.502,307,2514.7535
Sports,SPO-ATH-0175,40345.539,365,1615.1315
Home,HOM-KIT-0062,40343.302,302,2261.458
Sports,SPO-FIT-0167,40235.23,291,2148.25
Electronics,ELE-MOB-0033,39958.213,340,1115.368
Home,HOM-KIT-0072,38916.444,327,2063.9315
Beauty,BEA-MAK-0110,38901.5905,251,1648.011
Fashion,FAS-APP-0092,38007.5765,297,1074.7775
Beauty,BEA-HAI-0135,37406.918,343,1856.1655
Home,HOM-DEC-0061,36449.3825,325,1320.7839999999999
Beauty,BEA-SKI-0124,36387.474,298,1653.2475
Fashion,FAS-SHO-0102,34601.853,302,1918.944
Electronics,ELE-AUD-0030,34593.235,301,1677.1325
Beauty,BEA-MAK-0132,33968.13,277,753.832
Home,HOM-KIT-0065,32062.996,313,1067.559
Home,HOM-FUR-0067,29428.0625,327,1394.3990000000001
Home,HOM-DEC-0039,29162.002500000002,343,757.5649999999999
Home,HOM-FUR-0040,28994.5835,316,1223.0194999999999
Electronics,ELE-ACC-0009,28936.906,317,929.254
Electronics,ELE-ACC-0011,28926.3705,365,1656.315
Beauty,BEA-SKI-0117,27968.2355,323,1255.969
Beauty,BEA-MAK-0134,27840.4085,300,1156.7895
Home,HOM-KIT-0057,27154.1095,295,1154.3
Electronics,ELE-AUD-0027,26095.2095,270,564.825
Home,HOM-KIT-0064,26073.9425,295,1098.8785
Fashion,FAS-BAG-0076,24252.568,304,675.096
Electronics,ELE-ACC-0034,24147.1545,321,1164.4750000000001
Electronics,ELE-MOB-0013,23914.384,283,813.3495
Electronics,ELE-MOB-0022,23627.196500000002,276,798.0865
Beauty,BEA-SKI-0111,23155.4455,318,902.5205
Home,HOM-DEC-0071,23074.1665,322,674.852
Beauty,BEA-MAK-0120,22105.557,252,800.7384999999999
Electronics,ELE-AUD-0021,21358.613,296,1693.708
Home,HOM-FUR-0056,20457.198,296,911.037
Beauty,BEA-SKI-0127,17877.432,300,879.6225000000001
Fashion,FAS-BAG-0085,17643.735,303,489.9425
Fashion,FAS-BAG-0084,15747.7335,301,523.783
Beauty,BEA-HAI-0116,15745.711,332,445.101
Home,HOM-KIT-0045,15477.951,271,703.0195
Electronics,ELE-MOB-0003,15184.1025,266,778.728
Beauty,BEA-HAI-0118,14672.696,328,403.59950000000003
Home,HOM-DEC-0055,14363.5905,268,586.273
Sports,SPO-FIT-0154,13646.6085,288,734.028
Sports,SPO-OUT-0172,13616.5665,285,634.9165
Electronics,ELE-AUD-0017,12186.2395,338,422.4445
Beauty,BEA-MAK-0138,11650.931,347,698.841
Sports,SPO-OUT-0169,10843.7025,302,440.637
Fashion,FAS-APP-0079,10649.524,315,529.1435
Sports,SPO-ATH-0152,10318.325,265,352.3985
Fashion,FAS-BAG-0100,10055.346,304,595.5840000000001
Sports,SPO-FIT-0148,8837.8465,332,321.6055
Sports,SPO-FIT-0145,8755.907,375,395.2785
Fashion,FAS-BAG-0074,8076.402,297,137.321
Beauty,BEA-MAK-0115,7661.0165,322,195.9955
Sports,SPO-OUT-0153,7571.977,321,297.781
Electronics,ELE-ACC-0025,7247.0955,326,320.129
Beauty,BEA-MAK-0125,7242.1425,306,402.0985
Home,HOM-DEC-0052,7228.0295,312,316.889
Electronics,ELE-MOB-0016,6715.897,278,305.8225
Fashion,FAS-SHO-0108,6649.843,311,268.3155
Beauty,BEA-SKI-0143,5916.9245,325,302.664
Electronics,ELE-AUD-0008,5778.474,261,88.68299999999999
Home,HOM-DEC-0058,5239.6265,270,200.10399999999998
Home,HOM-FUR-0037,4974.637,303,161.7405
Fashion,FAS-SHO-0090,4885.455,323,236.0165
Electronics,ELE-AUD-0018,4181.7390000000005,337,281.16
Beauty,BEA-MAK-0113,4063.0485,357,113.0535
Beauty,BEA-MAK-0130,3925.693,301,133.6215
Sports,SPO-FIT-0150,3410.123,269,94.958
Electronics,ELE-MOB-0014,3162.7745,316,102.325
Home,HOM-KIT-0046,2949.792,309,106.541
Fashion,FAS-BAG-0087,2418.911,310,129.5255
