family_id,site_state,referral_date,referral_source,outreach_attempts,engagement_status,service_type,flexible_funds_amount,case_review_flag,follow_up_completed,outcome_status,site_state_original,referral_date_raw,flexible_funds_amount_raw,fund_amount_capped_flag,engagement_status_valid,outcome_status_valid,duplicate_family_id_flag
FAM-100053,Illinois,2025-06-20,Family resource center,0,Engaged,Legal aid referral,50.09,False,True,Still active,Ill.,2025-06-20,50.09,False,True,True,False
FAM-100054,Texas,2025-07-01,Family resource center,4,Unable to contact,No service recorded,0.0,False,False,No response after outreach,texas,2025-07-01,0.0,False,True,True,False
FAM-100055,Washington,2025-01-16,Self-referral,6,Engaged,Mental health referral,68.2,False,True,Needs met,Washington,2025-01-16,68.2,False,True,True,False
FAM-100056,Texas,2025-07-19,Community partner,3,Engaged,Benefits enrollment,64.38,False,True,Needs met,Texas,2025-07-19,64.38,False,True,True,False
FAM-100057,Texas,2025-02-26,Community partner,2,Engaged,Parent coaching,19.39,False,True,Connected to ongoing service,Texas,2025-02-26,19.39,False,True,True,False
FAM-100058,Washington,2025-09-29,Community partner,4,Pending outreach,No service recorded,0.0,False,False,Still active,WA,2025-09-29,0.0,False,True,True,False
FAM-100059,Illinois,2025-09-07,Self-referral,3,Declined,Housing navigation,864.13,False,True,Family declined services,illinois,2025-09-07,864.13,False,True,True,False
FAM-100060,Illinois,2025-12-03,Family resource center,7,Pending outreach,No service recorded,0.0,False,True,Still active,IL,2025-12-03,0.0,False,True,True,False
FAM-100061,Illinois,2025-09-29,Family resource center,1,Unable to contact,Child care support,230.6,False,False,No response after outreach,Illinois,2025-09-29,230.6,False,True,True,False
FAM-100062,Ohio,2025-05-14,Self-referral,3,Unable to contact,No service recorded,0.0,False,False,No response after outreach,OH,2025-05-14,0.0,False,True,True,False
FAM-100063,Texas,2025-12-20,Self-referral,3,Engaged,Mental health referral,121.19,False,True,Connected to ongoing service,Texas,2025-12-20,121.19,False,True,True,False
FAM-100064,Texas,2025-05-30,Family resource center,4,Pending outreach,No service recorded,0.0,False,False,No response after outreach,Texas,2025-05-30,0.0,False,True,True,False
FAM-100065,Washington,2025-04-29,Self-referral,0,Engaged,Legal aid referral,124.27,False,True,Connected to ongoing service,Washington,2025-04-29,124.27,False,True,True,False
FAM-100066,Illinois,2025-11-27,CPS hotline screened-out,2,Engaged,Benefits enrollment,14.26,False,False,Still active,Illinois,2025-11-27,14.26,False,True,True,False
FAM-100067,Texas,2025-05-16,Health provider,1,Unable to contact,Parent coaching,58.52,False,False,No response after outreach,TX,2025-05-16,58.52,False,True,True,False
FAM-100068,Illinois,2025-01-28,School,2,Engaged,Legal aid referral,149.13,False,True,Still active,Ill.,2025-01-28,149.13,False,True,True,False
FAM-100069,New York,2025-06-21,Health provider,2,Engaged,Housing navigation,1500.0,False,False,No response after outreach,N.Y.,2025-06-21,2500.0,True,True,True,False
FAM-100070,Texas,2025-10-18,Health provider,5,Engaged,Benefits enrollment,59.71,False,False,No response after outreach,Texas,2025-10-18,59.71,False,True,True,False
FAM-100071,Washington,2025-03-11,Community partner,3,Engaged,Parent coaching,18.06,False,True,Still active,Washington,2025-03-11,18.06,False,True,True,False
FAM-100072,Texas,2025-06-18,Community partner,0,Declined,No service recorded,0.0,False,True,Family declined services,TX,2025-06-18,0.0,False,True,True,False
FAM-100073,Illinois,2025-02-17,CPS hotline screened-out,5,Engaged,Housing navigation,171.65,False,True,Still active,illinois,2025-02-17,171.65,False,True,True,False
FAM-100074,Texas,2025-09-08,Community partner,2,Declined,Concrete supports,204.35,True,True,Family declined services,texas,2025-09-08,204.35,False,True,True,False
FAM-100075,Illinois,2025-06-23,Self-referral,4,Engaged,No service recorded,198.47,False,True,Connected to ongoing service,Ill.,2025-06-23,198.47,False,True,True,False
FAM-100076,Washington,2025-05-01,Health provider,4,Unable to contact,No service recorded,0.0,False,True,No response after outreach,WA,2025-05-01,0.0,False,True,True,False
FAM-100077,Texas,2025-03-24,Family resource center,1,Engaged,Child care support,132.67,False,True,Needs met,Texas,2025-03-24,132.67,False,True,True,False
FAM-100078,Illinois,2025-07-26,Family resource center,1,Pending outreach,No service recorded,0.0,False,False,Still active,Illinois,2025-07-26,0.0,False,True,True,False
FAM-100079,Illinois,2025-09-02,Family resource center,1,Engaged,Housing navigation,76.25,False,True,Still active,Illinois,2025-09-02,76.25,False,True,True,False
FAM-100080,Illinois,2025-12-10,Community partner,2,Engaged,Parent coaching,24.51,False,True,Still active,Illinois,2025-12-10,24.51,False,True,True,False
FAM-100081,Washington,2025-06-09,School,6,Engaged,Concrete supports,172.83,False,True,Connected to ongoing service,Wash.,2025-06-09,172.83,False,True,True,False
FAM-100082,Ohio,2025-02-28,CPS hotline screened-out,2,Engaged,No service recorded,147.16,False,True,Needs met,Ohio,2025-02-28,147.16,False,True,True,False
FAM-100083,Texas,2025-10-31,CPS hotline screened-out,2,Engaged,Child care support,560.94,False,False,No response after outreach,texas,2025-10-31,560.94,False,True,True,False
FAM-100084,Texas,2025-08-18,Community partner,2,Unable to contact,Concrete supports,293.34,False,False,No response after outreach,TX,2025-08-18,293.34,False,True,True,False
FAM-100085,Ohio,2025-09-13,Community partner,2,Pending outreach,Concrete supports,108.65,False,False,No response after outreach,OH,2025-09-13,108.65,False,True,True,False
FAM-100086,Illinois,2025-02-05,CPS hotline screened-out,2,Unable to contact,No service recorded,0.0,True,True,No response after outreach,IL,2025-02-05,0.0,False,True,True,False
FAM-100087,Washington,2025-04-25,Family resource center,4,Engaged,Concrete supports,180.75,False,True,Still active,Wash.,2025-04-25,180.75,False,True,True,False
FAM-100088,New York,2025-10-08,Health provider,4,Engaged,Parent coaching,5.23,True,True,Connected to ongoing service,New York,2025-10-08,5.23,False,True,True,False
FAM-100089,Ohio,2025-10-31,Health provider,3,Declined,No service recorded,0.0,False,False,Family declined services,Ohio,2025-10-31,0.0,False,True,True,False
FAM-100090,Texas,2025-06-08,Health provider,2,Declined,Concrete supports,673.51,False,True,Family declined services,TX,2025-06-08,673.51,False,True,True,False
FAM-100091,Texas,2025-10-21,Family resource center,1,Engaged,Concrete supports,159.13,False,True,Still active,TX,2025-10-21,159.13,False,True,True,False
FAM-100092,Washington,2025-11-04,CPS hotline screened-out,3,Pending outreach,No service recorded,0.0,False,False,No response after outreach,washington,2025-11-04,0.0,False,True,True,False
FAM-100093,Illinois,2025-05-22,School,5,Engaged,Concrete supports,355.4,False,True,Connected to ongoing service,illinois,2025-05-22,355.4,False,True,True,False
FAM-100094,Ohio,2025-11-24,Community partner,3,Declined,Housing navigation,535.22,False,True,Family declined services,OH,2025-11-24,535.22,False,True,True,False
FAM-100095,New York,2025-04-16,Health provider,4,Pending outreach,No service recorded,0.0,False,False,No response after outreach,NY,2025-04-16,0.0,False,True,True,False
FAM-100096,Ohio,2025-03-29,Health provider,2,Unable to contact,No service recorded,0.0,False,False,No response after outreach,Ohio,2025-03-29,0.0,False,True,True,False
FAM-100097,Illinois,2025-09-07,CPS hotline screened-out,1,Engaged,Mental health referral,160.28,False,True,Needs met,Ill.,2025-09-07,160.28,False,True,True,False
FAM-100098,Illinois,2025-08-21,Health provider,0,Unable to contact,No service recorded,0.0,False,False,No response after outreach,Illinois,2025-08-21,0.0,False,True,True,False
FAM-100099,New York,2025-02-21,Community partner,3,Engaged,Concrete supports,197.51,False,True,Still active,new york,2025-02-21,197.51,False,True,True,False
FAM-100100,New York,2025-10-31,Health provider,1,Declined,Benefits enrollment,125.82,False,True,Family declined services,new york,2025-10-31,125.82,False,True,True,False
FAM-100101,Ohio,2025-03-14,Family resource center,2,Engaged,Child care support,777.22,False,True,Needs met,ohio,2025-03-14,777.22,False,True,True,False
FAM-100102,Texas,2025-10-21,Health provider,2,Unable to contact,Parent coaching,41.31,False,False,No response after outreach,texas,2025-10-21,41.31,False,True,True,False
FAM-100103,Texas,2025-01-03,Health provider,3,Pending outreach,No service recorded,0.0,True,False,No response after outreach,TX,2025-01-03,0.0,False,True,True,False
FAM-100104,New York,2025-10-18,Community partner,4,Engaged,Mental health referral,14.62,False,True,Needs met,NY,2025-10-18,14.62,False,True,True,False
FAM-100105,New York,2025-10-15,CPS hotline screened-out,1,Engaged,Parent coaching,33.27,False,True,Needs met,NY,2025-10-15,33.27,False,True,True,False
FAM-100106,Illinois,2025-10-12,Community partner,7,Unable to contact,No service recorded,0.0,True,False,No response after outreach,IL,2025-10-12,0.0,False,True,True,False
FAM-100107,Ohio,2025-08-31,CPS hotline screened-out,3,Engaged,Housing navigation,371.27,False,True,Connected to ongoing service,Ohio,2025-08-31,371.27,False,True,True,False
FAM-100108,New York,2025-06-22,School,5,Engaged,Parent coaching,56.26,False,True,Needs met,new york,2025-06-22,56.26,False,True,True,False
FAM-100109,Illinois,2025-09-15,Family resource center,3,Engaged,Legal aid referral,74.75,False,True,Still active,Illinois,2025-09-15,74.75,False,True,True,False
FAM-100110,New York,2025-04-12,School,3,Engaged,Parent coaching,135.95,False,True,Connected to ongoing service,new york,2025-04-12,135.95,False,True,True,False
FAM-100111,Ohio,2025-10-12,Health provider,1,Unable to contact,No service recorded,0.0,False,True,No response after outreach,ohio,2025-10-12,0.0,False,True,True,False
FAM-100112,Illinois,2025-07-22,Family resource center,2,Engaged,Mental health referral,32.46,False,True,Still active,Ill.,2025-07-22,32.46,False,True,True,False
FAM-100113,Ohio,2025-06-17,Self-referral,2,Engaged,Housing navigation,244.03,False,False,No response after outreach,Ohio,2025-06-17,244.03,False,True,True,False
FAM-100114,Ohio,2025-07-04,Health provider,1,Engaged,Child care support,178.27,False,False,Still active,ohio,2025-07-04,178.27,False,True,True,False
FAM-100115,Texas,2025-07-27,Self-referral,2,Engaged,Legal aid referral,274.52,False,True,Needs met,Texas,2025-07-27,274.52,False,True,True,False
FAM-100116,Texas,2025-01-14,Community partner,0,Engaged,Legal aid referral,156.34,False,True,Connected to ongoing service,TX,2025-01-14,156.34,False,True,True,False
FAM-100117,Texas,2025-02-21,School,1,Unable to contact,No service recorded,0.0,False,False,No response after outreach,Texas,2025-02-21,0.0,False,True,True,False
FAM-100118,New York,2025-03-31,School,2,Engaged,Legal aid referral,56.64,False,True,Connected to ongoing service,New York,2025-03-31,56.64,False,True,True,False
FAM-100119,Texas,2025-02-11,Self-referral,2,Engaged,Legal aid referral,53.61,False,True,Connected to ongoing service,Texas,2025-02-11,53.61,False,True,True,False
FAM-100120,Ohio,2025-06-10,School,2,Pending outreach,Mental health referral,297.85,False,False,Still active,Ohio,2025-06-10,297.85,False,True,True,False
FAM-100121,Ohio,2025-09-01,Family resource center,2,Engaged,Concrete supports,770.49,False,True,Still active,ohio,2025-09-01,770.49,False,True,True,False
FAM-100122,Texas,2025-08-27,Community partner,1,Unable to contact,No service recorded,0.0,False,True,No response after outreach,Texas,2025-08-27,0.0,False,True,True,False
FAM-100123,New York,2025-06-21,Community partner,5,Engaged,Child care support,369.58,False,True,Connected to ongoing service,NY,2025-06-21,369.58,False,True,True,False
FAM-100124,Ohio,2025-11-09,Self-referral,2,Engaged,Legal aid referral,77.94,False,True,Still active,ohio,2025-11-09,77.94,False,True,True,False
FAM-100125,Texas,2025-07-26,Self-referral,0,Engaged,Benefits enrollment,19.84,False,False,No response after outreach,texas,2025-07-26,19.84,False,True,True,False
FAM-100126,Washington,2025-01-29,Self-referral,2,Declined,Benefits enrollment,33.6,False,True,Family declined services,Wash.,2025-01-29,33.6,False,True,True,False
FAM-100127,Washington,2025-10-07,Community partner,5,Declined,No service recorded,0.0,False,True,Family declined services,Washington,2025-10-07,0.0,False,True,True,False
FAM-100128,Ohio,2025-07-29,CPS hotline screened-out,1,Engaged,Child care support,84.3,True,True,Connected to ongoing service,ohio,2025-07-29,84.3,False,True,True,False
FAM-100129,Ohio,2025-08-20,Community partner,2,Engaged,Parent coaching,189.25,False,True,Connected to ongoing service,OH,2025-08-20,189.25,False,True,True,False
FAM-100130,Texas,2025-07-26,School,2,Engaged,Legal aid referral,20.24,False,True,Needs met,Texas,2025-07-26,20.24,False,True,True,False
FAM-100131,New York,2025-07-22,School,3,Unable to contact,No service recorded,0.0,False,True,No response after outreach,NY,2025-07-22,0.0,False,True,True,False
FAM-100132,Washington,2025-02-03,Family resource center,1,Unable to contact,Mental health referral,52.93,False,False,No response after outreach,Wash.,2025-02-03,52.93,False,True,True,False
FAM-100133,Ohio,2025-07-24,Family resource center,2,Unable to contact,No service recorded,0.0,False,True,No response after outreach,OH,2025-07-24,0.0,False,True,True,False
FAM-100134,Illinois,2025-10-18,Self-referral,5,Pending outreach,Parent coaching,12.69,False,False,Still active,Illinois,2025-10-18,12.69,False,True,True,False
FAM-100135,Illinois,2025-04-21,CPS hotline screened-out,4,Engaged,Housing navigation,0.0,False,False,Needs met,Ill.,2025-04-21,,False,True,True,False
FAM-100136,Washington,2025-08-09,CPS hotline screened-out,2,Unable to contact,No service recorded,0.0,True,False,No response after outreach,Wash.,2025-08-09,0.0,False,True,True,False
FAM-100137,Illinois,2025-01-12,School,4,Engaged,Housing navigation,331.02,False,False,Still active,Ill.,2025-01-12,331.02,False,True,True,False
FAM-100138,New York,2025-05-07,Health provider,3,Engaged,Child care support,268.93,False,True,Connected to ongoing service,N.Y.,2025-05-07,268.93,False,True,True,False
FAM-100139,New York,2025-06-09,Self-referral,2,Pending outreach,No service recorded,194.7,False,True,Still active,N.Y.,2025-06-09,194.7,False,True,True,False
FAM-100140,Illinois,2025-12-25,Community partner,3,Engaged,Concrete supports,57.4,False,False,No response after outreach,IL,2025-12-25,57.4,False,True,True,False
FAM-100141,New York,2025-03-20,CPS hotline screened-out,4,Unable to contact,Mental health referral,47.02,True,False,No response after outreach,New York,2025-03-20,47.02,False,True,True,False
FAM-100142,Texas,2025-04-11,Community partner,3,Unable to contact,No service recorded,0.0,False,False,No response after outreach,TX,2025-04-11,0.0,False,True,True,False
FAM-100143,Illinois,2025-05-30,Self-referral,2,Pending outreach,No service recorded,0.0,False,True,Still active,Illinois,2025-05-30,0.0,False,True,True,False
FAM-100144,Washington,2025-12-29,Family resource center,3,Engaged,Benefits enrollment,67.51,False,True,Connected to ongoing service,WA,2025-12-29,67.51,False,True,True,False
FAM-100145,Washington,2025-11-08,Family resource center,6,Engaged,Legal aid referral,133.37,True,True,Needs met,washington,2025-11-08,133.37,False,True,True,False
FAM-100146,New York,2025-01-13,Health provider,2,Declined,No service recorded,0.0,False,False,Family declined services,N.Y.,2025-01-13,0.0,False,True,True,False
FAM-100147,Illinois,2025-03-27,CPS hotline screened-out,2,Declined,No service recorded,0.0,False,True,Family declined services,IL,2025-03-27,0.0,False,True,True,False
FAM-100148,Texas,2025-10-27,Family resource center,1,Engaged,Parent coaching,181.23,False,False,Still active,Texas,2025-10-27,181.23,False,True,True,False
FAM-100149,Illinois,2025-01-22,CPS hotline screened-out,2,Declined,No service recorded,0.0,False,True,Family declined services,illinois,2025-01-22,0.0,False,True,True,False
FAM-100150,New York,2025-11-09,Community partner,1,Engaged,Mental health referral,144.61,False,True,Needs met,New York,2025-11-09,144.61,False,True,True,False
FAM-100151,Washington,2025-04-13,Family resource center,3,Unable to contact,No service recorded,0.0,False,False,No response after outreach,washington,2025-04-13,0.0,False,True,True,False
FAM-100152,Washington,2025-12-01,Health provider,0,Declined,No service recorded,0.0,False,True,Family declined services,washington,2025-12-01,0.0,False,True,True,False
FAM-100153,Texas,2025-04-18,Community partner,2,Engaged,Benefits enrollment,103.12,False,True,Still active,TX,2025-04-18,103.12,False,True,True,False
FAM-100154,Unknown,2025-06-08,Health provider,3,Engaged,Legal aid referral,79.4,True,True,Needs met,,2025-06-08,79.4,False,True,True,False
FAM-100155,Texas,2025-08-30,CPS hotline screened-out,0,Pending outreach,Legal aid referral,94.58,False,False,Still active,texas,2025-08-30,94.58,False,True,True,False
FAM-100156,Texas,2025-02-16,Community partner,2,Declined,No service recorded,0.0,False,True,Family declined services,TX,2025-02-16,0.0,False,True,True,False
FAM-100157,New York,2025-07-23,Family resource center,1,Pending outreach,Parent coaching,43.88,False,False,Still active,new york,2025-07-23,43.88,False,True,True,False
FAM-100158,Texas,2025-07-04,Community partner,1,Engaged,Parent coaching,85.64,False,True,Connected to ongoing service,TX,2025-07-04,85.64,False,True,True,False
FAM-100159,Illinois,2025-10-14,Family resource center,4,Pending outreach,No service recorded,0.0,True,False,No response after outreach,Illinois,2025-10-14,0.0,False,True,True,False
FAM-100160,Illinois,2025-12-30,Health provider,2,Engaged,Mental health referral,67.15,False,True,Connected to ongoing service,illinois,2025-12-30,67.15,False,True,True,False
FAM-100161,Ohio,2025-08-31,Health provider,2,Engaged,Parent coaching,388.51,False,True,Still active,Ohio,2025-08-31,388.51,False,True,True,False
FAM-100162,Illinois,2025-05-30,Self-referral,2,Engaged,Child care support,312.49,False,True,Connected to ongoing service,Ill.,2025-05-30,312.49,False,True,True,False
FAM-100163,Illinois,2025-05-29,Health provider,3,Declined,No service recorded,0.0,True,True,Family declined services,illinois,2025-05-29,0.0,False,True,True,False
FAM-100164,Washington,2025-06-02,CPS hotline screened-out,2,Pending outreach,Legal aid referral,4.47,False,False,Still active,WA,2025-06-02,4.47,False,True,True,False
FAM-100166,Ohio,2025-04-28,School,3,Unable to contact,No service recorded,0.0,False,False,No response after outreach,OH,2025-04-28,0.0,False,True,True,False
FAM-100167,Washington,2025-03-02,Health provider,4,Engaged,Child care support,213.22,False,True,Connected to ongoing service,WA,2025-03-02,213.22,False,True,True,False
FAM-100168,Washington,2025-05-03,Health provider,3,Engaged,Concrete supports,477.65,True,True,Needs met,WA,2025-05-03,477.65,False,True,True,False
FAM-100169,Illinois,2025-01-09,Health provider,4,Engaged,Legal aid referral,107.49,True,False,Still active,IL,2025-01-09,107.49,False,True,True,False
FAM-100170,Ohio,2025-02-08,School,1,Engaged,Parent coaching,0.0,False,False,No response after outreach,Ohio,2025-02-08,,False,True,True,False
FAM-100171,New York,2025-02-02,Family resource center,1,Engaged,Housing navigation,625.89,False,True,Needs met,N.Y.,2025-02-02,625.89,False,True,True,False
FAM-100172,Illinois,2025-10-09,Community partner,2,Declined,No service recorded,0.0,False,True,Family declined services,Illinois,2025-10-09,0.0,False,True,True,False
FAM-100173,Texas,2025-09-21,Health provider,1,Unable to contact,No service recorded,0.0,True,False,No response after outreach,texas,2025-09-21,0.0,False,True,True,False
FAM-100174,Ohio,2025-09-12,Health provider,3,Declined,Legal aid referral,281.04,False,False,Family declined services,OH,2025-09-12,281.04,False,True,True,False
FAM-100175,Ohio,2025-06-18,Health provider,3,Engaged,Parent coaching,140.85,False,True,Needs met,OH,2025-06-18,140.85,False,True,True,False
FAM-100176,Illinois,2025-09-19,CPS hotline screened-out,1,Engaged,Mental health referral,55.07,False,True,Still active,Illinois,2025-09-19,55.07,False,True,True,False
FAM-100177,Illinois,2025-02-28,School,1,Engaged,Housing navigation,202.73,False,True,Needs met,IL,2025-02-28,202.73,False,True,True,False
FAM-100178,Washington,2025-11-25,CPS hotline screened-out,2,Engaged,Mental health referral,199.15,False,True,Connected to ongoing service,Wash.,2025-11-25,199.15,False,True,True,False
FAM-100179,Illinois,2025-07-02,Health provider,6,Engaged,Housing navigation,202.25,False,False,Needs met,IL,2025-07-02,202.25,False,True,True,False
FAM-100180,Illinois,2025-12-09,Self-referral,1,Engaged,Parent coaching,74.61,False,True,Still active,Illinois,2025-12-09,74.61,False,True,True,False
FAM-100181,New York,2025-02-25,Health provider,1,Engaged,Benefits enrollment,50.02,False,True,Needs met,new york,2025-02-25,50.02,False,True,True,False
FAM-100182,Ohio,2025-07-01,Self-referral,1,Unable to contact,No service recorded,0.0,False,False,No response after outreach,Ohio,2025-07-01,0.0,False,True,True,False
