customer_id,total_revenue,total_orders,ltv_proxy
CUST000078,13556.7,7,13556.7
CUST000079,6720.13,7,6720.13
CUST000080,8866.94,7,8866.94
CUST000081,5129.7300000000005,7,5129.7300000000005
CUST000082,12163.41,9,12163.41
CUST000083,15081.35,11,15081.35
CUST000084,9620.1,6,9620.1
CUST000085,4571.17,5,4571.17
CUST000086,10926.44,7,10926.44
CUST000087,11195.6,11,11195.6
CUST000088,14640.94,10,14640.94
CUST000089,11865.04,7,11865.04
CUST000090,19353.59,15,19353.59
CUST000091,11266.61,8,11266.61
CUST000092,7039.76,5,7039.76
CUST000093,5575.47,4,5575.47
CUST000094,8518.64,6,8518.64
CUST000095,3584.87,4,3584.87
CUST000096,7089.33,6,7089.33
CUST000097,9172.32,10,9172.32
CUST000098,10721.34,6,10721.34
CUST000099,15544.66,11,15544.66
CUST000100,16641.91,10,16641.91
CUST000101,5677.76,5,5677.76
CUST000102,3991.79,7,3991.79
CUST000103,9319.15,8,9319.15
CUST000104,10931.42,13,10931.42
CUST000105,3429.96,3,3429.96
CUST000106,5482.03,5,5482.03
CUST000107,12063.09,8,12063.09
CUST000108,11190.55,8,11190.55
CUST000109,11426.52,5,11426.52
CUST000110,6587.82,6,6587.82
CUST000111,8433.79,7,8433.79
CUST000112,16432.5,11,16432.5
CUST000113,10820.43,6,10820.43
CUST000114,11620.49,7,11620.49
CUST000115,5479.5199999999995,5,5479.5199999999995
CUST000116,7812.68,7,7812.68
CUST000117,7137.860000000001,7,7137.860000000001
CUST000118,5456.7,3,5456.7
CUST000119,11046.18,6,11046.18
CUST000120,9991.28,9,9991.28
CUST000121,9304.67,8,9304.67
CUST000122,9759.91,9,9759.91
CUST000123,7772.42,9,7772.42
CUST000124,14955.48,10,14955.48
CUST000125,6366.57,6,6366.57
CUST000126,12252.12,10,12252.12
CUST000127,5709.8,4,5709.8
CUST000128,17794.43,11,17794.43
CUST000129,7567.99,7,7567.99
CUST000130,12211.28,12,12211.28
CUST000131,9959.57,10,9959.57
CUST000132,13071.03,10,13071.03
CUST000133,7950.389999999999,5,7950.389999999999
CUST000134,5963.5,6,5963.5
CUST000135,6218.92,7,6218.92
CUST000136,10509.97,10,10509.97
CUST000137,6337.25,9,6337.25
CUST000138,18621.24,12,18621.24
CUST000139,7665.71,7,7665.71
CUST000140,14586.44,7,14586.44
CUST000141,13704.18,9,13704.18
CUST000142,20100.96,13,20100.96
CUST000143,9063.02,8,9063.02
CUST000144,9305.03,9,9305.03
CUST000145,10758.67,11,10758.67
CUST000146,10515.99,11,10515.99
CUST000147,12602.51,9,12602.51
CUST000148,8895.15,10,8895.15
CUST000149,3789.5299999999997,3,3789.5299999999997
CUST000150,5333.55,7,5333.55
CUST000151,8653.03,7,8653.03
CUST000152,9530.04,8,9530.04
CUST000153,9919.61,8,9919.61
CUST000154,5046.610000000001,5,5046.610000000001
CUST000155,1621.7,2,1621.7
CUST000156,23038.64,16,23038.64
CUST000157,15006.94,13,15006.94
CUST000158,3582.98,5,3582.98
CUST000159,9035.61,7,9035.61
CUST000160,5602.51,6,5602.51
CUST000161,7088.65,6,7088.65
CUST000162,9365.82,7,9365.82
CUST000163,12657.18,9,12657.18
CUST000164,8414.56,6,8414.56
CUST000165,7197.58,7,7197.58
CUST000166,12194.3,12,12194.3
CUST000167,5899.3,5,5899.3
CUST000168,13931.6,10,13931.6
CUST000169,3345.79,3,3345.79
CUST000170,5243.58,6,5243.58
CUST000171,10833.18,8,10833.18
CUST000172,4615.87,6,4615.87
CUST000173,5254.22,6,5254.22
CUST000174,8515.61,6,8515.61
CUST000175,5379.23,7,5379.23
CUST000176,6562.24,7,6562.24
CUST000177,8813.41,9,8813.41
CUST000178,9990.52,9,9990.52
CUST000179,3204.63,6,3204.63
CUST000180,10087.119999999999,8,10087.119999999999
CUST000181,14779.27,9,14779.27
CUST000182,9295.19,9,9295.19
CUST000183,6158.88,5,6158.88
CUST000184,3429.75,5,3429.75
CUST000185,6170.24,4,6170.24
CUST000186,9040.9,7,9040.9
CUST000187,9478.22,9,9478.22
CUST000188,9273.93,6,9273.93
CUST000189,8673.59,9,8673.59
CUST000190,3283.1400000000003,3,3283.1400000000003
CUST000191,15262.69,10,15262.69
CUST000192,13916.34,9,13916.34
CUST000193,8615.41,9,8615.41
CUST000194,16057.6,15,16057.6
CUST000195,10640.24,6,10640.24
CUST000196,12551.92,8,12551.92
CUST000197,10127.22,7,10127.22
CUST000198,14765.29,11,14765.29
CUST000199,10768.85,10,10768.85
CUST000200,10879.19,8,10879.19
CUST000201,14242.79,10,14242.79
CUST000202,5315.82,5,5315.82
CUST000203,7434.8,6,7434.8
CUST000204,7327.37,4,7327.37
CUST000205,16273.31,16,16273.31
CUST000206,18145.91,14,18145.91
CUST000207,25476.54,16,25476.54
CUST000208,3911.26,4,3911.26
CUST000209,14494.58,13,14494.58
CUST000210,4078.3700000000003,5,4078.3700000000003
CUST000211,4496.1,2,4496.1
CUST000212,8575.13,7,8575.13
CUST000213,25936.510000000002,14,25936.510000000002
CUST000214,9004.54,8,9004.54
CUST000215,7432.4400000000005,9,7432.4400000000005
CUST000216,10211.66,4,10211.66
CUST000217,8303.83,8,8303.83
CUST000218,18140.54,12,18140.54
CUST000219,12989.960000000001,9,12989.960000000001
CUST000220,14037.17,12,14037.17
CUST000221,12929.02,10,12929.02
CUST000222,9871.67,7,9871.67
CUST000223,15167.65,11,15167.65
CUST000224,5756.42,4,5756.42
CUST000225,13536.07,9,13536.07
CUST000226,20229.93,15,20229.93
CUST000227,6995.95,6,6995.95
CUST000228,7166.41,6,7166.41
CUST000229,16912.51,12,16912.51
CUST000230,5192.969999999999,4,5192.969999999999
CUST000231,18191.59,14,18191.59
CUST000232,12839.76,12,12839.76
CUST000233,10919.21,9,10919.21
CUST000234,7518.42,5,7518.42
CUST000235,8234.91,5,8234.91
CUST000236,8340.98,7,8340.98
CUST000237,8198.65,5,8198.65
CUST000238,6661.52,8,6661.52
CUST000239,11324.48,10,11324.48
CUST000240,20283.51,14,20283.51
CUST000241,6296.16,8,6296.16
CUST000242,3604.89,6,3604.89
CUST000243,10341.61,8,10341.61
CUST000244,14737.77,11,14737.77
CUST000245,15459.82,10,15459.82
CUST000246,11116.34,9,11116.34
CUST000247,12123.32,9,12123.32
CUST000248,7710.95,5,7710.95
CUST000249,5229.15,5,5229.15
CUST000250,10403.58,8,10403.58
CUST000251,5648.25,7,5648.25
CUST000252,6826.82,8,6826.82
CUST000253,7108.98,5,7108.98
CUST000254,7032.54,7,7032.54
CUST000255,8161.59,9,8161.59
CUST000256,11631.99,8,11631.99
CUST000257,14567.1,13,14567.1
CUST000258,5920.07,6,5920.07
CUST000259,11133.03,9,11133.03
CUST000260,17005.78,13,17005.78
CUST000261,7164.93,7,7164.93
CUST000262,5312.97,6,5312.97
CUST000263,7743.13,7,7743.13
CUST000264,5403.85,6,5403.85
CUST000265,5414.26,4,5414.26
CUST000266,10846.85,10,10846.85
CUST000267,9893.7,7,9893.7
CUST000268,8649.09,9,8649.09
CUST000269,13575.619999999999,9,13575.619999999999
CUST000270,14510.380000000001,12,14510.380000000001
CUST000271,4152.26,4,4152.26
CUST000272,8037.66,9,8037.66
CUST000273,9015.47,9,9015.47
CUST000274,10082.32,7,10082.32
CUST000275,11683.37,7,11683.37
CUST000276,2606.11,3,2606.11
CUST000277,15387.86,15,15387.86
CUST000278,9614.69,6,9614.69
CUST000279,5816.87,6,5816.87
CUST000280,9336.5,9,9336.5
CUST000281,18659.34,11,18659.34
CUST000282,9750.25,7,9750.25
CUST000283,23241.69,13,23241.69
CUST000284,6491.8,7,6491.8
CUST000285,9641.91,7,9641.91
CUST000286,6273.81,6,6273.81
CUST000287,10077.18,10,10077.18
CUST000288,7416.82,7,7416.82
CUST000289,13659.65,12,13659.65
CUST000290,1954.27,2,1954.27
CUST000291,6896.68,6,6896.68
CUST000292,10642.01,8,10642.01
CUST000293,12179.02,9,12179.02
CUST000294,5999.2,6,5999.2
CUST000295,12743.55,12,12743.55
CUST000296,12511.59,7,12511.59
CUST000297,9331.57,8,9331.57
CUST000298,16157.98,11,16157.98
CUST000299,3398.1,3,3398.1
CUST000300,9166.69,9,9166.69
CUST000301,10805.78,8,10805.78
CUST000302,11342.63,8,11342.63
CUST000303,8738.35,7,8738.35
CUST000304,7442.56,8,7442.56
CUST000305,7613.280000000001,7,7613.280000000001
CUST000306,16985.85,11,16985.85
CUST000307,2204.58,5,2204.58
CUST000308,4369.59,3,4369.59
CUST000309,6351.25,4,6351.25
CUST000310,13396.92,10,13396.92
CUST000311,12300.66,10,12300.66
CUST000312,6777.57,8,6777.57
CUST000313,7214.74,5,7214.74
CUST000314,11155.62,10,11155.62
CUST000315,728.25,1,728.25
CUST000316,11013.41,8,11013.41
CUST000317,11118.07,9,11118.07
CUST000318,9376.34,8,9376.34
CUST000319,10409.35,8,10409.35
CUST000320,5951.66,6,5951.66
CUST000321,8417.55,7,8417.55
CUST000322,9470.17,9,9470.17
CUST000323,10485.19,8,10485.19
CUST000324,12940.03,10,12940.03
CUST000325,4581.150000000001,3,4581.150000000001
CUST000326,15776.34,13,15776.34
CUST000327,12771.27,7,12771.27
CUST000328,7448.05,8,7448.05
CUST000329,5109.78,3,5109.78
CUST000330,10477.97,7,10477.97
CUST000331,4978.4,5,4978.4
CUST000332,18318.46,10,18318.46
CUST000333,10948.59,6,10948.59
CUST000334,21255.8,14,21255.8
CUST000335,8985.68,10,8985.68
CUST000336,11465.4,7,11465.4
CUST000337,8430.82,9,8430.82
CUST000338,10577.03,7,10577.03
CUST000339,15108.51,10,15108.51
CUST000340,5133.47,5,5133.47
CUST000341,1366.32,1,1366.32
CUST000342,7120.0,6,7120.0
CUST000343,12057.3,12,12057.3
CUST000344,9187.25,5,9187.25
CUST000345,11122.71,11,11122.71
CUST000346,8295.75,5,8295.75
CUST000347,8220.77,6,8220.77
CUST000348,19455.98,12,19455.98
CUST000349,10119.22,11,10119.22
CUST000350,8456.970000000001,9,8456.970000000001
CUST000351,22591.5,16,22591.5
CUST000352,5831.780000000001,5,5831.780000000001
CUST000353,10512.69,12,10512.69
CUST000354,7704.57,7,7704.57
CUST000355,10722.74,7,10722.74
CUST000356,10393.08,8,10393.08
CUST000357,12118.83,8,12118.83
CUST000358,19379.36,16,19379.36
CUST000359,11361.54,9,11361.54
CUST000360,15111.62,12,15111.62
CUST000361,12055.84,8,12055.84
CUST000362,20054.97,15,20054.97
CUST000363,12114.68,8,12114.68
CUST000364,10206.25,10,10206.25
CUST000365,9838.68,8,9838.68
CUST000366,6088.38,6,6088.38
CUST000367,7024.75,8,7024.75
CUST000368,11371.41,12,11371.41
CUST000369,11270.97,7,11270.97
CUST000370,3865.1800000000003,5,3865.1800000000003
CUST000371,9304.960000000001,8,9304.960000000001
CUST000372,8279.06,8,8279.06
CUST000373,12664.51,11,12664.51
CUST000374,12474.48,11,12474.48
CUST000375,11891.27,7,11891.27
CUST000376,6108.81,4,6108.81
CUST000377,10521.720000000001,9,10521.720000000001
CUST000378,9633.97,12,9633.97
CUST000379,10528.08,9,10528.08
CUST000380,14144.06,10,14144.06
CUST000381,8324.63,4,8324.63
CUST000382,5612.610000000001,5,5612.610000000001
CUST000383,8999.17,10,8999.17
CUST000384,4907.79,5,4907.79
CUST000385,14060.3,9,14060.3
CUST000386,13819.99,9,13819.99
CUST000387,5678.77,6,5678.77
CUST000388,10050.82,7,10050.82
CUST000389,17919.97,14,17919.97
CUST000390,9605.64,8,9605.64
CUST000391,4425.44,2,4425.44
CUST000392,12971.02,9,12971.02
CUST000393,10533.8,7,10533.8
CUST000394,11854.56,11,11854.56
CUST000395,13591.98,10,13591.98
CUST000396,12436.18,9,12436.18
CUST000397,12669.6,8,12669.6
CUST000398,6302.17,4,6302.17
CUST000399,10188.54,7,10188.54
CUST000400,10518.23,7,10518.23
CUST000401,4094.01,5,4094.01
CUST000402,11746.49,12,11746.49
CUST000403,5597.88,6,5597.88
CUST000404,8130.55,5,8130.55
CUST000405,13258.41,10,13258.41
CUST000406,9252.58,11,9252.58
CUST000407,4501.42,8,4501.42
CUST000408,18590.33,13,18590.33
CUST000409,11796.14,11,11796.14
CUST000410,8356.94,9,8356.94
CUST000411,11547.74,8,11547.74
CUST000412,9425.89,7,9425.89
CUST000413,6731.92,7,6731.92
CUST000414,7054.9400000000005,7,7054.9400000000005
CUST000415,9862.84,9,9862.84
CUST000416,17464.05,12,17464.05
CUST000417,15468.12,12,15468.12
CUST000418,4845.24,7,4845.24
CUST000419,6523.88,8,6523.88
CUST000420,6380.01,9,6380.01
CUST000421,3083.23,5,3083.23
CUST000422,12495.61,10,12495.61
CUST000423,13460.28,11,13460.28
CUST000424,18540.71,11,18540.71
CUST000425,9218.34,8,9218.34
CUST000426,13488.36,8,13488.36
CUST000427,9349.71,7,9349.71
CUST000428,7482.38,8,7482.38
CUST000429,11354.78,9,11354.78
CUST000430,9542.34,7,9542.34
CUST000431,6568.0,6,6568.0
CUST000432,11392.710000000001,9,11392.710000000001
CUST000433,14974.4,11,14974.4
CUST000434,16951.55,13,16951.55
CUST000435,7732.62,7,7732.62
CUST000436,11159.67,9,11159.67
CUST000437,8938.19,6,8938.19
CUST000438,1594.0100000000002,3,1594.0100000000002
CUST000439,6760.9,7,6760.9
CUST000440,4734.74,5,4734.74
CUST000441,6081.86,5,6081.86
CUST000442,12782.94,11,12782.94
CUST000443,14100.14,14,14100.14
CUST000444,10325.98,7,10325.98
CUST000445,6116.12,4,6116.12
CUST000446,7072.35,6,7072.35
CUST000447,3282.65,3,3282.65
CUST000448,11378.289999999999,10,11378.289999999999
CUST000449,10743.94,7,10743.94
CUST000450,9637.39,9,9637.39
CUST000451,7174.95,5,7174.95
CUST000452,5487.36,6,5487.36
CUST000453,3635.2799999999997,6,3635.2799999999997
CUST000454,12112.16,9,12112.16
CUST000455,14511.84,10,14511.84
CUST000456,14404.68,8,14404.68
CUST000457,13310.8,12,13310.8
CUST000458,7660.54,7,7660.54
CUST000459,6394.2699999999995,5,6394.2699999999995
CUST000460,718.6899999999999,1,718.6899999999999
CUST000461,7664.28,8,7664.28
CUST000462,6157.61,4,6157.61
CUST000463,7916.91,7,7916.91
CUST000464,8176.46,7,8176.46
CUST000465,17289.1,14,17289.1
CUST000466,7277.67,7,7277.67
CUST000467,6877.72,7,6877.72
CUST000468,16523.91,13,16523.91
CUST000469,11034.73,9,11034.73
CUST000470,7664.06,8,7664.06
CUST000471,6483.03,5,6483.03
CUST000472,10032.44,8,10032.44
CUST000473,8671.45,7,8671.45
CUST000474,8958.11,8,8958.11
CUST000475,10792.09,9,10792.09
CUST000476,13189.08,11,13189.08
CUST000477,9949.85,6,9949.85
CUST000478,11719.35,9,11719.35
CUST000479,9657.28,8,9657.28
CUST000480,4714.14,6,4714.14
CUST000481,9386.380000000001,7,9386.380000000001
CUST000482,6095.37,6,6095.37
CUST000483,10586.210000000001,7,10586.210000000001
CUST000484,19804.06,12,19804.06
CUST000485,8030.45,6,8030.45
CUST000486,3364.98,4,3364.98
CUST000487,13098.69,11,13098.69
CUST000488,12702.12,10,12702.12
CUST000489,18905.06,15,18905.06
CUST000490,4587.59,5,4587.59
CUST000491,5489.6900000000005,4,5489.6900000000005
CUST000492,15131.96,12,15131.96
CUST000493,10588.42,6,10588.42
CUST000494,2303.83,3,2303.83
CUST000495,3630.81,3,3630.81
CUST000496,11794.59,10,11794.59
CUST000497,9021.87,7,9021.87
CUST000498,11104.35,9,11104.35
CUST000499,4005.11,5,4005.11
CUST000500,5985.5599999999995,6,5985.5599999999995
