event_id,event_ts,session_id,customer_id,product_id,event_type,page_url,channel,region
EVT000000034,2026-02-04 19:22:35,SESS00000779,,PROD000080,page_view,/checkout,web,Southeast
EVT000000035,2026-03-16 01:46:02,SESS00002339,CUST000252,PROD000212,checkout_start,/checkout,web,Northeast
EVT000000036,2026-04-08 17:27:14,SESS00000271,CUST000484,PROD000082,product_view,/search,mobile,West
EVT000000037,2026-04-23 09:16:20,SESS00001399,CUST000052,PROD000164,product_view,/home,mobile,Midwest
EVT000000038,2026-04-13 07:22:29,SESS00000844,CUST000323,PROD000204,page_view,/search,mobile,Northeast
EVT000000039,2026-01-31 08:56:37,SESS00000527,CUST000356,PROD000118,product_view,/cart,web,Northeast
EVT000000040,2026-04-16 08:31:51,SESS00002146,CUST000190,PROD000164,page_view,/cart,web,Southeast
EVT000000041,2026-01-30 16:17:48,SESS00001294,CUST000458,PROD000230,page_view,/search,web,West
EVT000000042,2026-02-01 15:40:53,SESS00000421,CUST000104,PROD000080,page_view,/cart,mobile,Southeast
EVT000000043,2026-02-05 07:57:06,SESS00000054,CUST000279,PROD000149,checkout_start,/product,web,Midwest
EVT000000044,2026-02-04 15:05:59,SESS00002923,CUST000289,PROD000113,product_view,/home,mobile,Midwest
EVT000000045,2026-03-03 10:33:26,SESS00002047,CUST000016,PROD000145,product_view,/product,web,Northeast
EVT000000046,2026-03-31 06:14:49,SESS00000282,CUST000499,PROD000031,page_view,/home,web,Southeast
EVT000000047,2026-01-26 17:30:31,SESS00002375,CUST000445,PROD000225,page_view,/home,web,Northeast
EVT000000048,2026-03-20 16:11:29,SESS00002744,CUST000187,PROD000003,add_to_cart,/home,mobile,Southeast
EVT000000049,2026-03-21 07:25:36,SESS00002778,CUST000316,PROD000155,product_view,/cart,mobile,Midwest
EVT000000050,2026-03-31 02:28:49,SESS00000704,CUST000355,PROD000216,product_view,/checkout,mobile,Northeast
EVT000000051,2026-03-21 08:11:56,SESS00000782,CUST000339,PROD000079,add_to_cart,/checkout,web,Midwest
EVT000000052,2026-04-02 22:31:37,SESS00002959,CUST000122,PROD000107,product_view,/search,web,Southeast
EVT000000053,2026-02-28 19:52:37,SESS00002738,CUST000495,PROD000152,checkout_start,/checkout,mobile,Northeast
EVT000000054,2026-03-15 00:22:46,SESS00002712,CUST000126,PROD000127,page_view,/checkout,mobile,Southeast
EVT000000055,2026-03-05 22:37:36,SESS00001628,CUST000470,PROD000157,product_view,/product,mobile,West
EVT000000056,2026-03-06 20:18:23,SESS00001893,CUST000253,PROD000244,page_view,/home,web,Northeast
EVT000000057,2026-03-21 16:43:18,SESS00002226,,PROD000200,page_view,/search,web,Northeast
EVT000000058,2026-02-28 20:56:50,SESS00002759,CUST000429,PROD000230,product_view,/product,web,Midwest
EVT000000059,2026-03-20 02:08:33,SESS00001317,CUST000078,PROD000167,page_view,/cart,web,Southeast
EVT000000060,2026-02-11 02:44:18,SESS00000740,CUST000480,PROD000159,checkout_start,/cart,web,Southeast
EVT000000061,2026-03-02 21:36:02,SESS00001268,CUST000483,PROD000007,page_view,/cart,mobile,Southeast
EVT000000062,2026-01-30 10:03:24,SESS00002095,CUST000150,PROD000050,product_view,/product,web,Midwest
EVT000000063,2026-02-10 11:14:41,SESS00001469,CUST000019,PROD000087,page_view,/search,web,Midwest
EVT000000064,2026-03-02 11:32:21,SESS00001666,CUST000203,PROD000066,page_view,/search,web,West
EVT000000065,2026-03-27 12:14:28,SESS00001552,CUST000495,PROD000120,page_view,/checkout,web,Northeast
EVT000000066,2026-03-17 13:47:50,SESS00002263,CUST000468,PROD000206,product_view,/checkout,web,Southeast
EVT000000067,2026-01-30 06:34:27,SESS00002711,CUST000033,PROD000174,checkout_start,/home,mobile,Midwest
EVT000000068,2026-03-15 01:37:38,SESS00001822,CUST000037,PROD000224,page_view,/product,web,West
EVT000000069,2026-02-07 16:44:19,SESS00002225,CUST000223,PROD000190,page_view,/search,web,Southeast
EVT000000070,2026-03-05 11:24:37,SESS00002203,CUST000339,PROD000149,page_view,/home,mobile,Midwest
EVT000000071,2026-03-09 12:59:03,SESS00000749,CUST000313,PROD000157,product_view,/checkout,mobile,Midwest
EVT000000072,2026-03-21 21:41:59,SESS00000413,CUST000361,PROD000033,product_view,/cart,mobile,Northeast
EVT000000073,2026-02-14 09:56:58,SESS00002800,CUST000437,PROD000149,page_view,/product,web,West
EVT000000074,2026-03-01 15:39:33,SESS00002557,CUST000058,PROD000066,page_view,/search,web,Northeast
EVT000000075,2026-03-29 12:39:08,SESS00001806,CUST000477,PROD000133,page_view,/home,web,Northeast
EVT000000076,2026-02-16 04:37:42,SESS00000044,,PROD000034,product_view,/product,web,Northeast
EVT000000077,2026-04-20 13:48:13,SESS00001158,CUST000359,PROD000101,add_to_cart,/search,web,Midwest
EVT000000078,2026-04-11 18:05:28,SESS00002400,CUST000270,PROD000195,page_view,/checkout,web,West
EVT000000079,2026-03-02 22:56:21,SESS00000615,,PROD000053,page_view,/home,web,Southeast
EVT000000080,2026-02-11 18:56:56,SESS00000279,CUST000095,PROD000178,page_view,/search,web,Midwest
EVT000000081,2026-03-08 02:20:11,SESS00002961,CUST000325,PROD000004,page_view,/checkout,web,Southeast
EVT000000082,2026-01-29 07:08:26,SESS00002420,CUST000234,PROD000053,page_view,/cart,web,Midwest
EVT000000083,2026-04-09 09:25:30,SESS00001967,CUST000130,PROD000214,checkout_start,/cart,web,West
EVT000000084,2026-04-12 16:58:42,SESS00000575,CUST000068,PROD000063,product_view,/product,web,West
EVT000000085,2026-04-13 12:43:01,SESS00000429,CUST000160,PROD000172,product_view,/checkout,web,Northeast
EVT000000086,2026-04-12 03:14:42,SESS00000391,CUST000481,PROD000139,page_view,/home,web,Midwest
EVT000000087,2026-02-11 12:35:59,SESS00001826,CUST000011,PROD000093,page_view,/search,web,West
EVT000000088,2026-02-26 06:18:22,SESS00000562,CUST000186,PROD000250,page_view,/home,web,Southeast
EVT000000089,2026-03-18 07:21:56,SESS00003109,CUST000009,PROD000174,page_view,/product,web,West
EVT000000090,2026-03-05 05:04:07,SESS00003016,CUST000275,PROD000001,purchase,/home,mobile,Northeast
EVT000000091,2026-03-23 03:24:48,SESS00002773,CUST000406,PROD000114,page_view,/cart,web,Midwest
EVT000000092,2026-01-29 16:23:30,SESS00001668,CUST000259,PROD000160,page_view,/product,mobile,Midwest
EVT000000093,2026-04-01 01:41:39,SESS00001626,CUST000336,PROD000214,add_to_cart,/cart,mobile,Southeast
EVT000000094,2026-01-30 16:04:16,SESS00000967,CUST000216,PROD000042,page_view,/product,web,West
EVT000000095,2026-03-07 15:04:17,SESS00001836,CUST000377,PROD000138,product_view,/search,web,West
EVT000000096,2026-02-15 06:02:21,SESS00002895,CUST000099,PROD000240,product_view,/cart,web,Northeast
EVT000000097,2026-02-17 16:56:41,SESS00001720,CUST000495,PROD000161,page_view,/search,web,Northeast
EVT000000098,2026-04-15 22:07:48,SESS00002768,CUST000060,PROD000246,page_view,/checkout,web,Midwest
EVT000000099,2026-04-03 00:48:14,SESS00000436,CUST000222,PROD000097,product_view,/product,mobile,West
EVT000000100,2026-02-24 20:04:06,SESS00000592,CUST000156,PROD000065,product_view,/home,web,Northeast
EVT000000101,2026-04-09 12:18:02,SESS00002458,CUST000227,PROD000204,page_view,/home,web,Midwest
EVT000000102,2026-01-27 09:58:13,SESS00002516,CUST000087,PROD000243,product_view,/cart,web,West
EVT000000103,2026-03-05 12:09:12,SESS00001665,CUST000466,PROD000225,page_view,/product,mobile,Midwest
EVT000000104,2026-02-22 03:48:29,SESS00003034,CUST000044,PROD000043,page_view,/search,web,Northeast
EVT000000105,2026-04-11 15:03:46,SESS00001974,CUST000163,PROD000202,checkout_start,/cart,web,Midwest
EVT000000106,2026-03-06 19:27:08,SESS00000147,CUST000141,PROD000125,product_view,/product,mobile,Northeast
EVT000000107,2026-03-03 23:57:26,SESS00000845,CUST000074,PROD000134,page_view,/cart,web,Northeast
EVT000000108,2026-04-10 01:04:53,SESS00003077,CUST000437,PROD000010,page_view,/search,mobile,West
EVT000000109,2026-03-10 00:34:06,SESS00002387,CUST000086,PROD000144,page_view,/product,mobile,Midwest
EVT000000110,2026-03-02 08:14:22,SESS00003053,CUST000040,PROD000241,product_view,/checkout,web,Southeast
EVT000000111,2026-03-22 12:58:46,SESS00000333,CUST000353,PROD000156,page_view,/cart,web,Southeast
EVT000000112,2026-02-22 22:52:52,SESS00000719,,PROD000053,checkout_start,/checkout,web,Southeast
EVT000000113,2026-03-04 12:59:48,SESS00002830,CUST000334,PROD000120,product_view,/search,web,Northeast
EVT000000114,2026-04-15 22:43:31,SESS00000971,CUST000144,PROD000224,checkout_start,/product,web,Midwest
EVT000000115,2026-03-15 09:32:59,SESS00000826,CUST000452,PROD000078,page_view,/product,web,Northeast
EVT000000116,2026-03-19 01:31:14,SESS00002316,CUST000408,PROD000185,add_to_cart,/checkout,web,Midwest
EVT000000117,2026-04-14 08:05:38,SESS00001817,CUST000189,PROD000176,checkout_start,/product,web,West
EVT000000118,2026-01-25 11:52:35,SESS00001558,CUST000393,PROD000159,purchase,/checkout,web,Southeast
EVT000000119,2026-02-05 12:35:11,SESS00001051,,PROD000227,product_view,/cart,web,Midwest
EVT000000120,2026-02-24 01:48:46,SESS00002050,CUST000142,PROD000159,product_view,/cart,web,West
EVT000000121,2026-04-23 08:42:49,SESS00000279,CUST000154,PROD000248,checkout_start,/product,web,Northeast
EVT000000122,2026-02-15 21:36:02,SESS00002388,CUST000263,PROD000091,page_view,/checkout,web,Northeast
EVT000000123,2026-01-25 12:01:58,SESS00001517,CUST000436,PROD000073,page_view,/home,mobile,Southeast
EVT000000124,2026-03-22 19:58:28,SESS00002051,CUST000467,PROD000250,product_view,/product,web,Northeast
EVT000000125,2026-03-27 07:05:57,SESS00000375,CUST000252,PROD000110,product_view,/checkout,web,West
EVT000000126,2026-04-21 05:39:27,SESS00001785,CUST000237,PROD000079,page_view,/search,web,Midwest
EVT000000127,2026-03-19 15:38:39,SESS00000452,CUST000397,PROD000154,add_to_cart,/cart,web,Midwest
EVT000000128,2026-03-31 07:10:50,SESS00000268,CUST000243,PROD000087,add_to_cart,/cart,web,Midwest
EVT000000129,2026-04-22 08:18:49,SESS00001219,CUST000354,PROD000138,purchase,/product,web,Southeast
EVT000000130,2026-02-25 18:39:26,SESS00002692,CUST000091,PROD000161,page_view,/cart,web,Northeast
EVT000000131,2026-04-09 00:36:50,SESS00003079,,PROD000019,page_view,/home,web,West
EVT000000132,2026-03-16 06:27:48,SESS00001838,CUST000414,PROD000200,page_view,/checkout,mobile,Midwest
EVT000000133,2026-03-26 17:48:03,SESS00000687,CUST000258,PROD000161,page_view,/product,web,Midwest
EVT000000134,2026-04-20 05:46:32,SESS00002954,CUST000096,PROD000024,page_view,/checkout,web,Southeast
EVT000000135,2026-03-01 22:25:35,SESS00002656,CUST000047,PROD000077,product_view,/home,web,Midwest
EVT000000136,2026-04-15 16:36:12,SESS00001953,CUST000068,PROD000094,product_view,/search,mobile,Southeast
EVT000000137,2026-01-26 10:09:37,SESS00001313,CUST000330,PROD000193,add_to_cart,/home,web,Midwest
EVT000000138,2026-03-24 13:10:13,SESS00001408,CUST000130,PROD000248,page_view,/cart,web,Northeast
EVT000000139,2026-03-13 09:57:18,SESS00002973,CUST000099,PROD000127,page_view,/checkout,web,Midwest
EVT000000140,2026-02-15 19:05:42,SESS00002100,CUST000204,PROD000184,product_view,/product,web,Midwest
EVT000000141,2026-01-30 21:01:49,SESS00003031,CUST000177,PROD000042,product_view,/product,web,West
EVT000000142,2026-03-11 03:33:09,SESS00000186,CUST000456,PROD000034,add_to_cart,/cart,web,Midwest
EVT000000143,2026-03-09 17:51:45,SESS00001657,CUST000255,PROD000216,purchase,/cart,web,Southeast
EVT000000144,2026-04-15 21:16:23,SESS00000868,CUST000026,PROD000045,page_view,/product,mobile,Southeast
EVT000000145,2026-03-15 04:27:19,SESS00002316,CUST000183,PROD000032,page_view,/home,web,Southeast
EVT000000146,2026-02-07 11:38:16,SESS00001124,CUST000201,PROD000165,page_view,/search,web,West
EVT000000147,2026-04-02 16:41:52,SESS00001554,CUST000412,PROD000129,page_view,/home,web,Southeast
EVT000000148,2026-03-27 01:57:32,SESS00000683,CUST000429,PROD000230,page_view,/cart,mobile,West
EVT000000149,2026-04-22 13:31:55,SESS00001892,,PROD000102,product_view,/search,web,Midwest
EVT000000150,2026-02-18 19:14:13,SESS00002975,CUST000456,PROD000035,page_view,/cart,web,Northeast
EVT000000151,2026-03-25 16:44:57,SESS00002463,CUST000136,PROD000076,product_view,/cart,web,West
EVT000000152,2026-04-22 01:08:17,SESS00000960,CUST000011,PROD000101,page_view,/cart,web,West
EVT000000153,2026-04-09 06:52:46,SESS00001123,CUST000381,PROD000078,page_view,/cart,web,Midwest
EVT000000154,2026-03-21 16:47:07,SESS00002480,CUST000424,PROD000125,product_view,/search,web,Midwest
EVT000000155,2026-04-09 07:50:12,SESS00001001,CUST000220,PROD000198,page_view,/search,web,West
EVT000000156,2026-03-09 12:56:40,SESS00001155,CUST000409,PROD000026,page_view,/cart,web,Midwest
EVT000000157,2026-02-03 03:31:48,SESS00003051,CUST000471,PROD000191,page_view,/cart,mobile,West
EVT000000158,2026-04-08 13:01:12,SESS00000128,CUST000036,PROD000160,checkout_start,/product,web,Southeast
EVT000000159,2026-03-29 20:33:44,SESS00002796,,PROD000064,page_view,/search,mobile,Southeast
EVT000000160,2026-03-12 22:43:40,SESS00001089,CUST000423,PROD000200,page_view,/checkout,web,Midwest
EVT000000161,2026-03-21 15:39:03,SESS00000469,CUST000371,PROD000156,page_view,/cart,mobile,Northeast
EVT000000162,2026-03-22 19:33:09,SESS00000852,CUST000488,PROD000018,product_view,/search,web,West
EVT000000163,2026-02-19 19:39:04,SESS00002349,CUST000123,PROD000005,page_view,/search,web,Northeast
EVT000000164,2026-02-13 04:09:34,SESS00001097,CUST000435,PROD000101,purchase,/checkout,web,West
EVT000000165,2026-04-06 17:12:11,SESS00001082,CUST000256,PROD000082,add_to_cart,/checkout,web,Southeast
EVT000000166,2026-03-13 21:45:28,SESS00002758,CUST000359,PROD000195,product_view,/checkout,mobile,Northeast
EVT000000167,2026-04-19 22:59:18,SESS00000509,CUST000091,PROD000206,product_view,/home,mobile,West
EVT000000168,2026-03-11 01:47:15,SESS00002909,CUST000498,PROD000222,checkout_start,/cart,mobile,Midwest
EVT000000169,2026-02-07 08:19:12,SESS00001355,CUST000384,PROD000231,product_view,/home,mobile,Northeast
EVT000000170,2026-03-16 19:35:34,SESS00000983,CUST000405,PROD000237,add_to_cart,/checkout,web,West
EVT000000171,2026-02-05 00:21:43,SESS00000987,CUST000168,PROD000107,purchase,/search,web,West
EVT000000172,2026-03-15 07:35:53,SESS00002655,CUST000344,PROD000234,add_to_cart,/product,web,Southeast
EVT000000173,2026-02-24 17:50:08,SESS00000617,CUST000329,PROD000175,page_view,/product,web,Midwest
EVT000000174,2026-04-10 23:01:53,SESS00002857,CUST000245,PROD000221,product_view,/product,web,Northeast
EVT000000175,2026-04-07 15:18:29,SESS00002162,,PROD000085,page_view,/cart,mobile,Northeast
EVT000000176,2026-03-14 21:58:49,SESS00002287,CUST000007,PROD000154,product_view,/cart,web,Northeast
EVT000000177,2026-04-09 22:47:36,SESS00000427,CUST000054,PROD000080,add_to_cart,/home,mobile,Northeast
EVT000000178,2026-03-01 08:33:28,SESS00002680,,PROD000046,add_to_cart,/cart,web,Northeast
EVT000000179,2026-04-14 15:31:25,SESS00001025,CUST000035,PROD000036,product_view,/cart,web,Southeast
EVT000000180,2026-03-05 02:14:52,SESS00002892,CUST000315,PROD000033,checkout_start,/home,web,Midwest
EVT000000181,2026-03-25 23:34:58,SESS00002857,,PROD000176,product_view,/search,web,Northeast
EVT000000182,2026-03-12 18:24:15,SESS00001451,CUST000213,PROD000233,purchase,/product,mobile,West
EVT000000183,2026-02-21 18:23:34,SESS00002279,CUST000448,PROD000190,page_view,/cart,mobile,Southeast
EVT000000184,2026-02-13 22:23:24,SESS00002952,,PROD000032,add_to_cart,/product,web,West
EVT000000185,2026-04-23 16:20:28,SESS00001675,,PROD000042,add_to_cart,/search,mobile,Southeast
EVT000000186,2026-03-14 18:05:52,SESS00001101,CUST000038,PROD000048,checkout_start,/checkout,web,Midwest
EVT000000187,2026-04-16 12:34:17,SESS00002856,CUST000438,PROD000112,product_view,/search,web,Midwest
EVT000000188,2026-03-14 14:09:05,SESS00000844,CUST000306,PROD000087,add_to_cart,/cart,mobile,West
EVT000000189,2026-02-19 12:32:37,SESS00002888,CUST000115,PROD000142,checkout_start,/checkout,mobile,Midwest
EVT000000190,2026-04-07 21:30:33,SESS00001518,,PROD000216,product_view,/checkout,web,West
EVT000000191,2026-03-13 05:54:53,SESS00002267,CUST000380,PROD000044,page_view,/checkout,web,Midwest
EVT000000192,2026-01-28 19:15:44,SESS00000047,CUST000433,PROD000205,checkout_start,/home,web,Southeast
EVT000000193,2026-04-08 04:54:40,SESS00003083,,PROD000227,page_view,/search,web,West
EVT000000194,2026-04-23 12:33:11,SESS00000510,CUST000015,PROD000022,page_view,/search,web,Southeast
EVT000000195,2026-02-24 20:50:28,SESS00000154,CUST000325,PROD000168,product_view,/search,mobile,Southeast
EVT000000196,2026-04-12 09:39:17,SESS00002086,CUST000162,PROD000082,product_view,/search,web,West
EVT000000197,2026-03-31 13:22:05,SESS00000252,CUST000297,PROD000211,page_view,/checkout,mobile,Midwest
EVT000000198,2026-03-05 23:25:40,SESS00000287,CUST000240,PROD000095,checkout_start,/checkout,mobile,Southeast
EVT000000199,2026-01-31 04:38:44,SESS00002226,CUST000056,PROD000244,checkout_start,/home,web,West
EVT000000200,2026-02-28 11:39:27,SESS00001231,CUST000046,PROD000187,product_view,/checkout,web,Southeast
EVT000000201,2026-03-07 01:20:56,SESS00000859,CUST000158,PROD000010,product_view,/home,web,West
EVT000000202,2026-01-24 03:51:53,SESS00002023,CUST000189,PROD000154,page_view,/cart,mobile,Midwest
EVT000000203,2026-02-22 02:18:41,SESS00001033,CUST000097,PROD000086,page_view,/checkout,web,Midwest
EVT000000204,2026-04-06 02:37:21,SESS00001989,,PROD000127,checkout_start,/product,web,Southeast
EVT000000205,2026-03-30 13:39:14,SESS00002631,CUST000167,PROD000219,add_to_cart,/home,web,Midwest
EVT000000206,2026-03-03 21:00:00,SESS00001019,CUST000333,PROD000142,product_view,/checkout,mobile,Northeast
EVT000000207,2026-04-12 05:47:06,SESS00003049,CUST000371,PROD000106,checkout_start,/product,mobile,Southeast
EVT000000208,2026-03-27 06:43:10,SESS00000192,CUST000233,PROD000233,page_view,/product,web,Northeast
EVT000000209,2026-03-09 00:59:51,SESS00001424,CUST000487,PROD000211,page_view,/cart,web,Midwest
EVT000000210,2026-01-26 18:34:12,SESS00000620,CUST000070,PROD000125,product_view,/search,mobile,Southeast
EVT000000211,2026-04-15 23:39:07,SESS00000863,CUST000460,PROD000007,product_view,/checkout,mobile,Northeast
EVT000000212,2026-03-24 09:59:43,SESS00002869,CUST000300,PROD000221,add_to_cart,/cart,web,Midwest
EVT000000213,2026-03-19 00:59:46,SESS00000546,CUST000175,PROD000202,product_view,/search,web,West
EVT000000214,2026-01-30 02:57:39,SESS00001260,CUST000098,PROD000043,page_view,/home,mobile,Northeast
EVT000000215,2026-02-09 23:01:44,SESS00002236,CUST000420,PROD000118,checkout_start,/product,web,Southeast
EVT000000216,2026-03-06 16:25:44,SESS00002931,CUST000259,PROD000100,checkout_start,/cart,mobile,Southeast
EVT000000217,2026-03-14 23:57:34,SESS00000377,CUST000068,PROD000016,page_view,/home,web,Southeast
EVT000000218,2026-01-31 04:29:06,SESS00000809,CUST000057,PROD000127,page_view,/product,mobile,Northeast
EVT000000219,2026-01-28 00:08:07,SESS00001408,CUST000342,PROD000012,checkout_start,/product,mobile,Midwest
EVT000000220,2026-03-27 13:20:37,SESS00002444,CUST000458,PROD000181,checkout_start,/search,mobile,Northeast
EVT000000221,2026-03-08 23:32:39,SESS00000156,CUST000087,PROD000136,page_view,/home,web,Northeast
EVT000000222,2026-03-23 13:27:50,SESS00000404,CUST000083,PROD000196,product_view,/cart,mobile,West
EVT000000223,2026-04-07 15:21:48,SESS00001465,CUST000215,PROD000139,page_view,/cart,mobile,Northeast
EVT000000224,2026-03-15 11:56:18,SESS00000136,CUST000314,PROD000173,purchase,/cart,web,Southeast
EVT000000225,2026-02-14 06:03:51,SESS00001715,CUST000455,PROD000108,add_to_cart,/checkout,mobile,Northeast
EVT000000226,2026-03-01 14:36:35,SESS00001796,CUST000465,PROD000248,add_to_cart,/product,mobile,Southeast
EVT000000227,2026-03-18 22:53:43,SESS00003093,CUST000125,PROD000242,page_view,/cart,mobile,Northeast
EVT000000228,2026-03-27 22:13:31,SESS00000011,CUST000460,PROD000129,checkout_start,/search,web,Midwest
EVT000000229,2026-04-20 06:51:19,SESS00000180,CUST000012,PROD000009,page_view,/checkout,web,Southeast
EVT000000230,2026-02-24 06:13:05,SESS00002671,,PROD000152,checkout_start,/cart,mobile,Northeast
EVT000000231,2026-03-19 07:51:28,SESS00001020,CUST000327,PROD000053,page_view,/product,web,Southeast
EVT000000232,2026-04-08 15:23:03,SESS00000452,CUST000193,PROD000189,page_view,/search,mobile,Northeast
EVT000000233,2026-03-05 21:50:43,SESS00002765,CUST000481,PROD000162,product_view,/search,web,Northeast
EVT000000234,2026-02-04 18:20:27,SESS00000635,CUST000491,PROD000152,page_view,/checkout,web,Northeast
EVT000000235,2026-04-05 21:08:51,SESS00003120,CUST000352,PROD000168,product_view,/home,web,Southeast
EVT000000236,2026-02-02 09:20:06,SESS00002259,CUST000430,PROD000162,add_to_cart,/home,web,West
EVT000000237,2026-03-25 15:29:19,SESS00002782,CUST000029,PROD000021,product_view,/product,web,Southeast
EVT000000238,2026-02-09 08:40:54,SESS00001292,CUST000353,PROD000066,product_view,/product,mobile,Northeast
EVT000000239,2026-04-21 19:44:36,SESS00002960,CUST000134,PROD000126,page_view,/home,mobile,Midwest
EVT000000240,2026-02-23 14:59:56,SESS00001054,CUST000209,PROD000234,checkout_start,/search,web,Midwest
EVT000000241,2026-02-26 23:18:51,SESS00000456,,PROD000045,page_view,/home,web,West
EVT000000242,2026-04-06 09:25:52,SESS00000809,CUST000013,PROD000121,product_view,/cart,mobile,West
EVT000000243,2026-04-04 12:32:24,SESS00002108,,PROD000068,product_view,/product,web,Southeast
EVT000000244,2026-02-17 22:14:45,SESS00001870,,PROD000082,product_view,/cart,web,West
EVT000000245,2026-04-02 18:20:07,SESS00002862,CUST000481,PROD000065,product_view,/product,mobile,Northeast
EVT000000246,2026-03-14 08:47:22,SESS00001841,CUST000267,PROD000088,page_view,/cart,mobile,Midwest
EVT000000247,2026-03-27 03:35:56,SESS00002039,,PROD000031,checkout_start,/home,web,Southeast
EVT000000248,2026-02-26 04:12:14,SESS00000711,CUST000239,PROD000140,add_to_cart,/cart,web,West
EVT000000249,2026-02-13 10:14:10,SESS00002581,CUST000394,PROD000108,checkout_start,/checkout,web,Southeast
EVT000000250,2026-02-04 19:18:15,SESS00001897,CUST000354,PROD000077,page_view,/checkout,web,Northeast
EVT000000251,2026-01-28 12:25:46,SESS00001981,CUST000433,PROD000164,product_view,/checkout,web,West
EVT000000252,2026-04-18 16:59:05,SESS00001665,CUST000494,PROD000034,add_to_cart,/checkout,web,Midwest
EVT000000253,2026-03-27 03:44:38,SESS00000475,CUST000453,PROD000002,add_to_cart,/checkout,web,West
EVT000000254,2026-03-02 13:29:21,SESS00000674,CUST000410,PROD000055,purchase,/search,mobile,Southeast
EVT000000255,2026-04-11 03:38:18,SESS00002908,CUST000225,PROD000163,product_view,/checkout,web,West
EVT000000256,2026-04-07 21:06:25,SESS00002203,CUST000302,PROD000101,page_view,/search,web,Southeast
EVT000000257,2026-03-04 01:54:51,SESS00002554,CUST000387,PROD000211,page_view,/product,mobile,Southeast
EVT000000258,2026-02-23 16:46:38,SESS00001542,CUST000311,PROD000114,page_view,/cart,mobile,Midwest
EVT000000259,2026-03-30 04:40:50,SESS00002457,CUST000137,PROD000007,add_to_cart,/search,web,Northeast
