order_item_id,order_id,product_id,returned_qty,return_reason,return_date
5178,2076,119,1,Damaged,2024-05-31
2809,1133,158,1,Not Needed,2025-10-03
13484,5363,16,1,Not Needed,2025-07-13
375,159,45,1,Wrong Size,2024-05-28
5356,2153,170,1,Damaged,2025-10-18
28760,11476,97,1,Damaged,2025-04-08
24263,9715,10,1,Not Needed,2025-08-26
17158,6843,97,1,Late Delivery,2025-08-18
9772,3891,110,1,Damaged,2025-09-27
17429,6950,167,1,Damaged,2025-12-16
20506,8186,75,1,Not Needed,2025-07-12
24161,9677,75,1,Not Needed,2025-07-01
15334,6111,18,1,Not Needed,2025-11-04
331,140,90,1,Wrong Size,2024-05-08
6120,2454,74,1,Late Delivery,2024-08-14
25903,10357,157,1,Damaged,2025-04-12
21982,8787,11,1,Not Needed,2025-07-05
20312,8110,66,1,Wrong Size,2025-02-16
9594,3820,139,1,Not Needed,2025-08-20
23146,9281,165,1,Damaged,2024-06-19
26513,10595,80,1,Late Delivery,2024-07-01
26255,10501,175,1,Wrong Size,2025-08-02
21171,8452,89,1,Damaged,2025-07-03
14125,5623,16,1,Late Delivery,2025-03-06
18477,7370,147,1,Wrong Size,2025-10-20
22822,9141,162,1,Late Delivery,2025-10-23
10290,4094,65,1,Damaged,2025-05-15
15320,6102,8,1,Wrong Size,2024-04-20
3532,1419,150,1,Damaged,2024-06-21
17760,7083,10,1,Not Needed,2025-01-12
20294,8101,42,1,Wrong Size,2026-01-09
18630,7432,133,1,Wrong Size,2024-06-04
23044,9236,68,1,Late Delivery,2025-09-13
19798,7900,88,1,Wrong Size,2024-08-06
7009,2803,1,1,Damaged,2024-10-10
4056,1636,167,1,Damaged,2024-07-04
10724,4262,179,1,Not Needed,2024-08-19
29573,11800,75,1,Damaged,2024-03-04
26916,10751,35,1,Not Needed,2024-02-24
12627,5026,127,1,Wrong Size,2024-02-10
6875,2751,76,1,Wrong Size,2025-03-23
15913,6341,131,1,Not Needed,2024-03-03
21872,8737,158,1,Not Needed,2024-12-17
10700,4251,167,1,Damaged,2025-03-28
17034,6791,176,1,Not Needed,2024-11-05
12511,4980,26,1,Late Delivery,2025-01-15
6956,2783,121,1,Damaged,2025-06-22
17171,6849,11,1,Not Needed,2025-12-04
14838,5916,76,1,Wrong Size,2025-01-17
8165,3258,96,1,Late Delivery,2025-12-19
2396,967,67,1,Not Needed,2025-12-20
20180,8057,180,1,Late Delivery,2024-07-18
17630,7029,78,1,Damaged,2025-05-10
26903,10746,170,1,Late Delivery,2025-09-06
18717,7471,17,1,Damaged,2025-01-25
8928,3555,78,1,Late Delivery,2025-10-25
7845,3137,77,1,Wrong Size,2024-11-14
15041,5994,100,1,Not Needed,2024-07-15
21138,8437,76,1,Not Needed,2024-08-18
10777,4280,12,1,Damaged,2025-03-15
16692,6651,145,1,Wrong Size,2025-12-28
28093,11217,68,1,Not Needed,2025-05-07
6753,2704,10,1,Damaged,2024-06-04
21448,8569,83,1,Late Delivery,2025-03-21
17526,6985,72,1,Damaged,2024-08-28
13173,5246,124,1,Late Delivery,2024-01-29
5281,2118,127,1,Wrong Size,2025-12-01
6587,2628,78,1,Damaged,2024-12-26
11666,4637,145,1,Not Needed,2024-12-08
13315,5300,114,1,Wrong Size,2025-03-30
6296,2517,154,1,Damaged,2025-05-19
21862,8732,105,1,Damaged,2024-11-24
19126,7633,114,1,Damaged,2025-09-26
19822,7908,127,1,Wrong Size,2025-10-10
15150,6037,79,1,Damaged,2024-05-20
15004,5980,29,1,Damaged,2024-05-02
12670,5041,135,1,Damaged,2025-02-23
3026,1219,61,1,Late Delivery,2024-09-15
9661,3845,104,1,Damaged,2024-08-07
26756,10688,110,1,Wrong Size,2025-06-26
13559,5394,85,1,Not Needed,2025-09-14
461,194,94,1,Damaged,2025-02-08
21420,8558,87,1,Not Needed,2025-06-20
1337,540,172,1,Not Needed,2025-09-11
12783,5087,148,1,Wrong Size,2025-01-10
13224,5265,177,1,Wrong Size,2025-12-27
14366,5728,122,1,Late Delivery,2024-07-17
3454,1387,23,1,Late Delivery,2024-03-18
13066,5202,48,1,Late Delivery,2024-05-08
26339,10531,57,1,Damaged,2024-10-06
3156,1272,75,1,Damaged,2025-11-13
25986,10393,125,1,Damaged,2024-10-07
17128,6830,107,1,Late Delivery,2025-04-19
27088,10816,170,1,Damaged,2025-05-07
24217,9698,125,1,Wrong Size,2025-10-08
6090,2440,63,1,Damaged,2025-08-27
19145,7642,162,1,Damaged,2024-09-21
25632,10252,71,1,Wrong Size,2025-03-21
1216,491,34,1,Damaged,2025-07-26
17261,6884,18,1,Late Delivery,2024-06-12
12949,5159,50,1,Damaged,2025-03-25
24250,9710,13,1,Late Delivery,2025-10-08
3994,1610,113,1,Late Delivery,2025-09-21
15505,6178,64,1,Damaged,2025-06-15
10976,4356,55,1,Not Needed,2024-11-15
7893,3158,32,1,Late Delivery,2024-05-19
19109,7628,154,1,Late Delivery,2024-08-03
10217,4064,112,1,Wrong Size,2025-07-11
12806,5099,127,1,Wrong Size,2025-06-18
19567,7809,41,1,Wrong Size,2024-04-09
29365,11714,99,1,Damaged,2024-08-26
5530,2217,77,1,Wrong Size,2025-08-14
2913,1177,34,1,Not Needed,2025-04-18
16863,6722,46,1,Not Needed,2025-03-24
4544,1821,66,1,Late Delivery,2025-11-29
23442,9394,16,1,Damaged,2025-11-07
4061,1637,49,1,Wrong Size,2024-11-14
12595,5013,66,1,Damaged,2025-07-10
20215,8073,156,1,Damaged,2025-12-02
4014,1618,160,1,Damaged,2024-02-21
20826,8315,36,1,Damaged,2024-02-11
29924,11948,78,1,Not Needed,2025-05-06
784,320,174,1,Wrong Size,2024-05-31
20894,8343,5,1,Wrong Size,2024-06-08
16935,6751,56,1,Wrong Size,2025-07-08
2089,843,166,1,Not Needed,2025-06-13
16514,6586,92,1,Damaged,2024-06-30
21909,8755,135,1,Damaged,2025-09-18
12880,5127,107,1,Not Needed,2025-05-06
10052,3998,34,1,Wrong Size,2024-12-28
28781,11485,114,1,Damaged,2024-12-15
12123,4826,151,1,Damaged,2025-02-27
21284,8501,39,1,Not Needed,2024-09-17
28955,11556,22,1,Wrong Size,2024-07-19
1526,617,45,1,Not Needed,2025-01-24
7206,2874,155,1,Wrong Size,2024-08-27
10491,4174,7,1,Damaged,2026-01-07
7918,3166,79,1,Damaged,2025-09-02
18273,7292,5,1,Wrong Size,2024-07-11
26937,10757,70,1,Not Needed,2025-11-10
24271,9718,5,1,Not Needed,2025-08-23
4523,1814,129,1,Wrong Size,2024-12-26
27220,10865,62,1,Late Delivery,2024-07-09
12915,5142,20,1,Not Needed,2024-03-05
15550,6195,67,1,Damaged,2025-07-15
10863,4315,156,1,Wrong Size,2025-04-25
14210,5662,69,1,Wrong Size,2024-02-06
22647,9070,40,1,Damaged,2025-11-16
6939,2777,5,1,Damaged,2025-09-01
4039,1628,128,1,Late Delivery,2024-05-22
2988,1204,73,1,Late Delivery,2025-04-14
8984,3574,77,1,Damaged,2025-12-17
5722,2286,124,1,Damaged,2024-12-30
3761,1514,152,1,Late Delivery,2025-07-27
22013,8799,31,1,Not Needed,2024-03-27
17939,7153,164,1,Not Needed,2025-08-21
25227,10085,43,1,Wrong Size,2025-05-12
28845,11510,77,1,Wrong Size,2024-07-20
4660,1869,135,1,Damaged,2025-12-09
13435,5344,119,1,Not Needed,2024-03-18
11843,4707,78,1,Not Needed,2025-10-19
16427,6548,29,1,Not Needed,2024-05-26
17312,6904,19,1,Not Needed,2026-01-17
28844,11510,5,1,Wrong Size,2025-01-13
21680,8661,111,1,Damaged,2025-03-17
7358,2942,4,1,Wrong Size,2025-04-09
11561,4598,40,1,Not Needed,2024-09-05
21442,8567,165,1,Damaged,2025-10-09
2694,1087,68,1,Not Needed,2025-05-29
19155,7647,145,1,Not Needed,2024-08-10
26703,10669,38,1,Not Needed,2025-08-22
14628,5835,110,1,Late Delivery,2024-07-26
28281,11292,167,1,Not Needed,2024-03-19
11230,4460,80,1,Wrong Size,2024-02-09
26428,10565,137,1,Damaged,2025-10-11
2139,861,148,1,Damaged,2024-08-17
10023,3986,56,1,Not Needed,2024-05-17
8386,3349,5,1,Not Needed,2024-04-07
24404,9770,68,1,Not Needed,2025-05-07
29748,11870,1,1,Late Delivery,2025-05-05
28922,11541,70,1,Not Needed,2025-10-25
17360,6923,125,1,Late Delivery,2025-09-18
5810,2325,83,1,Wrong Size,2025-05-18
29480,11761,112,1,Damaged,2025-07-01
22832,9145,20,1,Wrong Size,2024-02-19
7695,3075,78,1,Damaged,2025-10-07
15763,6283,114,1,Wrong Size,2025-04-07
11675,4642,160,1,Wrong Size,2025-03-28
11815,4694,126,1,Damaged,2025-08-13
15437,6152,18,1,Damaged,2025-02-03
18881,7534,101,1,Wrong Size,2024-03-05
4786,1916,114,1,Not Needed,2025-10-28
1604,653,28,1,Wrong Size,2024-01-29
16075,6408,3,1,Damaged,2025-07-18
26071,10430,31,1,Late Delivery,2025-05-21
24650,9863,72,1,Wrong Size,2025-08-14
18993,7581,6,1,Not Needed,2025-04-01
9096,3615,84,1,Damaged,2025-01-23
16151,6439,71,1,Not Needed,2025-07-17
29800,11892,145,1,Wrong Size,2025-05-26
17181,6852,58,1,Not Needed,2024-02-01
25255,10097,126,1,Not Needed,2024-12-22
5608,2244,24,1,Wrong Size,2024-11-26
21511,8595,5,1,Damaged,2026-02-01
16724,6666,84,1,Not Needed,2025-06-21
8335,3325,143,1,Damaged,2024-09-23
18427,7352,145,1,Wrong Size,2025-04-02
5571,2230,75,1,Not Needed,2024-12-01
13294,5294,25,1,Damaged,2024-02-21
26090,10437,147,1,Damaged,2025-05-05
19838,7915,62,1,Damaged,2025-02-08
9583,3815,30,1,Wrong Size,2024-11-16
9058,3600,105,1,Wrong Size,2025-07-31
27251,10877,59,1,Wrong Size,2025-04-30
17124,6829,133,1,Not Needed,2025-08-29
14726,5871,111,1,Wrong Size,2024-09-23
21436,8564,26,1,Damaged,2025-02-17
11123,4419,90,1,Damaged,2024-07-18
5480,2200,153,1,Wrong Size,2024-05-09
13738,5468,178,1,Damaged,2024-09-16
14513,5791,132,1,Damaged,2025-05-14
28591,11409,9,1,Wrong Size,2024-02-14
19358,7726,19,1,Not Needed,2024-07-15
18485,7373,159,1,Damaged,2025-12-24
11408,4532,103,1,Late Delivery,2024-03-31
25296,10113,9,1,Late Delivery,2024-12-31
29713,11854,72,1,Not Needed,2024-06-29
9013,3584,46,1,Damaged,2025-10-26
23956,9593,138,1,Late Delivery,2024-04-02
25971,10387,3,1,Wrong Size,2025-08-08
553,230,110,1,Not Needed,2025-05-17
17446,6956,34,1,Damaged,2024-02-13
26492,10586,88,1,Not Needed,2025-07-18
10478,4170,126,1,Wrong Size,2024-12-17
10987,4360,108,1,Not Needed,2024-10-31
28249,11280,165,1,Damaged,2024-02-03
21347,8528,132,1,Damaged,2025-05-27
12500,4976,24,1,Not Needed,2025-05-25
13877,5522,90,1,Wrong Size,2025-07-26
25536,10211,77,1,Damaged,2025-02-06
2837,1145,6,1,Late Delivery,2024-09-13
16003,6379,126,1,Damaged,2024-10-14
24767,9905,128,1,Damaged,2024-03-20
4431,1776,117,1,Not Needed,2025-04-18
18992,7580,49,1,Damaged,2025-12-11
29615,11813,34,1,Wrong Size,2026-01-09
20217,8074,130,1,Late Delivery,2024-04-01
18776,7492,170,1,Wrong Size,2025-03-28
12185,4847,48,1,Late Delivery,2025-11-17
24116,9658,24,1,Late Delivery,2024-05-20
22683,9086,147,1,Wrong Size,2025-09-29
2103,847,66,1,Not Needed,2025-09-04
19907,7943,20,1,Wrong Size,2024-03-27
11917,4732,118,1,Wrong Size,2025-01-25
1203,487,110,1,Damaged,2024-01-31
6117,2453,83,1,Damaged,2024-10-16
16726,6668,52,1,Wrong Size,2025-09-16
8129,3243,99,1,Damaged,2024-06-25
20323,8114,88,1,Damaged,2024-04-01
4495,1802,154,1,Wrong Size,2025-05-05
1831,742,36,1,Damaged,2024-01-31
16510,6584,149,1,Damaged,2025-07-30
19415,7750,77,1,Damaged,2025-03-07
11898,4726,48,1,Damaged,2024-03-17
22995,9214,155,1,Not Needed,2025-04-12
21445,8568,143,1,Not Needed,2025-10-28
4235,1704,89,1,Damaged,2024-07-23
20736,8279,103,1,Damaged,2025-06-13
20676,8257,168,1,Wrong Size,2024-07-13
12102,4818,79,1,Damaged,2024-05-12
17117,6827,21,1,Damaged,2025-04-13
21084,8417,113,1,Late Delivery,2025-03-02
2415,973,157,1,Damaged,2025-09-01
13002,5178,107,1,Damaged,2024-08-30
18035,7192,49,1,Damaged,2025-11-10
10785,4283,43,1,Damaged,2024-12-21
21635,8641,58,1,Damaged,2025-09-18
13495,5367,13,1,Wrong Size,2024-08-02
25130,10049,132,1,Not Needed,2025-08-10
23071,9247,14,1,Late Delivery,2024-09-24
22343,8939,166,1,Damaged,2024-06-09
5756,2302,140,1,Damaged,2025-10-10
4811,1926,151,1,Wrong Size,2025-02-26
18658,7446,18,1,Damaged,2024-08-19
27029,10792,128,1,Damaged,2024-01-13
28750,11472,170,1,Late Delivery,2025-09-30
542,225,44,1,Not Needed,2025-10-22
11875,4717,123,1,Damaged,2025-01-16
27863,11125,115,1,Wrong Size,2025-03-02
15807,6300,108,1,Not Needed,2024-09-13
20328,8117,180,1,Wrong Size,2025-03-25
11514,4579,52,1,Damaged,2025-12-09
15266,6082,73,1,Not Needed,2025-11-01
24981,9992,54,1,Not Needed,2025-03-13
27975,11166,96,1,Late Delivery,2024-09-19
22580,9038,67,1,Damaged,2025-11-19
11539,4590,47,1,Damaged,2025-11-13
10150,4035,147,1,Damaged,2025-08-22
23629,9471,98,1,Damaged,2025-09-20
22365,8950,143,1,Damaged,2024-08-11
18185,7256,23,1,Not Needed,2024-08-02
15194,6054,70,1,Not Needed,2025-07-17
10642,4229,180,1,Damaged,2025-09-19
21766,8694,147,1,Late Delivery,2025-11-05
21422,8559,123,1,Late Delivery,2024-07-28
22652,9072,77,1,Wrong Size,2025-01-22
15042,5995,34,1,Damaged,2024-04-13
13973,5561,44,1,Damaged,2024-08-11
20891,8342,59,1,Not Needed,2024-11-02
8961,3566,33,1,Wrong Size,2024-02-18
21250,8487,73,1,Wrong Size,2025-11-12
29441,11744,33,1,Not Needed,2024-11-06
2087,842,82,1,Not Needed,2025-11-08
17561,6998,12,1,Damaged,2025-12-19
17235,6873,158,1,Not Needed,2025-06-06
29883,11929,171,1,Late Delivery,2025-08-08
7488,2995,35,1,Damaged,2024-11-16
15185,6049,169,1,Damaged,2025-11-16
17978,7167,18,1,Damaged,2024-07-31
4358,1752,126,1,Damaged,2024-02-16
22887,9168,170,1,Late Delivery,2024-07-30
4754,1906,153,1,Not Needed,2024-08-13
6685,2673,136,1,Damaged,2025-01-14
15142,6034,64,1,Late Delivery,2025-05-09
6465,2584,73,1,Damaged,2025-12-21
19425,7757,120,1,Damaged,2025-12-17
29239,11664,156,1,Damaged,2025-11-19
20817,8312,133,1,Damaged,2024-03-11
27723,11066,58,1,Not Needed,2025-03-15
11016,4376,79,1,Wrong Size,2025-01-02
6124,2455,89,1,Wrong Size,2025-08-25
48,19,126,1,Not Needed,2025-08-17
15989,6375,107,1,Not Needed,2024-03-11
8717,3471,33,1,Wrong Size,2024-07-23
21870,8736,72,1,Damaged,2025-08-14
24989,9994,117,1,Not Needed,2025-06-05
2452,987,149,1,Not Needed,2024-03-07
3192,1288,102,1,Not Needed,2024-07-31
18073,7206,24,1,Damaged,2024-03-31
26348,10535,11,1,Not Needed,2024-09-10
24550,9827,126,1,Wrong Size,2025-12-23
7448,2977,43,1,Damaged,2024-09-22
17201,6859,28,1,Damaged,2025-08-08
1296,525,133,1,Wrong Size,2024-11-01
6883,2755,40,1,Damaged,2025-09-23
11793,4686,3,1,Not Needed,2024-04-28
8972,3570,40,1,Wrong Size,2025-07-12
25736,10291,32,1,Wrong Size,2024-09-23
14169,5642,116,1,Damaged,2024-11-28
4832,1935,8,1,Wrong Size,2025-12-13
11645,4629,120,1,Not Needed,2024-01-30
19977,7976,88,1,Late Delivery,2024-03-12
14521,5797,51,1,Wrong Size,2024-06-20
13790,5485,173,1,Damaged,2025-04-26
28635,11425,26,1,Wrong Size,2024-07-16
6269,2508,180,1,Wrong Size,2024-06-28
16628,6629,138,1,Wrong Size,2025-07-10
6327,2527,149,1,Damaged,2026-01-14
10096,4014,56,1,Not Needed,2025-08-22
28751,11472,131,1,Wrong Size,2025-01-27
8528,3394,24,1,Not Needed,2024-02-29
29089,11606,169,1,Wrong Size,2024-08-27
24269,9717,68,1,Damaged,2025-03-14
11453,4553,164,1,Wrong Size,2025-04-28
16642,6633,21,1,Damaged,2025-08-31
2746,1111,20,1,Damaged,2025-04-18
8397,3353,41,1,Not Needed,2024-12-03
3072,1239,175,1,Late Delivery,2024-12-05
2945,1189,158,1,Not Needed,2025-01-14
9108,3619,64,1,Late Delivery,2024-02-06
17220,6867,80,1,Wrong Size,2024-05-17
1693,687,25,1,Damaged,2025-10-21
22332,8934,90,1,Late Delivery,2024-04-26
7,3,12,1,Damaged,2025-12-07
11682,4644,54,1,Damaged,2025-12-12
9740,3878,98,1,Late Delivery,2024-08-11
15832,6310,116,1,Not Needed,2025-02-24
29793,11890,30,1,Late Delivery,2024-06-06
19436,7761,146,1,Not Needed,2025-04-30
12463,4959,82,1,Not Needed,2024-09-03
1484,597,37,1,Damaged,2024-12-25
106,42,135,1,Not Needed,2025-11-11
9373,3728,111,1,Damaged,2025-12-15
6859,2743,66,1,Damaged,2024-12-09
23252,9323,69,1,Late Delivery,2024-09-17
4750,1904,62,1,Not Needed,2025-05-03
4797,1920,178,1,Damaged,2024-06-02
5606,2243,145,1,Not Needed,2024-04-19
13432,5343,93,1,Wrong Size,2024-11-25
23477,9407,5,1,Late Delivery,2024-05-16
26357,10539,88,1,Wrong Size,2025-12-06
15782,6290,135,1,Damaged,2025-02-21
27289,10892,69,1,Not Needed,2025-12-29
14057,5593,124,1,Late Delivery,2025-07-07
18765,7488,18,1,Wrong Size,2025-06-22
20086,8022,87,1,Late Delivery,2025-09-27
17622,7027,85,1,Damaged,2025-11-15
923,373,141,1,Not Needed,2025-10-25
11495,4571,45,1,Not Needed,2024-09-06
12265,4880,79,1,Not Needed,2024-09-04
4589,1841,88,1,Damaged,2025-08-17
8855,3523,85,1,Wrong Size,2025-07-01
22535,9020,94,1,Not Needed,2024-03-02
10695,4249,107,1,Late Delivery,2025-12-21
11360,4511,83,1,Not Needed,2025-05-05
1569,636,175,1,Late Delivery,2024-04-16
26273,10507,162,1,Not Needed,2025-05-20
9412,3743,142,1,Wrong Size,2025-10-03
27611,11022,109,1,Not Needed,2024-08-27
15099,6018,119,1,Not Needed,2025-05-23
6920,2770,24,1,Not Needed,2025-08-17
11214,4453,35,1,Damaged,2024-05-10
2975,1198,152,1,Wrong Size,2025-02-11
12629,5027,158,1,Damaged,2025-08-29
26534,10604,90,1,Damaged,2025-09-27
16102,6419,111,1,Damaged,2025-11-26
2993,1206,180,1,Late Delivery,2025-12-04
24961,9984,179,1,Damaged,2025-02-26
16175,6448,68,1,Damaged,2025-12-23
28650,11430,172,1,Late Delivery,2024-12-11
25062,10023,100,1,Not Needed,2024-04-24
7245,2894,114,1,Not Needed,2025-03-17
12903,5138,131,1,Damaged,2024-11-27
16233,6474,143,1,Not Needed,2024-06-21
20794,8304,164,1,Wrong Size,2024-12-12
10131,4026,34,1,Damaged,2025-04-27
7184,2867,86,1,Wrong Size,2025-05-03
18593,7417,7,1,Wrong Size,2024-09-12
28938,11547,154,1,Not Needed,2024-03-19
10784,4283,109,1,Damaged,2025-12-03
21939,8766,125,1,Damaged,2024-08-20
16036,6393,93,1,Late Delivery,2025-04-03
21368,8539,67,1,Late Delivery,2024-11-15
16098,6417,21,1,Not Needed,2024-12-29
22399,8962,172,1,Wrong Size,2024-08-29
9553,3803,141,1,Damaged,2024-06-05
20124,8037,152,1,Late Delivery,2025-08-22
9595,3820,32,1,Late Delivery,2025-11-08
5413,2175,56,1,Late Delivery,2024-10-09
23758,9520,40,1,Not Needed,2024-10-03
21593,8626,141,1,Not Needed,2025-11-01
23593,9454,13,1,Late Delivery,2024-09-27
21879,8739,68,1,Not Needed,2025-04-11
5782,2313,21,1,Not Needed,2025-06-30
1801,732,74,1,Not Needed,2025-05-03
11745,4667,30,1,Wrong Size,2025-07-15
23020,9225,178,1,Damaged,2024-11-05
16071,6407,105,1,Wrong Size,2024-02-18
25973,10388,94,1,Not Needed,2024-06-08
7227,2885,175,1,Not Needed,2024-12-20
20816,8312,169,1,Wrong Size,2025-02-14
25396,10154,35,1,Late Delivery,2025-11-12
11994,4770,126,1,Damaged,2024-04-26
2313,933,23,1,Not Needed,2025-08-20
26575,10620,119,1,Late Delivery,2025-11-06
15514,6180,67,1,Late Delivery,2025-07-27
17132,6831,84,1,Damaged,2024-05-20
26802,10707,128,1,Not Needed,2024-09-21
22204,8880,89,1,Late Delivery,2024-03-28
26825,10716,16,1,Damaged,2025-06-25
22232,8895,35,1,Wrong Size,2024-10-26
11641,4627,169,1,Wrong Size,2025-03-24
11659,4634,138,1,Not Needed,2025-11-07
18783,7495,97,1,Late Delivery,2025-12-12
427,180,169,1,Not Needed,2024-11-24
20266,8091,65,1,Wrong Size,2024-05-05
21513,8595,119,1,Damaged,2024-04-17
27382,10925,68,1,Damaged,2025-12-04
24552,9828,154,1,Wrong Size,2025-07-23
18051,7197,69,1,Damaged,2025-09-15
11614,4617,90,1,Late Delivery,2024-07-22
16251,6480,18,1,Wrong Size,2025-03-30
16797,6694,101,1,Damaged,2024-04-04
25644,10256,12,1,Wrong Size,2025-05-25
22578,9037,164,1,Wrong Size,2025-10-09
11720,4659,81,1,Wrong Size,2025-04-28
8878,3533,59,1,Damaged,2024-07-08
7961,3185,99,1,Wrong Size,2025-10-05
9576,3813,112,1,Wrong Size,2025-12-20
25543,10213,3,1,Damaged,2025-04-24
24015,9618,164,1,Wrong Size,2025-10-11
12997,5176,83,1,Not Needed,2024-03-16
13492,5366,29,1,Wrong Size,2024-09-29
18648,7442,138,1,Late Delivery,2024-10-11
19352,7724,47,1,Not Needed,2024-07-07
3458,1389,156,1,Damaged,2025-04-16
14948,5958,48,1,Wrong Size,2025-11-06
14457,5767,25,1,Damaged,2025-04-27
5978,2396,173,1,Damaged,2025-06-27
21980,8786,98,1,Damaged,2025-02-28
