payment_id,order_id,payment_ts,payment_method,payment_status,payment_amount
PAY0000058,ORD0000058,2026-04-20 16:07:00,bank_transfer,completed,1652.59
PAY0000059,ORD0000059,2026-03-07 09:39:00,bank_transfer,refunded,894.78
PAY0000060,ORD0000060,2026-04-15 03:45:00,gift_card,completed,1183.44
PAY0000061,ORD0000061,2026-02-05 08:19:00,card,completed,151.94
PAY0000062,ORD0000062,2026-02-12 06:03:00,card,completed,438.1
PAY0000063,ORD0000063,2026-03-03 13:57:00,gift_card,completed,1362.58
PAY0000064,ORD0000064,2026-03-08 10:35:00,gift_card,completed,632.58
PAY0000065,ORD0000065,2026-04-05 07:38:00,card,completed,49.7
PAY0000066,ORD0000066,2026-04-08 06:30:00,gift_card,completed,2374.53
PAY0000067,ORD0000067,2026-04-08 15:36:00,card,completed,984.22
PAY0000068,ORD0000068,2026-04-11 19:39:00,wallet,completed,931.7
PAY0000069,ORD0000069,2026-04-01 01:31:00,bank_transfer,failed,1129.72
PAY0000070,ORD0000070,2026-02-10 23:25:00,card,completed,1357.97
PAY0000071,ORD0000071,2026-04-13 18:59:00,gift_card,completed,1309.53
PAY0000072,ORD0000072,2026-02-14 23:19:00,wallet,refunded,2719.94
PAY0000073,ORD0000073,2026-04-09 12:48:00,wallet,completed,2639.12
PAY0000074,ORD0000074,2026-03-02 13:08:00,card,completed,1648.05
PAY0000075,ORD0000075,2026-02-14 05:31:00,wallet,completed,433.64
PAY0000076,ORD0000076,2026-02-18 06:51:00,gift_card,completed,1233.85
PAY0000077,ORD0000077,2026-03-11 19:56:00,wallet,completed,2860.83
PAY0000078,ORD0000078,2026-01-31 16:33:00,gift_card,completed,2327.2
PAY0000079,ORD0000079,2026-04-07 02:33:00,wallet,completed,1588.52
PAY0000080,ORD0000080,2026-03-11 22:18:00,bank_transfer,completed,1994.56
PAY0000081,ORD0000081,2026-04-02 16:51:00,bank_transfer,completed,422.66
PAY0000082,ORD0000082,2026-02-15 08:40:00,wallet,completed,517.72
PAY0000083,ORD0000083,2026-03-25 06:36:00,bank_transfer,completed,465.29
PAY0000084,ORD0000084,2026-02-13 06:12:00,bank_transfer,completed,169.26
PAY0000085,ORD0000085,2026-04-07 02:34:00,gift_card,completed,1337.8
PAY0000086,ORD0000086,2026-03-05 17:26:00,wallet,completed,1607.65
PAY0000087,ORD0000087,2026-03-26 02:29:00,card,completed,789.06
PAY0000088,ORD0000088,2026-03-08 04:43:00,bank_transfer,completed,1791.22
PAY0000089,ORD0000089,2026-03-10 00:14:00,card,completed,943.2
PAY0000090,ORD0000090,2026-03-13 02:52:00,bank_transfer,completed,2321.0
PAY0000091,ORD0000091,2026-02-22 11:38:00,bank_transfer,completed,1328.86
PAY0000092,ORD0000092,2026-04-03 01:51:00,card,completed,828.72
PAY0000093,ORD0000093,2026-04-16 00:42:00,gift_card,completed,1899.68
PAY0000094,ORD0000094,2026-02-02 17:06:00,card,completed,2408.36
PAY0000095,ORD0000095,2026-02-19 19:58:00,wallet,completed,2442.16
PAY0000096,ORD0000096,2026-02-15 07:58:00,wallet,refunded,678.72
PAY0000097,ORD0000097,2026-01-25 06:21:00,bank_transfer,completed,67.96
PAY0000098,ORD0000098,2026-04-23 17:41:00,wallet,completed,2744.77
PAY0000099,ORD0000099,2026-04-03 20:15:00,wallet,completed,1837.05
PAY0000100,ORD0000100,2026-04-17 22:17:00,wallet,completed,1956.91
PAY0000101,ORD0000101,2026-03-23 15:40:00,gift_card,completed,760.74
PAY0000102,ORD0000102,2026-02-22 20:11:00,card,completed,1110.64
PAY0000103,ORD0000103,2026-03-18 20:32:00,wallet,completed,1954.87
PAY0000104,ORD0000104,2026-04-07 07:18:00,gift_card,completed,1755.78
PAY0000105,ORD0000105,2026-03-19 07:03:00,card,completed,411.83
PAY0000106,ORD0000106,2026-02-11 12:25:00,wallet,completed,1467.16
PAY0000107,ORD0000107,2026-04-15 22:21:00,card,completed,606.28
PAY0000108,ORD0000108,2026-02-09 16:27:00,wallet,completed,1951.1
PAY0000109,ORD0000109,2026-03-01 02:17:00,card,completed,439.67
PAY0000110,ORD0000110,2026-02-23 02:45:00,card,completed,706.56
PAY0000111,ORD0000111,2026-04-17 22:24:00,card,completed,825.6
PAY0000112,ORD0000112,2026-02-28 21:29:00,wallet,completed,2131.06
PAY0000113,ORD0000113,2026-01-31 09:06:00,bank_transfer,completed,294.42
PAY0000114,ORD0000114,2026-04-18 17:08:00,bank_transfer,completed,2585.77
PAY0000115,ORD0000115,2026-01-30 12:05:00,card,completed,1699.99
PAY0000116,ORD0000116,2026-04-02 21:16:00,bank_transfer,completed,15.93
PAY0000117,ORD0000117,2026-02-05 19:02:00,gift_card,completed,842.26
PAY0000118,ORD0000118,2026-04-06 07:38:00,gift_card,completed,1874.25
PAY0000119,ORD0000119,2026-04-11 05:14:00,wallet,completed,380.2
PAY0000120,ORD0000120,2026-03-12 21:51:00,bank_transfer,completed,1721.64
PAY0000121,ORD0000121,2026-04-12 05:14:00,wallet,completed,1953.34
PAY0000122,ORD0000122,2026-02-11 01:39:00,card,completed,2108.64
PAY0000123,ORD0000123,2026-01-27 04:16:00,wallet,completed,1931.28
PAY0000124,ORD0000124,2026-02-11 12:08:00,bank_transfer,completed,1295.27
PAY0000125,ORD0000125,2026-02-04 21:58:00,bank_transfer,completed,1158.17
PAY0000126,ORD0000126,2026-04-06 09:08:00,bank_transfer,completed,699.44
PAY0000127,ORD0000127,2026-03-21 20:45:00,bank_transfer,completed,855.18
PAY0000128,ORD0000128,2026-04-10 10:27:00,card,completed,1984.28
PAY0000129,ORD0000129,2026-03-25 21:14:00,gift_card,completed,988.52
PAY0000130,ORD0000130,2026-03-28 09:03:00,wallet,failed,99.4
PAY0000131,ORD0000131,2026-03-22 17:29:00,bank_transfer,completed,2127.18
PAY0000132,ORD0000132,2026-01-28 20:25:00,bank_transfer,completed,555.44
PAY0000133,ORD0000133,2026-02-17 10:44:00,card,completed,216.48
PAY0000134,ORD0000134,2026-02-17 07:29:00,bank_transfer,completed,1068.1
PAY0000135,ORD0000135,2026-02-28 08:01:00,gift_card,completed,270.16
PAY0000136,ORD0000136,2026-04-10 19:51:00,bank_transfer,completed,89.82
PAY0000137,ORD0000137,2026-02-06 14:47:00,bank_transfer,completed,1384.06
PAY0000138,ORD0000138,2026-03-26 22:27:00,gift_card,completed,642.75
PAY0000139,ORD0000139,2026-03-01 17:32:00,gift_card,completed,986.61
PAY0000140,ORD0000140,2026-03-25 09:48:00,bank_transfer,completed,916.31
PAY0000141,ORD0000141,2026-02-04 13:22:00,bank_transfer,completed,496.32
PAY0000142,ORD0000142,2026-02-18 11:57:00,card,completed,275.36
PAY0000143,ORD0000143,2026-04-17 23:02:00,wallet,completed,189.97
PAY0000144,ORD0000144,2026-03-25 01:47:00,gift_card,completed,700.95
PAY0000145,ORD0000145,2026-02-01 02:34:00,bank_transfer,completed,804.1
PAY0000146,ORD0000146,2026-02-02 00:16:00,wallet,completed,3314.32
PAY0000147,ORD0000147,2026-04-01 01:09:00,bank_transfer,completed,2919.95
PAY0000148,ORD0000148,2026-04-20 23:08:00,gift_card,failed,2069.6
PAY0000149,ORD0000149,2026-04-13 18:31:00,bank_transfer,completed,1601.24
PAY0000150,ORD0000150,2026-03-25 16:34:00,wallet,completed,1341.15
PAY0000151,ORD0000151,2026-04-09 13:11:00,gift_card,completed,1660.34
PAY0000152,ORD0000152,2026-03-02 22:31:00,bank_transfer,completed,1768.23
PAY0000153,ORD0000153,2026-04-07 22:43:00,gift_card,failed,1157.01
PAY0000154,ORD0000154,2026-02-10 08:30:00,card,completed,2220.06
PAY0000155,ORD0000155,2026-04-11 05:58:00,bank_transfer,completed,1444.62
PAY0000156,ORD0000156,2026-03-06 19:33:00,wallet,completed,840.32
PAY0000157,ORD0000157,2026-03-04 08:39:00,card,failed,431.89
PAY0000158,ORD0000158,2026-04-02 20:31:00,card,completed,583.62
PAY0000159,ORD0000159,2026-02-10 05:20:00,gift_card,completed,1455.37
PAY0000160,ORD0000160,2026-03-08 08:44:00,bank_transfer,completed,1757.2
PAY0000161,ORD0000161,2026-02-02 18:26:00,bank_transfer,completed,918.27
PAY0000162,ORD0000162,2026-03-28 15:35:00,card,completed,951.73
PAY0000163,ORD0000163,2026-04-14 11:57:00,wallet,refunded,1147.52
PAY0000164,ORD0000164,2026-04-17 18:31:00,card,completed,1620.45
PAY0000165,ORD0000165,2026-03-06 21:06:00,bank_transfer,completed,2796.52
PAY0000166,ORD0000166,2026-03-29 00:30:00,gift_card,completed,418.37
PAY0000167,ORD0000167,2026-01-26 05:29:00,card,completed,1059.15
PAY0000168,ORD0000168,2026-02-12 10:38:00,wallet,completed,549.61
PAY0000169,ORD0000169,2026-03-20 18:05:00,card,completed,1516.35
PAY0000170,ORD0000170,2026-04-05 18:52:00,card,completed,1611.05
PAY0000171,ORD0000171,2026-03-05 03:49:00,wallet,completed,1321.23
PAY0000172,ORD0000172,2026-01-25 18:06:00,gift_card,completed,357.16
PAY0000173,ORD0000173,2026-02-14 16:35:00,card,completed,3233.74
PAY0000174,ORD0000174,2026-04-08 07:46:00,bank_transfer,completed,2052.17
PAY0000175,ORD0000175,2026-02-18 04:14:00,wallet,completed,416.03
PAY0000176,ORD0000176,2026-02-11 07:03:00,wallet,completed,116.2
PAY0000177,ORD0000177,2026-02-14 15:18:00,wallet,completed,429.52
PAY0000178,ORD0000178,2026-04-21 15:52:00,bank_transfer,completed,195.9
PAY0000179,ORD0000179,2026-04-01 06:09:00,bank_transfer,completed,679.72
PAY0000180,ORD0000180,2026-02-08 08:40:00,wallet,completed,1689.2
PAY0000181,ORD0000181,2026-02-25 10:22:00,bank_transfer,refunded,1366.32
PAY0000182,ORD0000182,2026-03-28 17:47:00,bank_transfer,completed,969.22
PAY0000183,ORD0000183,2026-03-16 19:44:00,gift_card,completed,1099.71
PAY0000184,ORD0000184,2026-02-08 13:46:00,bank_transfer,completed,394.59
PAY0000185,ORD0000185,2026-02-27 17:16:00,wallet,completed,643.8
PAY0000186,ORD0000186,2026-02-11 23:09:00,wallet,completed,959.78
PAY0000187,ORD0000187,2026-02-08 15:28:00,wallet,completed,1127.64
PAY0000188,ORD0000188,2026-04-23 08:58:00,wallet,completed,1914.88
PAY0000189,ORD0000189,2026-04-11 19:43:00,gift_card,completed,1999.6
PAY0000190,ORD0000190,2026-03-28 09:35:00,card,completed,295.81
PAY0000191,ORD0000191,2026-03-27 06:48:00,bank_transfer,refunded,294.42
PAY0000192,ORD0000192,2026-03-22 10:22:00,gift_card,completed,1269.3
PAY0000193,ORD0000193,2026-02-05 08:23:00,wallet,completed,3178.49
PAY0000194,ORD0000194,2026-02-23 07:37:00,bank_transfer,completed,811.51
PAY0000195,ORD0000195,2026-02-20 12:49:00,card,completed,679.98
PAY0000196,ORD0000196,2026-02-23 23:31:00,bank_transfer,completed,1537.35
PAY0000197,ORD0000197,2026-02-16 09:12:00,bank_transfer,completed,709.1
PAY0000198,ORD0000198,2026-02-05 13:34:00,wallet,completed,1438.64
PAY0000199,ORD0000199,2026-04-05 11:25:00,wallet,completed,993.03
PAY0000200,ORD0000200,2026-04-12 22:44:00,bank_transfer,completed,1383.54
PAY0000201,ORD0000201,2026-02-19 05:15:00,wallet,completed,2215.19
PAY0000202,ORD0000202,2026-03-07 17:04:00,gift_card,completed,1087.98
PAY0000203,ORD0000203,2026-02-28 19:18:00,gift_card,refunded,1804.72
PAY0000204,ORD0000204,2026-04-12 00:14:00,bank_transfer,completed,419.89
PAY0000205,ORD0000205,2026-03-12 13:28:00,bank_transfer,completed,660.52
PAY0000206,ORD0000206,2026-04-20 13:05:00,gift_card,refunded,885.46
PAY0000207,ORD0000207,2026-03-12 20:13:00,bank_transfer,completed,924.29
PAY0000208,ORD0000208,2026-04-03 07:34:00,card,completed,1124.54
PAY0000209,ORD0000209,2026-03-12 18:21:00,wallet,completed,945.39
PAY0000210,ORD0000210,2026-03-16 23:45:00,gift_card,refunded,790.6
PAY0000211,ORD0000211,2026-04-15 15:04:00,card,completed,719.75
PAY0000212,ORD0000212,2026-02-20 09:11:00,gift_card,completed,2232.9
PAY0000213,ORD0000213,2026-01-24 22:41:00,gift_card,refunded,606.37
PAY0000214,ORD0000214,2026-02-09 17:39:00,gift_card,completed,430.71
PAY0000215,ORD0000215,2026-03-08 02:35:00,gift_card,completed,335.8
PAY0000216,ORD0000216,2026-03-16 09:56:00,wallet,completed,2139.64
PAY0000217,ORD0000217,2026-02-15 07:29:00,card,completed,763.53
PAY0000218,ORD0000218,2026-03-11 15:29:00,wallet,completed,206.12
PAY0000219,ORD0000219,2026-02-03 22:47:00,gift_card,completed,846.82
PAY0000220,ORD0000220,2026-04-20 00:41:00,gift_card,completed,367.58
PAY0000221,ORD0000221,2026-04-22 11:05:00,gift_card,completed,2266.59
PAY0000222,ORD0000222,2026-04-19 22:50:00,gift_card,completed,1409.38
PAY0000223,ORD0000223,2026-02-18 03:42:00,card,completed,908.58
PAY0000224,ORD0000224,2026-03-05 06:14:00,card,completed,125.88
PAY0000225,ORD0000225,2026-03-19 01:11:00,bank_transfer,completed,194.4
PAY0000226,ORD0000226,2026-03-25 05:06:00,gift_card,completed,621.22
PAY0000227,ORD0000227,2026-04-03 18:42:00,gift_card,completed,1659.68
PAY0000228,ORD0000228,2026-02-25 04:57:00,card,completed,72.4
PAY0000229,ORD0000229,2026-02-08 10:19:00,card,completed,2347.17
PAY0000230,ORD0000230,2026-02-28 22:58:00,card,completed,1783.78
PAY0000231,ORD0000231,2026-04-19 05:20:00,wallet,completed,616.98
PAY0000232,ORD0000232,2026-04-08 18:46:00,card,completed,1464.7
PAY0000233,ORD0000233,2026-03-02 18:57:00,gift_card,completed,1359.08
PAY0000234,ORD0000234,2026-04-05 02:03:00,wallet,completed,20.4
PAY0000235,ORD0000235,2026-04-05 04:21:00,bank_transfer,completed,482.37
PAY0000236,ORD0000236,2026-04-17 10:42:00,gift_card,completed,1900.93
PAY0000237,ORD0000237,2026-03-08 08:11:00,card,completed,1255.9
PAY0000238,ORD0000238,2026-04-17 10:47:00,wallet,completed,1705.91
PAY0000239,ORD0000239,2026-04-06 04:47:00,card,completed,143.72
PAY0000240,ORD0000240,2026-02-16 06:40:00,bank_transfer,completed,2030.93
PAY0000241,ORD0000241,2026-01-31 00:16:00,bank_transfer,completed,2109.73
PAY0000242,ORD0000242,2026-01-26 22:48:00,card,completed,3230.31
PAY0000243,ORD0000243,2026-03-07 04:57:00,card,completed,848.54
PAY0000244,ORD0000244,2026-04-11 02:55:00,wallet,completed,991.51
PAY0000245,ORD0000245,2026-02-10 02:57:00,gift_card,completed,1243.71
PAY0000246,ORD0000246,2026-03-01 11:56:00,card,completed,693.8
PAY0000247,ORD0000247,2026-03-14 01:57:00,gift_card,completed,602.36
PAY0000248,ORD0000248,2026-02-26 13:39:00,bank_transfer,completed,829.18
PAY0000249,ORD0000249,2026-02-22 23:51:00,gift_card,completed,2124.81
PAY0000250,ORD0000250,2026-01-29 06:57:00,gift_card,completed,2196.8
PAY0000251,ORD0000251,2026-01-26 14:29:00,card,completed,1067.23
PAY0000252,ORD0000252,2026-03-30 23:28:00,card,completed,679.56
PAY0000253,ORD0000253,2026-03-02 22:34:00,gift_card,completed,468.97
PAY0000254,ORD0000254,2026-02-27 21:39:00,bank_transfer,completed,1181.63
PAY0000255,ORD0000255,2026-04-06 10:11:00,card,completed,1858.55
PAY0000256,ORD0000256,2026-03-11 02:08:00,wallet,completed,448.92
PAY0000257,ORD0000257,2026-03-14 12:37:00,bank_transfer,completed,1020.28
PAY0000258,ORD0000258,2026-01-25 20:21:00,card,completed,2228.31
PAY0000259,ORD0000259,2026-02-04 04:26:00,card,completed,905.68
PAY0000260,ORD0000260,2026-04-14 02:11:00,card,completed,1514.87
PAY0000261,ORD0000261,2026-02-16 19:28:00,gift_card,completed,513.03
PAY0000262,ORD0000262,2026-03-17 05:05:00,wallet,completed,1319.35
PAY0000263,ORD0000263,2026-01-24 20:44:00,card,completed,971.43
PAY0000264,ORD0000264,2026-03-22 16:46:00,bank_transfer,completed,127.4
PAY0000265,ORD0000265,2026-02-23 06:55:00,gift_card,completed,286.7
PAY0000266,ORD0000266,2026-02-01 20:12:00,gift_card,completed,2011.97
PAY0000267,ORD0000267,2026-02-20 20:54:00,wallet,completed,1660.86
PAY0000268,ORD0000268,2026-04-04 06:57:00,bank_transfer,completed,929.71
PAY0000269,ORD0000269,2026-02-02 13:25:00,gift_card,completed,1910.33
PAY0000270,ORD0000270,2026-03-07 16:48:00,wallet,completed,236.88
PAY0000271,ORD0000271,2026-03-07 08:49:00,card,completed,1945.89
PAY0000272,ORD0000272,2026-03-01 21:15:00,wallet,completed,1504.29
PAY0000273,ORD0000273,2026-02-06 18:30:00,wallet,completed,1461.66
PAY0000274,ORD0000274,2026-04-09 16:30:00,bank_transfer,completed,1216.41
PAY0000275,ORD0000275,2026-03-14 14:05:00,gift_card,completed,1501.75
PAY0000276,ORD0000276,2026-04-17 07:51:00,wallet,completed,1801.29
PAY0000277,ORD0000277,2026-04-09 11:03:00,card,completed,178.74
PAY0000278,ORD0000278,2026-02-07 22:21:00,bank_transfer,completed,2597.71
PAY0000279,ORD0000279,2026-03-25 05:47:00,bank_transfer,completed,110.39
PAY0000280,ORD0000280,2026-04-09 15:45:00,bank_transfer,completed,1943.44
PAY0000281,ORD0000281,2026-03-07 10:27:00,bank_transfer,completed,2290.17
PAY0000282,ORD0000282,2026-03-27 08:42:00,wallet,completed,437.25
PAY0000283,ORD0000283,2026-03-30 16:39:00,gift_card,completed,716.32
PAY0000284,ORD0000284,2026-04-17 20:40:00,gift_card,completed,1043.97
PAY0000285,ORD0000285,2026-02-22 17:38:00,bank_transfer,completed,468.95
PAY0000286,ORD0000286,2026-02-12 04:33:00,card,completed,1754.5
PAY0000287,ORD0000287,2026-04-05 04:32:00,wallet,completed,1284.24
PAY0000288,ORD0000288,2026-04-22 06:24:00,wallet,completed,1395.04
PAY0000289,ORD0000289,2026-03-27 02:09:00,bank_transfer,completed,895.9
PAY0000290,ORD0000290,2026-03-18 17:55:00,gift_card,completed,1174.59
PAY0000291,ORD0000291,2026-04-14 23:51:00,gift_card,completed,1452.06
PAY0000292,ORD0000292,2026-03-09 23:50:00,wallet,completed,640.28
PAY0000293,ORD0000293,2026-03-07 11:38:00,gift_card,completed,701.52
PAY0000294,ORD0000294,2026-04-22 18:55:00,bank_transfer,completed,644.5
PAY0000295,ORD0000295,2026-04-11 22:23:00,bank_transfer,completed,557.48
PAY0000296,ORD0000296,2026-02-28 12:31:00,card,completed,409.68
PAY0000297,ORD0000297,2026-03-25 19:25:00,wallet,completed,719.48
PAY0000298,ORD0000298,2026-03-08 11:37:00,bank_transfer,completed,438.86
PAY0000299,ORD0000299,2026-02-11 06:52:00,wallet,completed,1080.39
PAY0000300,ORD0000300,2026-02-21 18:23:00,gift_card,completed,320.25
PAY0000301,ORD0000301,2026-02-22 18:52:00,gift_card,completed,1886.35
PAY0000302,ORD0000302,2026-03-24 15:29:00,bank_transfer,completed,1548.35
PAY0000303,ORD0000303,2026-03-16 09:27:00,wallet,completed,145.65
PAY0000304,ORD0000304,2026-02-08 18:26:00,bank_transfer,completed,988.74
PAY0000305,ORD0000305,2026-04-06 17:42:00,bank_transfer,completed,700.62
PAY0000306,ORD0000306,2026-04-19 21:14:00,wallet,completed,1111.78
PAY0000307,ORD0000307,2026-01-28 06:56:00,gift_card,completed,1501.96
PAY0000308,ORD0000308,2026-03-28 06:33:00,bank_transfer,completed,1269.75
PAY0000309,ORD0000309,2026-02-06 04:01:00,wallet,completed,561.74
PAY0000310,ORD0000310,2026-03-04 05:13:00,gift_card,completed,2061.4
PAY0000311,ORD0000311,2026-03-06 02:15:00,bank_transfer,completed,2228.33
PAY0000312,ORD0000312,2026-03-15 18:06:00,card,completed,728.19
PAY0000313,ORD0000313,2026-04-01 19:49:00,bank_transfer,completed,244.9
PAY0000314,ORD0000314,2026-03-30 18:24:00,card,failed,2221.3
PAY0000315,ORD0000315,2026-03-17 07:21:00,gift_card,failed,690.97
PAY0000316,ORD0000316,2026-01-30 19:20:00,bank_transfer,completed,30.85
PAY0000317,ORD0000317,2026-04-07 06:06:00,gift_card,refunded,2870.29
PAY0000318,ORD0000318,2026-02-21 06:22:00,gift_card,completed,652.13
PAY0000319,ORD0000319,2026-02-16 11:51:00,card,completed,30.51
PAY0000320,ORD0000320,2026-02-20 03:26:00,card,completed,1823.39
PAY0000321,ORD0000321,2026-01-28 23:19:00,wallet,completed,1556.92
PAY0000322,ORD0000322,2026-03-12 10:49:00,card,completed,2130.52
PAY0000323,ORD0000323,2026-03-12 01:18:00,card,completed,576.23
PAY0000324,ORD0000324,2026-03-09 13:10:00,gift_card,completed,1045.82
PAY0000325,ORD0000325,2026-03-18 20:06:00,wallet,completed,1464.76
PAY0000326,ORD0000326,2026-01-25 03:39:00,bank_transfer,completed,1813.05
PAY0000327,ORD0000327,2026-03-15 14:45:00,bank_transfer,completed,2014.01
PAY0000328,ORD0000328,2026-03-25 22:06:00,gift_card,completed,510.05
PAY0000329,ORD0000329,2026-02-18 18:45:00,gift_card,completed,1506.39
PAY0000330,ORD0000330,2026-04-14 10:11:00,gift_card,completed,1064.27
PAY0000331,ORD0000331,2026-03-06 20:41:00,card,completed,1864.65
PAY0000332,ORD0000332,2026-04-17 04:42:00,gift_card,completed,215.06
PAY0000333,ORD0000333,2026-03-27 13:11:00,gift_card,completed,2400.52
PAY0000334,ORD0000334,2026-04-11 23:40:00,wallet,completed,4102.17
PAY0000335,ORD0000335,2026-01-28 08:25:00,card,completed,1664.66
PAY0000336,ORD0000336,2026-02-04 14:06:00,gift_card,completed,300.96
PAY0000337,ORD0000337,2026-02-02 18:39:00,wallet,completed,738.6
PAY0000338,ORD0000338,2026-04-06 00:46:00,card,completed,1761.03
PAY0000339,ORD0000339,2026-02-01 05:07:00,bank_transfer,completed,594.95
PAY0000340,ORD0000340,2026-02-23 14:09:00,card,completed,1410.33
PAY0000341,ORD0000341,2026-03-20 12:25:00,gift_card,completed,829.02
PAY0000342,ORD0000342,2026-04-19 10:48:00,bank_transfer,completed,474.02
PAY0000343,ORD0000343,2026-02-20 15:16:00,bank_transfer,completed,646.98
PAY0000344,ORD0000344,2026-02-04 10:31:00,gift_card,completed,650.6
PAY0000345,ORD0000345,2026-04-18 18:52:00,bank_transfer,completed,225.03
PAY0000346,ORD0000346,2026-03-05 10:45:00,gift_card,failed,226.66
PAY0000347,ORD0000347,2026-03-27 08:21:00,wallet,completed,725.96
PAY0000348,ORD0000348,2026-01-27 21:09:00,gift_card,completed,2382.21
PAY0000349,ORD0000349,2026-03-21 21:15:00,gift_card,completed,2235.63
PAY0000350,ORD0000350,2026-02-17 23:33:00,bank_transfer,refunded,455.82
PAY0000351,ORD0000351,2026-02-25 13:21:00,bank_transfer,completed,513.03
PAY0000352,ORD0000352,2026-03-24 07:58:00,wallet,completed,812.58
PAY0000353,ORD0000353,2026-03-24 21:31:00,gift_card,completed,2578.64
PAY0000354,ORD0000354,2026-04-02 16:23:00,gift_card,completed,1756.3
PAY0000355,ORD0000355,2026-04-09 13:20:00,gift_card,completed,862.83
