order_item_id,order_id,line_number,product_id,quantity,unit_price,discount_rate,unit_cost
53,22,2,24,1,203.72,0.1,106.12
54,22,3,59,3,346.16,0.0,186.48
55,23,1,167,3,158.79,0.1,83.13
56,23,2,133,2,208.87,0.1,116.79
57,23,3,13,3,95.63,0.05,63.05
58,23,4,179,1,219.84,0.15,154.73
59,24,1,80,3,234.05,0.0,116.63
60,24,2,137,3,178.26,0.0,130.91
61,25,1,20,3,173.25,0.05,99.3
62,25,2,56,2,69.48,0.05,63.4
63,26,1,1,1,253.66,0.0,150.39
64,26,2,140,3,296.85,0.05,190.27
65,27,1,125,3,27.19,0.0,21.34
66,27,2,120,2,99.75,0.0,60.16
67,27,3,113,1,12.89,0.0,9.5
68,27,4,149,3,366.79,0.0,190.65
69,28,1,123,2,143.18,0.0,79.3
70,28,2,73,2,276.25,0.0,152.06
71,28,3,152,3,41.49,0.05,26.34
72,29,1,115,1,26.15,0.1,21.3
73,29,2,21,1,80.19,0.0,46.02
74,30,1,21,3,75.36,0.0,46.02
75,30,2,57,3,98.36,0.1,70.84
76,30,3,48,2,174.23,0.05,140.24
77,30,4,127,3,61.58,0.0,43.54
78,31,1,149,1,362.21,0.15,190.65
79,31,2,104,3,215.28,0.0,153.87
80,31,3,76,2,86.88,0.0,52.77
81,31,4,167,3,148.08,0.0,83.13
82,32,1,103,3,143.65,0.1,124.79
83,33,1,66,3,244.72,0.0,140.82
84,33,2,137,1,181.65,0.0,130.91
85,34,1,62,1,151.41,0.1,78.3
86,34,2,5,1,218.2,0.1,166.75
87,35,1,40,1,96.55,0.0,64.44
88,35,2,83,2,152.33,0.0,107.57
89,35,3,141,3,259.69,0.0,174.42
90,35,4,171,1,242.55,0.1,138.36
91,36,1,121,1,256.05,0.0,199.27
92,37,1,27,3,99.5,0.1,71.33
93,37,2,39,3,97.66,0.0,47.76
94,38,1,71,1,75.03,0.0,41.1
95,38,2,92,3,135.48,0.0,75.08
96,38,3,59,3,323.86,0.0,186.48
97,38,4,1,2,238.66,0.0,150.39
98,39,1,141,1,260.83,0.0,174.42
99,39,2,11,3,79.71,0.1,60.49
100,40,1,23,1,237.44,0.1,165.95
101,40,2,93,3,150.68,0.0,100.99
102,41,1,13,3,86.87,0.0,63.05
103,41,2,104,3,229.22,0.1,153.87
104,42,1,70,2,164.19,0.0,90.45
105,42,2,12,3,233.78,0.0,172.82
106,42,3,135,2,125.02,0.1,89.59
107,43,1,9,2,103.71,0.1,50.35
108,44,1,124,1,128.63,0.1,111.23
109,45,1,71,3,73.34,0.05,41.1
110,45,2,171,1,231.92,0.0,138.36
111,45,3,120,3,93.38,0.05,60.16
112,45,4,178,1,151.92,0.0,77.81
113,46,1,170,2,152.99,0.0,104.3
114,46,2,114,3,128.64,0.0,65.39
115,46,3,1,2,251.55,0.0,150.39
116,46,4,72,3,127.75,0.1,102.31
117,47,1,100,1,36.54,0.0,26.72
118,48,1,164,2,184.15,0.05,127.65
119,48,2,78,3,138.7,0.0,104.04
120,48,3,93,3,154.65,0.1,100.99
121,48,4,98,1,246.36,0.05,159.47
122,49,1,18,2,12.88,0.0,7.15
123,50,1,130,1,13.7,0.0,8.16
124,50,2,25,3,23.69,0.1,15.95
125,51,1,57,1,104.87,0.0,70.84
126,51,2,89,3,264.19,0.1,144.73
127,52,1,26,2,170.67,0.0,97.84
128,53,1,132,1,122.42,0.0,96.25
129,54,1,72,1,137.98,0.05,102.31
130,54,2,25,3,22.62,0.1,15.95
131,54,3,45,2,60.96,0.05,45.08
132,54,4,25,2,24.89,0.05,15.95
133,55,1,14,3,10.7,0.05,7.05
134,55,2,11,2,80.1,0.0,60.49
135,56,1,2,2,261.96,0.0,145.03
136,56,2,75,1,135.63,0.0,87.68
137,56,3,77,3,220.46,0.1,112.08
138,56,4,167,1,160.22,0.05,83.13
139,57,1,86,1,141.17,0.0,80.63
140,57,2,27,1,95.2,0.0,71.33
141,57,3,60,3,267.44,0.1,182.48
142,57,4,29,2,180.05,0.0,150.17
143,58,1,45,2,64.45,0.0,45.08
144,58,2,46,2,9.41,0.0,6.81
145,59,1,83,3,142.53,0.05,107.57
146,59,2,16,1,27.04,0.0,19.41
147,59,3,140,1,269.77,0.1,190.27
148,59,4,145,1,27.06,0.05,21.53
149,60,1,30,2,117.27,0.05,78.14
150,61,1,142,1,239.51,0.05,133.8
151,61,2,98,3,249.28,0.05,159.47
152,61,3,163,2,177.23,0.0,106.13
153,62,1,45,2,60.58,0.0,45.08
154,62,2,128,2,139.79,0.0,107.78
155,62,3,159,3,199.61,0.0,108.9
156,63,1,173,3,255.54,0.05,162.54
157,63,2,144,2,257.31,0.15,156.14
158,64,1,123,3,143.96,0.0,79.3
159,64,2,94,1,176.72,0.0,96.97
160,65,1,15,3,168.54,0.05,110.81
161,65,2,131,1,236.19,0.1,173.12
162,65,3,113,3,11.43,0.05,9.5
163,66,1,171,3,243.68,0.0,138.36
164,66,2,78,2,129.66,0.0,104.04
165,67,1,178,1,137.94,0.05,77.81
166,67,2,24,1,195.06,0.1,106.12
167,68,1,58,1,22.45,0.05,14.24
168,68,2,174,2,233.97,0.0,161.44
169,68,3,26,3,172.19,0.0,97.84
170,69,1,80,1,237.59,0.05,116.63
171,70,1,57,1,93.27,0.05,70.84
172,71,1,154,1,50.23,0.0,35.63
173,71,2,115,2,26.22,0.0,21.3
174,71,3,22,3,91.79,0.0,75.63
175,72,1,164,1,197.27,0.0,127.65
176,73,1,113,1,12.7,0.05,9.5
177,73,2,165,2,252.47,0.15,167.13
178,74,1,23,3,241.06,0.0,165.95
179,74,2,161,1,280.4,0.0,184.34
180,74,3,122,3,270.27,0.1,184.0
181,75,1,154,3,52.29,0.05,35.63
182,75,2,9,2,101.75,0.05,50.35
183,76,1,8,3,23.46,0.0,12.06
184,76,2,111,1,77.02,0.0,44.19
185,76,3,1,3,259.73,0.05,150.39
186,77,1,122,1,256.35,0.0,184.0
187,77,2,124,1,135.08,0.0,111.23
188,78,1,171,1,230.19,0.0,138.36
189,78,2,158,1,176.48,0.0,119.49
190,78,3,49,3,256.41,0.0,141.2
191,78,4,31,1,368.48,0.0,190.93
192,79,1,174,1,235.88,0.0,161.44
193,80,1,25,1,24.02,0.05,15.95
194,80,2,146,3,204.96,0.0,112.13
195,80,3,113,2,12.49,0.0,9.5
196,80,4,9,3,97.94,0.1,50.35
197,81,1,121,2,283.65,0.15,199.27
198,81,2,147,2,150.32,0.05,84.45
199,81,3,101,1,245.8,0.1,156.29
200,82,1,86,1,146.83,0.15,80.63
201,82,2,72,3,133.61,0.0,102.31
202,82,3,4,3,232.4,0.15,132.88
203,83,1,173,3,271.46,0.15,162.54
204,83,2,104,1,210.36,0.15,153.87
205,84,1,95,3,223.91,0.0,133.57
206,84,2,47,3,206.64,0.0,115.18
207,84,3,4,3,240.51,0.1,132.88
208,84,4,33,2,123.77,0.0,66.99
209,85,1,55,1,57.23,0.15,39.54
210,85,2,152,1,41.3,0.0,26.34
211,85,3,99,1,275.81,0.15,197.54
212,86,1,105,1,163.21,0.0,122.29
213,86,2,38,1,162.85,0.05,118.06
214,86,3,174,3,248.41,0.0,161.44
215,87,1,11,3,83.77,0.1,60.49
216,87,2,155,3,259.81,0.0,156.23
217,87,3,130,2,12.97,0.0,8.16
218,87,4,50,2,231.66,0.0,134.29
219,88,1,150,1,13.22,0.1,8.74
220,88,2,68,1,226.89,0.15,150.11
221,88,3,91,1,282.22,0.0,168.41
222,88,4,14,3,11.25,0.0,7.05
223,89,1,26,2,192.94,0.0,97.84
224,89,2,47,3,199.47,0.0,115.18
225,90,1,100,1,37.54,0.0,26.72
226,91,1,83,3,150.24,0.0,107.57
227,92,1,59,2,335.27,0.05,186.48
228,92,2,105,2,151.42,0.0,122.29
229,92,3,107,1,183.92,0.0,115.72
230,93,1,93,2,162.58,0.0,100.99
231,93,2,61,1,114.68,0.1,64.78
232,94,1,5,1,211.09,0.05,166.75
233,94,2,113,2,12.86,0.0,9.5
234,94,3,68,1,226.91,0.05,150.11
235,95,1,68,3,214.65,0.0,150.11
236,95,2,150,3,13.02,0.1,8.74
237,95,3,94,1,166.9,0.0,96.97
238,96,1,118,2,46.38,0.0,26.73
239,96,2,96,1,279.31,0.0,165.54
240,97,1,153,3,24.77,0.1,17.75
241,98,1,33,2,132.72,0.0,66.99
242,98,2,174,2,259.66,0.15,161.44
243,99,1,109,1,324.53,0.05,161.96
244,99,2,74,3,28.82,0.0,16.94
245,99,3,9,3,97.81,0.0,50.35
246,99,4,57,2,98.29,0.0,70.84
247,100,1,97,1,161.13,0.05,137.53
248,100,2,153,1,26.28,0.0,17.75
249,101,1,82,3,286.23,0.0,194.98
250,101,2,73,2,272.09,0.0,152.06
251,101,3,157,2,218.58,0.0,155.72
252,102,1,111,3,78.58,0.0,44.19
253,102,2,33,1,116.88,0.05,66.99
254,102,3,165,2,231.56,0.15,167.13
255,103,1,93,1,156.92,0.0,100.99
256,103,2,69,1,327.28,0.0,196.85
257,104,1,42,1,222.49,0.1,127.63
258,104,2,166,1,189.52,0.0,115.94
259,104,3,73,3,271.6,0.0,152.06
260,105,1,13,3,82.93,0.0,63.05
261,105,2,151,2,162.34,0.0,89.56
262,105,3,69,1,349.88,0.1,196.85
263,105,4,121,1,248.95,0.0,199.27
264,106,1,106,1,281.46,0.1,138.23
265,107,1,59,2,329.13,0.1,186.48
266,107,2,89,1,264.53,0.0,144.73
267,108,1,67,1,92.8,0.05,74.06
268,108,2,14,2,9.88,0.0,7.05
269,109,1,114,3,134.44,0.15,65.39
270,110,1,27,3,100.69,0.0,71.33
271,110,2,1,2,231.04,0.1,150.39
272,111,1,28,2,175.56,0.05,100.1
273,112,1,143,1,19.67,0.0,15.19
274,113,1,101,2,242.32,0.1,156.29
275,113,2,128,1,132.42,0.05,107.78
276,114,1,71,2,73.96,0.0,41.1
277,115,1,18,2,12.89,0.0,7.15
278,115,2,96,1,248.53,0.1,165.54
279,116,1,72,2,126.66,0.05,102.31
280,117,1,6,1,159.4,0.15,135.09
281,117,2,52,3,26.67,0.05,17.34
282,118,1,175,3,121.24,0.0,97.14
283,118,2,54,1,228.38,0.05,157.38
284,118,3,54,2,205.59,0.0,157.38
285,118,4,114,1,126.87,0.0,65.39
286,119,1,28,3,169.52,0.05,100.1
287,119,2,141,1,249.02,0.1,174.42
288,119,3,43,1,217.06,0.05,155.03
289,120,1,128,3,131.75,0.0,107.78
290,120,2,110,2,181.13,0.0,103.66
291,120,3,19,2,147.25,0.0,79.71
292,120,4,127,2,59.31,0.0,43.54
293,121,1,132,2,128.32,0.15,96.25
294,122,1,146,3,207.2,0.15,112.13
295,123,1,118,2,45.57,0.05,26.73
296,123,2,157,2,207.22,0.0,155.72
297,123,3,97,2,176.56,0.0,137.53
298,123,4,64,1,97.4,0.05,63.67
299,124,1,110,2,159.99,0.0,103.66
300,125,1,41,3,232.96,0.1,184.59
301,126,1,70,3,162.49,0.0,90.45
302,126,2,94,2,177.12,0.0,96.97
303,127,1,40,3,105.6,0.05,64.44
304,127,2,145,2,25.79,0.0,21.53
305,127,3,2,3,235.19,0.1,145.03
306,128,1,102,1,124.18,0.05,106.74
307,128,2,84,2,56.02,0.05,47.52
308,128,3,71,2,71.05,0.05,41.1
309,129,1,3,3,58.29,0.1,48.97
310,130,1,47,1,184.94,0.05,115.18
311,131,1,111,2,81.69,0.0,44.19
312,132,1,116,3,50.43,0.05,38.44
313,132,2,27,2,95.48,0.0,71.33
314,132,3,98,3,243.61,0.0,159.47
315,133,1,47,2,199.36,0.0,115.18
316,133,2,122,3,267.67,0.05,184.0
317,134,1,99,1,249.38,0.0,197.54
318,135,1,82,2,277.83,0.1,194.98
319,135,2,5,1,220.22,0.0,166.75
320,136,1,173,1,252.16,0.05,162.54
321,137,1,17,1,39.73,0.1,29.71
322,138,1,101,2,247.69,0.0,156.29
323,138,2,29,3,198.06,0.0,150.17
324,138,3,30,3,129.24,0.0,78.14
325,138,4,125,3,24.12,0.1,21.34
326,139,1,35,2,199.74,0.1,147.81
327,139,2,18,2,13.04,0.0,7.15
328,139,3,118,2,50.6,0.0,26.73
329,139,4,93,3,151.06,0.1,100.99
330,140,1,140,1,306.49,0.0,190.27
331,140,2,90,1,16.4,0.0,8.54
332,140,3,61,2,111.74,0.0,64.78
333,140,4,84,3,55.9,0.0,47.52
334,141,1,105,2,149.7,0.05,122.29
335,142,1,145,1,27.15,0.0,21.53
336,143,1,151,3,159.14,0.0,89.56
337,143,2,125,2,27.25,0.0,21.34
338,144,1,117,3,91.1,0.05,56.49
339,145,1,83,1,146.34,0.1,107.57
340,146,1,131,1,254.96,0.0,173.12
341,146,2,162,1,307.0,0.05,161.91
342,147,1,153,3,25.21,0.0,17.75
343,147,2,120,3,90.76,0.0,60.16
344,147,3,74,2,27.03,0.15,16.94
345,148,1,176,3,245.2,0.05,147.54
346,148,2,111,2,83.88,0.0,44.19
347,149,1,148,2,26.43,0.05,17.0
348,149,2,52,3,24.03,0.05,17.34
349,149,3,132,2,131.52,0.0,96.25
350,150,1,97,1,164.3,0.0,137.53
351,150,2,105,1,154.22,0.0,122.29
352,150,3,80,1,209.86,0.0,116.63
353,150,4,119,3,139.03,0.0,124.11
354,151,1,162,3,300.08,0.15,161.91
355,151,2,145,3,26.07,0.1,21.53
356,151,3,75,1,143.54,0.15,87.68
357,152,1,95,1,232.33,0.0,133.57
358,152,2,178,3,137.02,0.0,77.81
359,153,1,157,2,199.28,0.0,155.72
360,153,2,72,3,130.58,0.0,102.31
361,153,3,97,1,179.51,0.0,137.53
362,153,4,23,3,219.36,0.05,165.95
363,154,1,7,2,235.91,0.0,128.63
364,154,2,141,1,233.93,0.0,174.42
365,155,1,71,3,72.35,0.05,41.1
366,156,1,78,3,125.4,0.0,104.04
367,157,1,25,1,24.83,0.15,15.95
368,157,2,71,1,81.73,0.05,41.1
369,157,3,174,3,264.46,0.1,161.44
370,157,4,43,1,246.74,0.05,155.03
371,158,1,147,1,160.62,0.05,84.45
372,158,2,136,2,218.65,0.0,194.96
373,158,3,58,2,20.66,0.0,14.24
374,158,4,7,1,254.76,0.0,128.63
375,159,1,45,2,58.88,0.1,45.08
376,160,1,65,3,113.87,0.15,61.84
377,161,1,1,1,255.5,0.0,150.39
378,161,2,163,2,181.47,0.0,106.13
379,161,3,13,2,85.08,0.05,63.05
380,162,1,90,1,16.08,0.0,8.54
381,162,2,77,3,196.47,0.05,112.08
382,163,1,118,3,46.51,0.0,26.73
383,164,1,111,3,76.34,0.0,44.19
384,165,1,63,1,231.15,0.05,193.45
385,165,2,95,1,209.37,0.0,133.57
386,166,1,16,1,26.29,0.0,19.41
387,166,2,149,2,382.89,0.0,190.65
388,166,3,43,3,229.53,0.1,155.03
389,167,1,172,2,52.89,0.0,32.09
390,167,2,37,3,16.49,0.0,14.59
391,167,3,152,3,38.12,0.05,26.34
392,168,1,144,2,257.47,0.1,156.14
393,169,1,23,2,248.33,0.0,165.95
394,169,2,37,2,16.73,0.0,14.59
395,169,3,33,2,121.79,0.0,66.99
396,170,1,82,2,270.1,0.1,194.98
397,170,2,86,3,152.19,0.05,80.63
398,170,3,49,1,245.29,0.0,141.2
399,170,4,84,2,54.76,0.0,47.52
400,171,1,33,2,126.23,0.0,66.99
401,171,2,10,3,324.77,0.0,187.63
402,171,3,170,3,165.26,0.0,104.3
403,172,1,161,3,287.59,0.05,184.34
404,172,2,72,1,128.35,0.1,102.31
405,172,3,177,2,227.93,0.05,159.36
406,172,4,178,2,144.69,0.0,77.81
407,173,1,108,1,22.48,0.1,15.56
408,173,2,108,3,23.19,0.05,15.56
409,174,1,63,3,247.47,0.0,193.45
410,174,2,49,2,262.27,0.1,141.2
411,175,1,82,2,277.26,0.0,194.98
412,176,1,30,3,118.89,0.05,78.14
413,176,2,51,1,261.29,0.0,146.25
414,177,1,116,1,48.61,0.05,38.44
415,177,2,60,3,260.42,0.0,182.48
416,178,1,164,2,187.04,0.05,127.65
417,178,2,76,3,81.3,0.0,52.77
418,178,3,21,1,84.91,0.05,46.02
419,178,4,4,2,231.75,0.0,132.88
420,179,1,66,1,251.09,0.0,140.82
421,179,2,69,2,318.27,0.0,196.85
422,179,3,11,3,88.52,0.15,60.49
423,179,4,42,3,226.6,0.0,127.63
424,180,1,114,3,127.77,0.0,65.39
425,180,2,15,1,180.64,0.0,110.81
426,180,3,157,1,203.81,0.1,155.72
427,180,4,169,3,36.01,0.0,21.94
428,181,1,15,3,175.64,0.0,110.81
429,181,2,154,1,55.17,0.0,35.63
430,181,3,136,1,238.71,0.1,194.96
431,182,1,66,3,246.08,0.15,140.82
432,182,2,19,3,148.34,0.0,79.71
433,183,1,87,1,8.29,0.05,6.48
434,184,1,177,2,240.11,0.15,159.36
435,184,2,157,3,224.45,0.0,155.72
436,184,3,48,3,152.7,0.0,140.24
437,185,1,39,1,97.55,0.05,47.76
438,185,2,63,2,228.06,0.05,193.45
439,186,1,101,1,233.28,0.0,156.29
440,186,2,167,3,142.95,0.0,83.13
441,186,3,13,1,87.75,0.1,63.05
442,186,4,33,3,131.73,0.1,66.99
443,187,1,116,1,47.34,0.0,38.44
444,187,2,39,2,92.91,0.0,47.76
445,187,3,114,3,121.83,0.0,65.39
446,187,4,62,3,151.14,0.05,78.3
447,188,1,128,3,138.16,0.05,107.78
448,188,2,117,3,92.07,0.0,56.49
449,189,1,46,3,9.76,0.05,6.81
450,189,2,157,2,201.32,0.05,155.72
451,190,1,62,3,138.1,0.0,78.3
452,190,2,71,1,74.89,0.0,41.1
453,190,3,106,2,243.0,0.0,138.23
454,191,1,40,1,104.0,0.05,64.44
455,191,2,72,1,134.35,0.05,102.31
456,191,3,77,3,211.93,0.0,112.08
457,192,1,76,2,89.15,0.1,52.77
458,192,2,74,2,28.8,0.1,16.94
459,193,1,80,2,243.69,0.05,116.63
460,193,2,88,2,227.06,0.05,122.81
461,194,1,94,2,174.17,0.15,96.97
462,194,2,82,2,289.49,0.0,194.98
463,194,3,56,2,79.98,0.0,63.4
464,194,4,124,1,131.5,0.1,111.23
465,195,1,110,2,170.96,0.1,103.66
466,196,1,112,1,181.96,0.0,131.2
467,197,1,44,2,224.74,0.05,141.82
468,198,1,32,3,219.44,0.15,179.09
469,198,2,170,3,170.81,0.0,104.3
470,198,3,144,1,292.63,0.05,156.14
471,198,4,12,2,247.88,0.0,172.82
472,199,1,154,3,53.52,0.0,35.63
473,199,2,75,3,147.71,0.0,87.68
474,199,3,110,1,172.92,0.0,103.66
475,199,4,88,1,249.43,0.0,122.81
476,200,1,127,2,61.58,0.0,43.54
477,200,2,68,1,243.7,0.0,150.11
478,200,3,29,1,182.78,0.15,150.17
479,200,4,101,2,252.62,0.0,156.29
480,201,1,43,2,231.39,0.05,155.03
481,201,2,36,2,270.46,0.1,175.24
482,201,3,68,1,217.01,0.0,150.11
483,201,4,49,2,238.22,0.0,141.2
484,202,1,140,2,275.54,0.0,190.27
485,202,2,171,2,212.94,0.0,138.36
486,202,3,92,3,144.99,0.0,75.08
487,203,1,124,2,132.44,0.0,111.23
488,204,1,160,2,238.64,0.0,185.99
489,205,1,66,3,245.84,0.0,140.82
490,206,1,40,3,91.86,0.0,64.44
491,206,2,53,3,225.0,0.05,153.71
492,206,3,156,1,289.48,0.0,185.44
493,206,4,38,1,163.38,0.05,118.06
494,207,1,9,1,100.3,0.0,50.35
495,207,2,172,2,49.47,0.0,32.09
496,207,3,136,2,233.08,0.0,194.96
497,207,4,5,2,206.47,0.0,166.75
498,208,1,175,1,115.25,0.0,97.14
499,208,2,123,2,159.08,0.0,79.3
500,209,1,174,1,253.33,0.05,161.44
501,209,2,115,3,25.08,0.05,21.3
502,209,3,107,3,205.35,0.05,115.72
503,209,4,91,2,267.89,0.15,168.41
504,210,1,109,3,316.61,0.1,161.96
505,211,1,176,1,243.91,0.05,147.54
506,211,2,167,2,147.46,0.05,83.13
507,212,1,92,1,143.08,0.0,75.08
508,212,2,10,3,351.44,0.0,187.63
509,213,1,149,1,340.1,0.0,190.65
510,213,2,14,1,10.93,0.05,7.05
511,213,3,168,3,229.19,0.05,155.87
512,214,1,119,2,139.4,0.0,124.11
513,214,2,11,3,89.03,0.0,60.49
514,214,3,133,1,213.17,0.0,116.79
515,214,4,44,1,233.35,0.0,141.82
516,215,1,86,3,153.61,0.0,80.63
517,215,2,33,2,124.74,0.0,66.99
518,215,3,48,1,160.26,0.0,140.24
519,216,1,79,3,34.31,0.0,30.76
520,216,2,180,2,211.85,0.15,176.56
521,217,1,107,2,191.74,0.0,115.72
522,218,1,65,3,106.23,0.0,61.84
523,218,2,167,3,160.17,0.0,83.13
524,219,1,49,3,241.41,0.1,141.2
525,219,2,62,2,154.35,0.15,78.3
526,219,3,124,3,136.79,0.0,111.23
527,220,1,15,1,176.41,0.05,110.81
528,220,2,71,1,80.45,0.15,41.1
529,220,3,166,3,184.33,0.05,115.94
530,221,1,164,2,188.6,0.1,127.65
531,221,2,8,2,23.1,0.0,12.06
532,221,3,108,3,23.03,0.0,15.56
533,221,4,176,3,259.88,0.0,147.54
534,222,1,99,3,280.36,0.1,197.54
535,222,2,141,3,237.03,0.05,174.42
536,222,3,25,3,24.8,0.05,15.95
537,223,1,59,2,351.17,0.05,186.48
538,223,2,128,2,147.62,0.0,107.78
539,223,3,148,2,29.37,0.05,17.0
540,224,1,53,1,204.72,0.1,153.71
541,224,2,61,3,111.71,0.0,64.78
542,225,1,44,2,246.19,0.0,141.82
543,225,2,108,1,24.68,0.0,15.56
544,226,1,89,1,247.93,0.0,144.73
545,226,2,9,3,97.27,0.15,50.35
546,226,3,145,1,25.56,0.05,21.53
547,226,4,116,1,51.93,0.1,38.44
548,227,1,82,1,269.25,0.0,194.98
549,228,1,122,1,294.69,0.1,184.0
550,229,1,113,1,12.1,0.1,9.5
551,229,2,18,3,13.59,0.0,7.15
552,229,3,22,2,97.51,0.05,75.63
553,230,1,110,1,180.66,0.0,103.66
554,230,2,96,1,244.59,0.0,165.54
555,231,1,172,2,49.25,0.15,32.09
556,231,2,166,3,178.79,0.0,115.94
557,231,3,172,1,51.22,0.15,32.09
558,232,1,149,3,362.25,0.0,190.65
559,233,1,9,1,98.04,0.1,50.35
560,233,2,154,1,52.59,0.15,35.63
561,233,3,57,1,106.08,0.0,70.84
562,233,4,111,2,77.57,0.15,44.19
563,234,1,30,1,121.27,0.0,78.14
564,234,2,30,2,124.15,0.0,78.14
565,235,1,126,1,169.7,0.05,97.78
566,235,2,170,1,171.0,0.05,104.3
567,236,1,51,1,235.93,0.0,146.25
568,236,2,110,3,173.57,0.0,103.66
569,236,3,147,2,167.26,0.0,84.45
570,236,4,81,3,245.31,0.0,170.48
571,237,1,35,1,204.62,0.1,147.81
572,237,2,119,3,141.04,0.15,124.11
573,238,1,180,3,229.1,0.0,176.56
574,238,2,54,1,199.88,0.0,157.38
575,238,3,70,3,177.58,0.0,90.45
576,239,1,108,3,23.26,0.0,15.56
577,239,2,172,3,54.58,0.05,32.09
578,240,1,135,2,121.54,0.1,89.59
579,240,2,29,2,187.24,0.05,150.17
580,240,3,130,1,14.35,0.0,8.16
581,240,4,156,1,306.35,0.15,185.44
582,241,1,67,1,104.62,0.0,74.06
583,241,2,74,1,29.15,0.0,16.94
584,241,3,87,2,8.73,0.0,6.48
585,242,1,158,3,166.11,0.0,119.49
586,242,2,142,1,232.84,0.0,133.8
587,243,1,127,1,62.27,0.0,43.54
588,244,1,90,1,15.31,0.05,8.54
589,244,2,3,2,63.48,0.0,48.97
590,244,3,52,3,26.25,0.1,17.34
591,245,1,62,3,155.13,0.1,78.3
592,245,2,134,2,98.19,0.1,82.55
593,245,3,105,2,148.87,0.15,122.29
594,246,1,42,1,227.55,0.05,127.63
595,246,2,41,3,226.81,0.0,184.59
596,247,1,71,2,80.86,0.05,41.1
597,247,2,162,2,279.72,0.0,161.91
598,247,3,148,1,29.82,0.0,17.0
599,248,1,10,1,348.47,0.05,187.63
600,248,2,23,2,227.88,0.0,165.95
601,249,1,66,2,272.84,0.05,140.82
602,249,2,12,2,237.24,0.0,172.82
603,250,1,56,2,77.45,0.05,63.4
604,251,1,147,1,149.13,0.0,84.45
605,251,2,75,3,147.81,0.05,87.68
606,251,3,76,1,84.25,0.05,52.77
607,251,4,13,2,93.73,0.1,63.05
608,252,1,130,3,14.65,0.0,8.16
609,253,1,139,1,187.51,0.0,129.09
610,254,1,152,1,38.17,0.0,26.34
611,254,2,102,2,132.27,0.05,106.74
612,254,3,178,2,155.46,0.0,77.81
613,255,1,175,3,119.79,0.15,97.14
614,255,2,34,1,87.4,0.05,47.89
615,256,1,146,3,212.72,0.05,112.13
616,256,2,162,2,304.79,0.0,161.91
617,256,3,85,2,64.26,0.0,42.66
618,257,1,49,3,236.14,0.0,141.2
619,257,2,45,1,60.64,0.05,45.08
620,257,3,110,1,174.75,0.0,103.66
621,257,4,16,1,27.02,0.0,19.41
622,258,1,147,3,165.39,0.05,84.45
623,258,2,52,1,23.47,0.0,17.34
624,259,1,72,3,132.62,0.05,102.31
625,259,2,176,1,252.88,0.0,147.54
626,259,3,180,2,236.33,0.0,176.56
627,260,1,109,2,320.14,0.1,161.96
628,260,2,62,1,145.06,0.1,78.3
629,260,3,72,2,123.59,0.0,102.31
630,261,1,144,3,272.64,0.05,156.14
631,261,2,66,2,255.34,0.0,140.82
632,262,1,96,3,265.92,0.0,165.54
