return_id,order_id,return_ts,return_reason,refund_amount
RET0000910,ORD0000910,2026-03-09 09:00:00,not_as_described,678.78
RET0000925,ORD0000925,2026-04-19 05:00:00,not_as_described,361.58
RET0000944,ORD0000944,2026-03-15 14:00:00,wrong_size,1170.5
RET0000952,ORD0000952,2026-04-04 04:00:00,wrong_size,8.6
RET0000968,ORD0000968,2026-04-15 20:00:00,not_as_described,86.92
RET0000974,ORD0000974,2026-03-10 19:00:00,wrong_size,1635.66
RET0000979,ORD0000979,2026-03-24 20:00:00,wrong_size,241.18
RET0000991,ORD0000991,2026-03-28 17:00:00,not_as_described,170.79
RET0001003,ORD0001003,2026-04-27 14:00:00,not_as_described,920.0
RET0001015,ORD0001015,2026-03-05 07:00:00,wrong_size,165.15
RET0001052,ORD0001052,2026-02-05 18:00:00,not_as_described,1364.83
RET0001055,ORD0001055,2026-03-20 19:00:00,late_delivery,88.15
RET0001059,ORD0001059,2026-02-12 08:00:00,wrong_size,408.13
RET0001060,ORD0001060,2026-04-22 04:00:00,wrong_size,353.99
RET0001075,ORD0001075,2026-04-29 00:00:00,wrong_size,460.93
RET0001076,ORD0001076,2026-04-18 10:00:00,late_delivery,1039.0
RET0001109,ORD0001109,2026-02-18 06:00:00,damaged,158.87
RET0001113,ORD0001113,2026-04-17 18:00:00,damaged,1241.0
RET0001125,ORD0001125,2026-04-16 11:00:00,not_as_described,1602.96
RET0001143,ORD0001143,2026-04-21 00:00:00,late_delivery,1619.02
RET0001155,ORD0001155,2026-03-14 13:00:00,late_delivery,746.42
RET0001156,ORD0001156,2026-05-03 22:00:00,wrong_size,26.77
RET0001162,ORD0001162,2026-03-25 10:00:00,late_delivery,285.35
RET0001166,ORD0001166,2026-03-02 21:00:00,not_as_described,1094.34
RET0001190,ORD0001190,2026-04-30 19:00:00,wrong_size,777.27
RET0001199,ORD0001199,2026-04-20 00:00:00,damaged,1583.05
RET0001215,ORD0001215,2026-03-27 10:00:00,not_as_described,2073.11
RET0001224,ORD0001224,2026-03-14 06:00:00,not_as_described,373.69
RET0001233,ORD0001233,2026-04-06 04:00:00,not_as_described,185.39
RET0001240,ORD0001240,2026-03-31 01:00:00,late_delivery,363.18
RET0001246,ORD0001246,2026-04-05 22:00:00,damaged,178.75
RET0001278,ORD0001278,2026-03-08 11:00:00,late_delivery,687.87
RET0001305,ORD0001305,2026-02-22 02:00:00,damaged,227.36
RET0001307,ORD0001307,2026-03-20 18:00:00,wrong_size,846.46
RET0001316,ORD0001316,2026-03-17 06:00:00,wrong_size,1229.19
RET0001328,ORD0001328,2026-03-16 16:00:00,not_as_described,132.0
RET0001336,ORD0001336,2026-03-15 23:00:00,damaged,1344.18
RET0001383,ORD0001383,2026-03-10 18:00:00,late_delivery,1307.37
RET0001388,ORD0001388,2026-04-12 08:00:00,not_as_described,273.72
RET0001391,ORD0001391,2026-04-19 06:00:00,not_as_described,1296.49
RET0001392,ORD0001392,2026-03-31 02:00:00,late_delivery,328.02
RET0001399,ORD0001399,2026-03-25 01:00:00,damaged,478.29
RET0001419,ORD0001419,2026-03-07 20:00:00,not_as_described,2302.23
RET0001432,ORD0001432,2026-04-10 13:00:00,damaged,10.97
RET0001439,ORD0001439,2026-03-09 08:00:00,damaged,36.47
RET0001477,ORD0001477,2026-04-01 09:00:00,damaged,606.09
RET0001529,ORD0001529,2026-05-07 10:00:00,wrong_size,16.44
RET0001533,ORD0001533,2026-03-17 15:00:00,late_delivery,224.89
RET0001535,ORD0001535,2026-03-29 19:00:00,not_as_described,393.42
RET0001548,ORD0001548,2026-02-19 05:00:00,not_as_described,1417.63
RET0001552,ORD0001552,2026-03-02 09:00:00,not_as_described,861.83
RET0001593,ORD0001593,2026-02-22 20:00:00,wrong_size,750.61
RET0001597,ORD0001597,2026-04-23 07:00:00,damaged,273.84
RET0001607,ORD0001607,2026-02-23 11:00:00,not_as_described,56.22
RET0001608,ORD0001608,2026-03-22 01:00:00,late_delivery,306.22
RET0001647,ORD0001647,2026-04-01 18:00:00,wrong_size,858.76
RET0001659,ORD0001659,2026-03-16 04:00:00,damaged,364.97
RET0001669,ORD0001669,2026-04-10 16:00:00,late_delivery,1945.65
RET0001690,ORD0001690,2026-04-02 14:00:00,late_delivery,252.65
RET0001694,ORD0001694,2026-04-17 02:00:00,wrong_size,1116.11
RET0001696,ORD0001696,2026-04-21 15:00:00,wrong_size,1306.79
RET0001701,ORD0001701,2026-03-23 09:00:00,late_delivery,242.46
RET0001709,ORD0001709,2026-05-08 15:00:00,not_as_described,1116.87
RET0001712,ORD0001712,2026-04-22 21:00:00,damaged,698.74
RET0001727,ORD0001727,2026-02-19 13:00:00,late_delivery,438.76
RET0001730,ORD0001730,2026-03-03 04:00:00,not_as_described,726.75
RET0001733,ORD0001733,2026-04-14 03:00:00,damaged,275.6
RET0001736,ORD0001736,2026-04-02 15:00:00,wrong_size,217.1
RET0001752,ORD0001752,2026-05-06 10:00:00,wrong_size,709.04
RET0001763,ORD0001763,2026-04-23 01:00:00,not_as_described,320.97
RET0001770,ORD0001770,2026-04-29 18:00:00,wrong_size,551.88
RET0001778,ORD0001778,2026-04-30 23:00:00,not_as_described,990.73
RET0001783,ORD0001783,2026-04-17 07:00:00,wrong_size,925.18
RET0001796,ORD0001796,2026-05-05 00:00:00,damaged,859.55
RET0001806,ORD0001806,2026-03-06 23:00:00,late_delivery,251.63
RET0001808,ORD0001808,2026-04-08 04:00:00,not_as_described,66.4
RET0001809,ORD0001809,2026-04-01 22:00:00,wrong_size,1998.03
RET0001822,ORD0001822,2026-04-23 04:00:00,wrong_size,1159.62
RET0001845,ORD0001845,2026-03-07 06:00:00,late_delivery,483.91
RET0001851,ORD0001851,2026-05-01 13:00:00,late_delivery,402.67
RET0001856,ORD0001856,2026-04-25 07:00:00,not_as_described,395.68
RET0001872,ORD0001872,2026-04-16 05:00:00,not_as_described,1467.38
RET0001884,ORD0001884,2026-04-21 08:00:00,wrong_size,89.59
RET0001887,ORD0001887,2026-04-20 05:00:00,late_delivery,336.63
RET0001896,ORD0001896,2026-03-28 22:00:00,damaged,2043.95
RET0001904,ORD0001904,2026-02-25 15:00:00,damaged,662.24
RET0001908,ORD0001908,2026-04-04 04:00:00,wrong_size,1327.11
RET0001918,ORD0001918,2026-03-08 21:00:00,not_as_described,816.13
RET0001921,ORD0001921,2026-03-14 00:00:00,late_delivery,512.8
RET0001932,ORD0001932,2026-02-12 09:00:00,not_as_described,596.55
RET0001937,ORD0001937,2026-03-19 07:00:00,damaged,1563.8
RET0001946,ORD0001946,2026-02-13 17:00:00,not_as_described,179.68
RET0001960,ORD0001960,2026-04-22 09:00:00,damaged,413.75
RET0001962,ORD0001962,2026-02-27 02:00:00,wrong_size,332.99
RET0001969,ORD0001969,2026-03-18 10:00:00,late_delivery,121.79
RET0001996,ORD0001996,2026-02-23 21:00:00,damaged,623.04
RET0001997,ORD0001997,2026-04-12 06:00:00,not_as_described,369.38
RET0002003,ORD0002003,2026-04-06 16:00:00,late_delivery,74.8
RET0002007,ORD0002007,2026-02-12 14:00:00,wrong_size,447.31
RET0002009,ORD0002009,2026-03-30 08:00:00,not_as_described,705.24
RET0002014,ORD0002014,2026-05-02 21:00:00,wrong_size,128.28
RET0002016,ORD0002016,2026-03-28 01:00:00,late_delivery,447.78
RET0002025,ORD0002025,2026-02-25 02:00:00,wrong_size,334.35
RET0002039,ORD0002039,2026-04-21 00:00:00,wrong_size,626.43
RET0002065,ORD0002065,2026-03-03 17:00:00,damaged,1584.09
RET0002089,ORD0002089,2026-03-11 23:00:00,damaged,771.36
RET0002092,ORD0002092,2026-04-24 03:00:00,damaged,780.05
RET0002102,ORD0002102,2026-04-01 19:00:00,damaged,1136.82
RET0002107,ORD0002107,2026-04-06 04:00:00,damaged,1056.79
RET0002110,ORD0002110,2026-04-28 12:00:00,not_as_described,89.37
RET0002121,ORD0002121,2026-03-22 20:00:00,late_delivery,1242.98
RET0002131,ORD0002131,2026-03-18 06:00:00,wrong_size,379.24
RET0002140,ORD0002140,2026-03-25 05:00:00,damaged,771.91
RET0002155,ORD0002155,2026-02-15 14:00:00,damaged,459.87
RET0002163,ORD0002163,2026-04-10 07:00:00,wrong_size,754.15
RET0002173,ORD0002173,2026-03-31 13:00:00,not_as_described,1382.37
RET0002179,ORD0002179,2026-03-24 05:00:00,wrong_size,129.78
RET0002192,ORD0002192,2026-04-15 06:00:00,wrong_size,1535.42
RET0002226,ORD0002226,2026-03-04 21:00:00,late_delivery,734.72
RET0002237,ORD0002237,2026-05-03 11:00:00,not_as_described,645.11
RET0002248,ORD0002248,2026-02-05 18:00:00,late_delivery,646.64
RET0002250,ORD0002250,2026-03-28 22:00:00,damaged,743.98
RET0002255,ORD0002255,2026-04-13 12:00:00,late_delivery,101.31
RET0002256,ORD0002256,2026-02-17 23:00:00,damaged,67.38
RET0002265,ORD0002265,2026-03-13 03:00:00,late_delivery,237.4
RET0002346,ORD0002346,2026-05-03 20:00:00,not_as_described,1045.93
RET0002352,ORD0002352,2026-04-05 09:00:00,wrong_size,307.97
RET0002385,ORD0002385,2026-04-27 18:00:00,late_delivery,1342.62
RET0002404,ORD0002404,2026-05-06 23:00:00,late_delivery,855.1
RET0002421,ORD0002421,2026-02-17 13:00:00,not_as_described,1701.01
RET0002432,ORD0002432,2026-02-25 22:00:00,not_as_described,435.95
RET0002455,ORD0002455,2026-04-06 13:00:00,late_delivery,736.93
RET0002477,ORD0002477,2026-03-06 11:00:00,damaged,451.31
RET0002500,ORD0002500,2026-04-09 11:00:00,late_delivery,94.19
RET0002503,ORD0002503,2026-04-30 17:00:00,not_as_described,808.07
RET0002516,ORD0002516,2026-02-03 07:00:00,late_delivery,889.22
RET0002518,ORD0002518,2026-03-12 11:00:00,damaged,340.24
RET0002523,ORD0002523,2026-03-22 10:00:00,damaged,1681.79
RET0002533,ORD0002533,2026-03-27 09:00:00,late_delivery,356.13
RET0002548,ORD0002548,2026-02-23 06:00:00,damaged,2669.45
RET0002553,ORD0002553,2026-03-20 12:00:00,not_as_described,56.41
RET0002578,ORD0002578,2026-02-10 12:00:00,damaged,717.12
RET0002598,ORD0002598,2026-02-03 00:00:00,late_delivery,382.47
RET0002599,ORD0002599,2026-03-01 07:00:00,late_delivery,491.61
RET0002609,ORD0002609,2026-03-29 21:00:00,wrong_size,315.53
RET0002654,ORD0002654,2026-02-21 14:00:00,damaged,307.94
RET0002658,ORD0002658,2026-03-16 21:00:00,late_delivery,255.41
RET0002709,ORD0002709,2026-03-27 07:00:00,damaged,263.86
RET0002715,ORD0002715,2026-03-27 11:00:00,not_as_described,573.11
RET0002720,ORD0002720,2026-04-28 23:00:00,late_delivery,1692.56
RET0002726,ORD0002726,2026-03-25 04:00:00,not_as_described,1244.25
RET0002745,ORD0002745,2026-04-12 16:00:00,damaged,861.71
RET0002751,ORD0002751,2026-03-14 10:00:00,not_as_described,702.75
RET0002776,ORD0002776,2026-03-23 12:00:00,late_delivery,1231.93
RET0002810,ORD0002810,2026-04-17 05:00:00,late_delivery,1063.9
RET0002815,ORD0002815,2026-04-04 17:00:00,damaged,1172.12
RET0002820,ORD0002820,2026-04-24 02:00:00,damaged,2038.85
RET0002824,ORD0002824,2026-02-23 11:00:00,late_delivery,874.41
RET0002836,ORD0002836,2026-01-28 05:00:00,wrong_size,278.31
RET0002846,ORD0002846,2026-03-22 14:00:00,damaged,534.84
RET0002850,ORD0002850,2026-03-28 04:00:00,not_as_described,512.94
RET0002856,ORD0002856,2026-02-15 18:00:00,not_as_described,292.87
RET0002867,ORD0002867,2026-03-28 13:00:00,late_delivery,272.84
RET0002879,ORD0002879,2026-03-23 10:00:00,damaged,593.5
RET0002886,ORD0002886,2026-04-25 18:00:00,not_as_described,1225.8
RET0002914,ORD0002914,2026-03-12 21:00:00,wrong_size,1225.43
RET0002923,ORD0002923,2026-02-19 06:00:00,wrong_size,447.04
RET0002927,ORD0002927,2026-04-28 15:00:00,late_delivery,1975.81
RET0002933,ORD0002933,2026-03-19 09:00:00,damaged,681.82
RET0002937,ORD0002937,2026-03-03 21:00:00,not_as_described,296.81
RET0002948,ORD0002948,2026-03-08 11:00:00,wrong_size,605.44
RET0002951,ORD0002951,2026-04-22 10:00:00,late_delivery,626.78
RET0002964,ORD0002964,2026-04-15 19:00:00,not_as_described,1409.82
RET0002965,ORD0002965,2026-03-28 11:00:00,wrong_size,1563.16
RET0002969,ORD0002969,2026-04-19 14:00:00,damaged,684.06
RET0003009,ORD0003009,2026-03-30 16:00:00,damaged,875.97
RET0003029,ORD0003029,2026-03-05 03:00:00,late_delivery,512.64
RET0003030,ORD0003030,2026-04-17 17:00:00,damaged,363.9
RET0003036,ORD0003036,2026-03-23 07:00:00,late_delivery,704.96
RET0003046,ORD0003046,2026-04-13 08:00:00,not_as_described,282.78
RET0003065,ORD0003065,2026-04-21 10:00:00,not_as_described,137.25
RET0003073,ORD0003073,2026-04-28 06:00:00,not_as_described,2170.54
RET0003077,ORD0003077,2026-04-02 03:00:00,damaged,745.01
RET0003103,ORD0003103,2026-04-04 04:00:00,late_delivery,1307.32
RET0003108,ORD0003108,2026-04-15 14:00:00,late_delivery,326.69
RET0003111,ORD0003111,2026-04-29 17:00:00,damaged,242.12
RET0003114,ORD0003114,2026-02-19 14:00:00,damaged,1023.88
RET0003126,ORD0003126,2026-04-04 10:00:00,damaged,1043.23
RET0003154,ORD0003154,2026-04-30 21:00:00,damaged,1491.11
RET0003161,ORD0003161,2026-04-12 01:00:00,wrong_size,2494.49
RET0003166,ORD0003166,2026-02-21 03:00:00,not_as_described,236.98
RET0003180,ORD0003180,2026-04-17 05:00:00,damaged,83.87
RET0003197,ORD0003197,2026-05-07 20:00:00,late_delivery,750.74
RET0003204,ORD0003204,2026-04-03 11:00:00,wrong_size,761.9
RET0003206,ORD0003206,2026-04-05 18:00:00,late_delivery,1322.05
RET0003209,ORD0003209,2026-04-08 08:00:00,not_as_described,209.49
RET0003227,ORD0003227,2026-05-06 02:00:00,late_delivery,710.28
RET0003236,ORD0003236,2026-03-10 09:00:00,damaged,242.47
RET0003272,ORD0003272,2026-03-17 13:00:00,not_as_described,298.57
RET0003280,ORD0003280,2026-03-04 01:00:00,not_as_described,1192.12
RET0003301,ORD0003301,2026-05-17 23:00:00,not_as_described,618.6
RET0003328,ORD0003328,2026-03-01 07:00:00,late_delivery,520.46
RET0003337,ORD0003337,2026-02-28 05:00:00,late_delivery,916.76
RET0003338,ORD0003338,2026-05-10 16:00:00,damaged,1664.75
RET0003340,ORD0003340,2026-02-22 07:00:00,late_delivery,1638.78
RET0003341,ORD0003341,2026-04-16 03:00:00,wrong_size,176.61
RET0003343,ORD0003343,2026-03-07 16:00:00,late_delivery,423.36
RET0003348,ORD0003348,2026-03-19 05:00:00,late_delivery,627.72
RET0003360,ORD0003360,2026-02-12 17:00:00,wrong_size,54.52
RET0003368,ORD0003368,2026-03-12 01:00:00,wrong_size,557.65
RET0003387,ORD0003387,2026-03-15 08:00:00,late_delivery,643.3
RET0003398,ORD0003398,2026-03-27 02:00:00,late_delivery,612.86
RET0003406,ORD0003406,2026-04-04 19:00:00,damaged,1261.85
RET0003407,ORD0003407,2026-04-03 01:00:00,late_delivery,362.26
RET0003438,ORD0003438,2026-04-09 02:00:00,late_delivery,1519.97
RET0003450,ORD0003450,2026-03-05 18:00:00,late_delivery,223.8
RET0003462,ORD0003462,2026-04-01 14:00:00,wrong_size,361.03
RET0003467,ORD0003467,2026-02-23 09:00:00,late_delivery,148.1
RET0003470,ORD0003470,2026-01-28 03:00:00,late_delivery,1704.1
RET0003482,ORD0003482,2026-03-04 17:00:00,damaged,922.94
RET0003492,ORD0003492,2026-03-02 18:00:00,not_as_described,581.58
RET0003494,ORD0003494,2026-04-01 14:00:00,wrong_size,1361.59
RET0003506,ORD0003506,2026-02-18 19:00:00,wrong_size,205.43
RET0003517,ORD0003517,2026-04-25 01:00:00,damaged,149.23
RET0003520,ORD0003520,2026-04-27 19:00:00,late_delivery,1905.12
RET0003529,ORD0003529,2026-02-19 00:00:00,damaged,694.54
RET0003536,ORD0003536,2026-03-07 16:00:00,late_delivery,698.6
RET0003540,ORD0003540,2026-02-19 07:00:00,not_as_described,1865.38
RET0003549,ORD0003549,2026-04-08 12:00:00,not_as_described,613.14
RET0003552,ORD0003552,2026-04-13 16:00:00,late_delivery,435.76
RET0003557,ORD0003557,2026-02-10 01:00:00,not_as_described,75.18
RET0003572,ORD0003572,2026-04-24 10:00:00,not_as_described,34.34
RET0003592,ORD0003592,2026-03-04 14:00:00,wrong_size,461.61
RET0003593,ORD0003593,2026-04-21 04:00:00,damaged,412.41
RET0003595,ORD0003595,2026-02-08 07:00:00,late_delivery,701.1
RET0003606,ORD0003606,2026-03-08 12:00:00,not_as_described,1595.99
RET0003624,ORD0003624,2026-03-09 16:00:00,wrong_size,829.82
RET0003641,ORD0003641,2026-03-06 15:00:00,late_delivery,208.49
RET0003648,ORD0003648,2026-04-01 10:00:00,damaged,1100.77
RET0003652,ORD0003652,2026-04-24 21:00:00,late_delivery,1745.97
RET0003653,ORD0003653,2026-05-16 13:00:00,wrong_size,1321.46
RET0003655,ORD0003655,2026-05-07 23:00:00,not_as_described,902.81
RET0003664,ORD0003664,2026-03-30 21:00:00,not_as_described,1175.73
RET0003665,ORD0003665,2026-03-13 13:00:00,late_delivery,708.58
RET0003671,ORD0003671,2026-02-16 16:00:00,damaged,1235.31
RET0003674,ORD0003674,2026-03-20 11:00:00,not_as_described,1975.5
RET0003682,ORD0003682,2026-04-01 07:00:00,not_as_described,40.47
RET0003687,ORD0003687,2026-03-22 13:00:00,not_as_described,1029.91
RET0003690,ORD0003690,2026-04-10 22:00:00,damaged,595.41
RET0003703,ORD0003703,2026-04-28 11:00:00,damaged,162.55
RET0003707,ORD0003707,2026-04-09 05:00:00,damaged,186.64
RET0003729,ORD0003729,2026-04-04 18:00:00,not_as_described,664.61
RET0003749,ORD0003749,2026-02-07 17:00:00,late_delivery,1919.96
RET0003754,ORD0003754,2026-02-24 15:00:00,not_as_described,929.43
RET0003771,ORD0003771,2026-04-27 05:00:00,wrong_size,501.77
RET0003788,ORD0003788,2026-03-16 00:00:00,not_as_described,313.0
RET0003807,ORD0003807,2026-03-16 17:00:00,damaged,350.05
RET0003827,ORD0003827,2026-03-25 08:00:00,damaged,751.74
RET0003837,ORD0003837,2026-05-13 11:00:00,not_as_described,254.32
RET0003853,ORD0003853,2026-02-28 22:00:00,not_as_described,664.73
RET0003855,ORD0003855,2026-04-16 21:00:00,not_as_described,1646.36
RET0003881,ORD0003881,2026-02-04 02:00:00,not_as_described,584.45
RET0003896,ORD0003896,2026-02-26 04:00:00,wrong_size,845.87
RET0003911,ORD0003911,2026-04-19 09:00:00,damaged,46.79
RET0003912,ORD0003912,2026-02-27 11:00:00,not_as_described,661.04
RET0003942,ORD0003942,2026-04-19 20:00:00,late_delivery,930.45
RET0003961,ORD0003961,2026-04-23 17:00:00,wrong_size,86.94
RET0003971,ORD0003971,2026-04-03 02:00:00,not_as_described,90.44
RET0003978,ORD0003978,2026-05-07 20:00:00,damaged,360.08
RET0003985,ORD0003985,2026-02-21 05:00:00,damaged,911.56
RET0003986,ORD0003986,2026-04-23 16:00:00,not_as_described,834.4
RET0003990,ORD0003990,2026-02-10 04:00:00,late_delivery,145.45
RET0003998,ORD0003998,2026-01-30 11:00:00,not_as_described,172.18
